,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,50.99,892325,175,卖盘
1,09:30:00,51.1,729233,143,买盘
2,09:30:03,51.04,699152,137,卖盘
3,09:30:06,51.0,270594,53,卖盘
4,09:30:09,51.01,576394,113,中性盘
5,09:30:12,51.04,158178,31,买盘
6,09:30:15,51.01,209127,41,卖盘
7,09:30:18,51.0,86685,17,中性盘
8,09:30:21,51.0,35699,7,卖盘
9,09:30:24,51.01,193806,38,买盘
10,09:30:27,51.01,132589,26,买盘
11,09:30:30,51.01,214259,42,买盘
12,09:30:33,51.05,25525,5,买盘
13,09:30:36,51.01,214318,42,卖盘
14,09:30:39,51.0,311178,61,卖盘
15,09:30:42,50.91,290359,57,卖盘
16,09:30:45,50.84,742814,146,卖盘
17,09:30:48,50.81,116876,23,卖盘
18,09:30:51,50.85,96651,19,中性盘
19,09:30:54,50.85,35602,7,中性盘
20,09:30:57,50.87,223727,44,买盘
21,09:31:00,50.88,157706,31,买盘
22,09:31:03,50.9,5090,1,买盘
23,09:31:06,50.87,30528,6,卖盘
24,09:31:09,50.88,213769,42,中性盘
25,09:31:12,50.87,122080,24,卖盘
26,09:31:15,50.87,239019,47,买盘
27,09:31:18,50.85,127126,25,卖盘
28,09:31:21,50.85,127156,25,买盘
29,09:31:24,50.9,106849,21,买盘
30,09:31:27,50.85,422103,83,卖盘
31,09:31:30,50.93,259656,51,买盘
32,09:31:33,50.85,127101,25,卖盘
33,09:31:36,50.88,127134,25,中性盘
34,09:31:39,50.87,132322,26,卖盘
35,09:31:42,50.87,208631,41,卖盘
36,09:31:45,50.92,117056,23,买盘
37,09:31:48,50.94,213852,42,买盘
38,09:31:51,50.91,61088,12,中性盘
39,09:31:54,50.9,870431,171,卖盘
40,09:31:57,50.92,397028,78,中性盘
41,09:32:00,50.9,310604,61,中性盘
42,09:32:03,50.9,45819,9,卖盘
43,09:32:06,50.9,25455,5,卖盘
44,09:32:09,50.9,10180,2,卖盘
45,09:32:12,50.88,717459,141,卖盘
46,09:32:15,50.9,579997,114,买盘
