,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-22,601336,29.8,29.71,29.96,29.31,125180,388486825.0,2.17,-0.83,-0.25,0.6
1,2024-07-23,601336,29.62,29.28,30.03,29.25,111944,348181396.0,2.63,-1.45,-0.43,0.54
2,2024-07-24,601336,29.28,29.18,29.45,29.07,82607,253213425.0,1.3,-0.34,-0.1,0.4
3,2024-07-25,601336,29.18,28.99,29.29,28.73,72113,219299649.0,1.92,-0.65,-0.19,0.35
4,2024-07-26,601336,28.91,29.26,29.65,28.85,96112,294017856.0,2.76,0.93,0.27,0.46
5,2024-07-29,601336,29.15,29.47,29.77,28.91,72178,222193417.0,2.94,0.72,0.21,0.35
6,2024-07-30,601336,29.34,29.3,29.4,29.01,57516,175851667.0,1.32,-0.58,-0.17,0.28
7,2024-07-31,601336,29.23,30.58,30.6,29.23,165331,521312777.0,4.68,4.37,1.28,0.79
8,2024-08-01,601336,30.57,30.52,30.84,30.25,117303,374600436.0,1.93,-0.2,-0.06,0.56
9,2024-08-02,601336,30.29,29.87,30.52,29.79,84764,266971420.0,2.39,-2.13,-0.65,0.41
10,2024-08-05,601336,29.76,29.8,30.46,29.66,103963,326495904.0,2.68,-0.23,-0.07,0.5
11,2024-08-06,601336,30.04,28.87,30.11,28.57,176478,538956353.0,5.17,-3.12,-0.93,0.85
12,2024-08-07,601336,28.84,28.57,28.89,28.28,79530,238878316.0,2.11,-1.04,-0.3,0.38
13,2024-08-08,601336,28.54,28.47,28.84,28.35,82738,247692922.0,1.72,-0.35,-0.1,0.4
14,2024-08-09,601336,28.7,28.44,28.85,28.3,80695,235339366.0,1.93,-0.11,-0.03,0.39
15,2024-08-12,601336,28.36,28.27,28.41,27.97,72697,208540347.0,1.55,-0.6,-0.17,0.35
16,2024-08-13,601336,28.35,28.69,28.71,28.18,62285,180653344.0,1.87,1.49,0.42,0.3
17,2024-08-14,601336,28.7,28.38,28.88,28.32,51464,149791936.0,1.95,-1.08,-0.31,0.25
18,2024-08-15,601336,28.36,28.83,29.09,28.19,96298,282442062.0,3.17,1.59,0.45,0.46
19,2024-08-16,601336,28.69,28.93,29.26,28.69,83186,246024932.0,1.98,0.35,0.1,0.4
20,2024-08-19,601336,28.91,29.72,29.78,28.91,109633,329267523.0,3.01,2.73,0.79,0.53
21,2024-08-20,601336,29.67,29.5,29.83,29.36,70243,211065590.0,1.58,-0.74,-0.22,0.34
22,2024-08-21,601336,29.36,29.03,29.49,28.88,68416,202615051.0,2.07,-1.59,-0.47,0.33
23,2024-08-22,601336,29.12,28.85,29.29,28.84,56056,165661716.0,1.55,-0.62,-0.18,0.27
24,2024-08-23,601336,28.78,29.81,29.9,28.78,105570,317601090.0,3.88,3.33,0.96,0.51
25,2024-08-26,601336,29.78,29.96,30.06,29.5,85055,257924649.0,1.88,0.5,0.15,0.41
26,2024-08-27,601336,29.81,29.93,30.11,29.72,63197,192390597.0,1.3,-0.1,-0.03,0.3
27,2024-08-28,601336,29.85,29.74,29.91,29.51,55379,167605721.0,1.34,-0.63,-0.19,0.27
28,2024-08-29,601336,29.78,29.59,30.54,29.59,124435,379944625.0,3.19,-0.5,-0.15,0.6
29,2024-08-30,601336,30.56,32.51,32.6,30.48,472919,1541438725.0,7.16,9.87,2.92,2.27
30,2024-09-02,601336,32.34,32.62,33.12,32.24,328760,1092671814.0,2.71,0.34,0.11,1.58
31,2024-09-03,601336,32.59,32.31,32.71,32.06,163158,536565241.0,1.99,-0.95,-0.31,0.78
32,2024-09-04,601336,32.41,32.03,32.84,31.77,156879,513802016.0,3.31,-0.87,-0.28,0.75
33,2024-09-05,601336,31.95,32.56,32.64,31.9,132379,435223875.0,2.31,1.65,0.53,0.63
34,2024-09-06,601336,32.47,32.64,33.32,32.24,161151,538902402.0,3.32,0.25,0.08,0.77
35,2024-09-09,601336,32.19,32.14,32.76,32.02,141267,463945640.0,2.27,-1.53,-0.5,0.68
36,2024-09-10,601336,32.05,31.84,32.28,31.58,95592,309041702.0,2.18,-0.93,-0.3,0.46
37,2024-09-11,601336,31.58,31.37,32.02,31.26,105191,337038166.0,2.39,-1.48,-0.47,0.5
38,2024-09-12,601336,31.61,31.41,31.7,31.04,130966,418372057.0,2.1,0.13,0.04,0.63
39,2024-09-13,601336,31.38,31.49,32.27,31.31,122406,395561892.0,3.06,0.25,0.08,0.59
40,2024-09-18,601336,31.4,31.97,32.22,31.36,130373,422152298.0,2.73,1.52,0.48,0.63
41,2024-09-19,601336,31.87,32.2,32.43,31.49,138521,450907546.0,2.94,0.72,0.23,0.66
42,2024-09-20,601336,32.1,32.25,32.4,31.94,101814,333402359.0,1.43,0.16,0.05,0.49
43,2024-09-23,601336,32.12,32.7,33.03,32.07,121911,404090481.0,2.98,1.4,0.45,0.58
44,2024-09-24,601336,33.07,35.54,35.65,32.66,369548,1294449054.0,9.14,8.69,2.84,1.77
45,2024-09-25,601336,37.16,36.49,38.01,36.36,433248,1629735928.0,4.64,2.67,0.95,2.08
46,2024-09-26,601336,36.66,39.33,39.33,36.51,389690,1498762186.0,7.73,7.78,2.84,1.87
47,2024-09-27,601336,40.96,41.66,41.98,39.99,363434,1506833764.0,5.06,5.92,2.33,1.74
48,2024-09-30,601336,44.56,45.88,45.88,43.77,494558,2261006990.0,5.06,10.13,4.22,2.37
49,2024-10-08,601336,50.52,50.52,50.52,48.01,670596,3397669768.0,5.47,10.11,4.64,3.22
50,2024-10-09,601336,49.5,48.46,52.66,47.66,838915,4264107611.0,9.9,-4.08,-2.06,4.02
51,2024-10-10,601336,50.26,51.19,53.36,47.96,734112,3763963747.0,11.14,5.63,2.73,3.52
52,2024-10-11,601336,49.37,49.15,50.93,48.45,379768,1898621738.0,4.84,-3.99,-2.04,1.82
53,2024-10-14,601336,49.41,49.55,50.04,47.86,366021,1820967129.0,4.44,0.81,0.4,1.76
54,2024-10-15,601336,49.16,47.56,50.26,47.42,329523,1628330411.0,5.73,-4.02,-1.99,1.58
55,2024-10-16,601336,46.56,46.7,47.97,46.41,282049,1342321945.0,3.28,-1.81,-0.86,1.35
56,2024-10-17,601336,47.46,46.76,48.64,46.61,256892,1234206167.0,4.35,0.13,0.06,1.23
57,2024-10-18,601336,46.46,48.99,50.26,45.04,532992,2556275241.0,11.16,4.77,2.23,2.56
58,2024-10-21,601336,48.52,48.86,49.23,47.86,294706,1449290038.0,2.8,-0.27,-0.13,1.41
59,2024-10-22,601336,48.91,49.33,50.49,48.43,253001,1259610362.0,4.22,0.96,0.47,1.21
60,2024-10-23,601336,48.88,49.35,50.43,48.82,336603,1687290250.0,3.26,0.04,0.02,1.61
61,2024-10-24,601336,48.86,48.66,49.02,48.06,173132,850036649.0,1.95,-1.4,-0.69,0.83
62,2024-10-25,601336,48.67,48.32,49.08,48.06,151182,741129629.0,2.1,-0.7,-0.34,0.72
63,2024-10-28,601336,48.28,48.11,48.44,47.62,143241,695490699.0,1.7,-0.43,-0.21,0.69
64,2024-10-29,601336,48.06,48.2,49.31,48.03,170255,837518434.0,2.66,0.19,0.09,0.82
65,2024-10-30,601336,48.21,47.23,48.68,46.41,204636,978278593.0,4.71,-2.01,-0.97,0.98
66,2024-10-31,601336,47.72,47.47,48.81,47.1,238190,1151369771.0,3.62,0.51,0.24,1.14
67,2024-11-01,601336,48.1,47.22,48.41,46.67,235214,1134390489.0,3.67,-0.53,-0.25,1.13
68,2024-11-04,601336,47.08,47.76,47.77,46.47,196528,936025739.0,2.75,1.14,0.54,0.94
69,2024-11-05,601336,47.75,51.55,52.0,47.07,530871,2678483533.0,10.32,7.94,3.79,2.55
70,2024-11-06,601336,51.61,50.81,52.46,49.54,491724,2532963171.0,5.66,-1.44,-0.74,2.36
71,2024-11-07,601336,49.82,55.95,55.95,49.7,618157,3292829904.0,12.3,10.12,5.14,2.96
72,2024-11-08,601336,57.47,55.16,57.49,54.26,572428,3227664845.0,5.77,-1.41,-0.79,2.74
73,2024-11-11,601336,54.05,54.57,54.62,53.16,382478,2079315509.0,2.65,-1.07,-0.59,1.83
74,2024-11-12,601336,54.95,52.01,55.62,51.69,388483,2091596852.0,7.2,-4.69,-2.56,1.86
75,2024-11-13,601336,51.96,51.89,52.44,50.98,226369,1183043121.0,2.81,-0.23,-0.12,1.09
76,2024-11-14,601336,52.06,51.79,53.94,51.66,280719,1493425945.0,4.39,-0.19,-0.1,1.35
77,2024-11-15,601336,51.36,49.83,51.91,49.66,232808,1197356157.0,4.34,-3.78,-1.96,1.12
78,2024-11-18,601336,49.93,48.92,51.2,48.4,260259,1305912678.0,5.62,-1.83,-0.91,1.25
79,2024-11-19,601336,49.06,48.67,49.19,47.62,236562,1157553737.0,3.21,-0.51,-0.25,1.13
80,2024-11-20,601336,48.71,49.59,50.55,48.32,210327,1048031689.0,4.58,1.89,0.92,1.01
81,2024-11-21,601336,49.41,49.47,49.66,48.86,130484,649091738.0,1.61,-0.24,-0.12,0.63
82,2024-11-22,601336,49.46,46.47,49.7,46.46,260755,1257904434.0,6.55,-6.06,-3.0,1.25
83,2024-11-25,601336,46.5,45.77,46.67,45.07,219816,1018204203.0,3.44,-1.51,-0.7,1.05
84,2024-11-26,601336,45.78,45.46,46.23,45.27,104106,481429250.0,2.1,-0.68,-0.31,0.5
85,2024-11-27,601336,45.14,46.38,46.41,45.04,146162,678035950.0,3.01,2.02,0.92,0.7
86,2024-11-28,601336,46.46,46.01,47.15,45.94,129725,609928457.0,2.61,-0.8,-0.37,0.62
87,2024-11-29,601336,46.19,47.36,48.83,46.02,232232,1101172315.0,6.11,2.93,1.35,1.11
88,2024-12-02,601336,47.23,48.21,48.4,46.7,184108,882970156.0,3.59,1.79,0.85,0.88
89,2024-12-03,601336,48.08,48.77,49.15,47.69,170658,826420812.0,3.03,1.16,0.56,0.82
90,2024-12-04,601336,48.28,48.47,48.95,48.08,117017,566964763.0,1.78,-0.62,-0.3,0.56
91,2024-12-05,601336,48.25,48.0,48.6,47.9,103739,499553200.0,1.44,-0.97,-0.47,0.5
92,2024-12-06,601336,48.3,51.21,52.8,48.16,481955,2461201413.0,9.67,6.69,3.21,2.31
93,2024-12-09,601336,50.66,52.33,52.98,50.55,419668,2179043947.0,4.75,2.19,1.12,2.01
94,2024-12-10,601336,55.0,53.22,55.44,53.11,455080,2471628584.0,4.45,1.7,0.89,2.18
95,2024-12-11,601336,52.8,51.68,53.49,51.31,246978,1285584073.0,4.1,-2.89,-1.54,1.18
