,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-29,000858,120.26,118.36,120.96,118.36,139364,1745197563.84,2.16,-1.74,-2.1,0.36
1,2024-07-30,000858,117.26,117.55,118.56,115.74,207253,2538151160.57,2.38,-0.68,-0.81,0.53
2,2024-07-31,000858,116.94,121.12,122.44,116.92,260579,3286415866.78,4.7,3.04,3.57,0.67
3,2024-08-01,000858,121.13,118.26,121.21,118.14,174739,2180765965.31,2.53,-2.36,-2.86,0.45
4,2024-08-02,000858,117.26,117.96,118.78,117.14,99502,1231884912.06,1.39,-0.25,-0.3,0.26
5,2024-08-05,000858,117.96,120.26,122.26,117.86,241892,3060405977.49,3.73,1.95,2.3,0.62
6,2024-08-06,000858,120.78,120.16,122.26,119.64,153473,1940983188.7,2.18,-0.08,-0.1,0.4
7,2024-08-07,000858,120.26,121.26,121.84,119.56,132591,1678186222.67,1.9,0.92,1.1,0.34
8,2024-08-08,000858,120.74,122.61,123.93,120.21,200131,2559755533.74,3.07,1.11,1.35,0.52
9,2024-08-09,000858,123.76,122.34,124.26,122.0,158468,2041741165.9,1.84,-0.22,-0.27,0.41
10,2024-08-12,000858,121.76,121.97,122.75,121.38,73108,934639850.56,1.12,-0.3,-0.37,0.19
11,2024-08-13,000858,121.85,119.86,122.22,119.38,124517,1567828596.93,2.33,-1.73,-2.11,0.32
12,2024-08-14,000858,119.76,118.59,119.85,118.15,94947,1181885782.0,1.42,-1.06,-1.27,0.24
13,2024-08-15,000858,118.28,119.21,120.41,118.12,111623,1395432331.9,1.93,0.52,0.62,0.29
14,2024-08-16,000858,118.76,119.27,119.63,117.84,97267,1211693479.26,1.5,0.05,0.06,0.25
15,2024-08-19,000858,119.26,118.21,121.26,118.16,138759,1732841551.47,2.6,-0.89,-1.06,0.36
16,2024-08-20,000858,118.21,117.41,118.26,116.92,109852,1352259414.56,1.13,-0.68,-0.8,0.28
17,2024-08-21,000858,117.06,116.46,117.4,116.36,97108,1189648677.41,0.89,-0.81,-0.95,0.25
18,2024-08-22,000858,116.47,115.25,116.65,114.22,185285,2234186007.82,2.09,-1.04,-1.21,0.48
19,2024-08-23,000858,114.86,115.37,116.36,114.78,88988,1078393647.25,1.37,0.1,0.12,0.23
20,2024-08-26,000858,115.24,112.38,116.13,112.3,204010,2429417311.3,3.32,-2.59,-2.99,0.53
21,2024-08-27,000858,111.96,111.96,112.46,109.81,156609,1831272407.47,2.36,-0.37,-0.42,0.4
22,2024-08-28,000858,111.26,108.26,111.26,107.18,247292,2821002956.19,3.64,-3.3,-3.7,0.64
23,2024-08-29,000858,109.76,113.04,114.55,109.39,300256,3546177235.89,4.77,4.42,4.78,0.77
24,2024-08-30,000858,112.26,117.29,118.92,111.04,337798,4114623948.37,6.97,3.76,4.25,0.87
25,2024-09-02,000858,116.26,113.26,116.57,113.26,177555,2134586803.91,2.82,-3.44,-4.03,0.46
26,2024-09-03,000858,113.34,114.58,115.73,113.26,127984,1538909785.99,2.18,1.17,1.32,0.33
27,2024-09-04,000858,113.59,113.37,115.06,113.29,84692,1011886744.1,1.54,-1.06,-1.21,0.22
28,2024-09-05,000858,113.36,113.81,114.14,112.76,82795,987295999.11,1.22,0.39,0.44,0.21
29,2024-09-06,000858,113.76,111.79,113.76,111.76,77722,920196138.14,1.76,-1.77,-2.02,0.2
30,2024-09-09,000858,111.16,110.48,111.75,109.78,111587,1296332675.27,1.76,-1.17,-1.31,0.29
31,2024-09-10,000858,110.48,110.69,112.52,110.16,106050,1237792376.22,2.14,0.19,0.21,0.27
32,2024-09-11,000858,110.06,110.27,111.33,109.26,76591,888345206.8,1.87,-0.38,-0.42,0.2
33,2024-09-12,000858,110.26,107.62,110.64,107.62,169848,1945710693.73,2.74,-2.4,-2.65,0.44
34,2024-09-13,000858,107.56,103.46,107.56,103.46,311531,3444726618.29,3.81,-3.87,-4.16,0.8
35,2024-09-18,000858,102.51,101.95,103.83,101.47,177639,1916365125.08,2.28,-1.46,-1.51,0.46
36,2024-09-19,000858,101.99,105.16,107.12,100.59,318181,3511889907.71,6.41,3.15,3.21,0.82
37,2024-09-20,000858,104.39,104.54,105.11,102.86,196681,2158043124.56,2.14,-0.59,-0.62,0.51
38,2024-09-23,000858,105.17,106.55,108.05,104.66,203712,2298355085.44,3.24,1.92,2.01,0.52
39,2024-09-24,000858,109.16,114.62,114.66,107.77,473469,5559354900.52,6.47,7.57,8.07,1.22
40,2024-09-25,000858,117.86,116.36,119.88,116.14,417189,5168860913.22,3.26,1.52,1.74,1.07
41,2024-09-26,000858,116.36,128.57,128.57,116.17,664534,8594482227.56,10.66,10.49,12.21,1.71
42,2024-09-27,000858,136.06,142.0,142.0,132.79,864577,12438562566.83,7.16,10.45,13.43,2.23
43,2024-09-30,000858,150.28,156.77,156.77,146.96,986201,15752197755.52,6.91,10.4,14.77,2.54
44,2024-10-08,000858,173.02,158.31,173.02,149.81,1306806,22218231044.69,14.81,0.98,1.54,3.37
45,2024-10-09,000858,154.26,141.94,154.26,141.92,815469,12409184179.14,7.79,-10.34,-16.37,2.1
46,2024-10-10,000858,141.93,146.24,149.79,141.93,600601,9164464306.6,5.54,3.03,4.3,1.55
47,2024-10-11,000858,144.26,143.91,147.58,142.26,285158,4283807927.93,3.64,-1.59,-2.33,0.73
48,2024-10-14,000858,145.26,144.02,145.26,140.27,334966,4986283992.84,3.47,0.08,0.11,0.86
49,2024-10-15,000858,144.26,138.26,144.36,138.26,329702,4840842560.33,4.24,-4.0,-5.76,0.85
50,2024-10-16,000858,136.26,135.91,138.55,134.34,312272,4430542144.18,3.04,-1.7,-2.35,0.8
51,2024-10-17,000858,136.76,132.21,137.18,132.15,282508,3957974225.62,3.7,-2.72,-3.7,0.73
52,2024-10-18,000858,131.27,137.26,139.82,130.62,441443,6206988496.45,6.96,3.82,5.05,1.14
53,2024-10-21,000858,138.25,137.27,139.76,135.36,295765,4223086214.96,3.21,0.01,0.01,0.76
54,2024-10-22,000858,137.06,139.7,140.71,136.47,304663,4419839157.54,3.09,1.77,2.43,0.78
55,2024-10-23,000858,139.73,142.79,143.79,138.26,358138,5277833035.92,3.96,2.21,3.09,0.92
56,2024-10-24,000858,141.06,140.72,142.76,140.37,186420,2743177643.67,1.67,-1.45,-2.07,0.48
57,2024-10-25,000858,139.72,142.37,144.13,139.72,198055,2926843948.56,3.13,1.17,1.65,0.51
58,2024-10-28,000858,143.27,148.23,148.26,140.93,438110,6649586215.49,5.15,4.12,5.86,1.13
59,2024-10-29,000858,148.23,145.06,151.14,144.66,303158,4641639291.51,4.37,-2.14,-3.17,0.78
60,2024-10-30,000858,143.26,143.06,145.57,141.56,211870,3158474275.2,2.76,-1.38,-2.0,0.55
61,2024-10-31,000858,141.26,141.09,143.46,139.67,269441,3957475706.73,2.65,-1.38,-1.97,0.69
62,2024-11-01,000858,139.98,142.18,145.06,139.98,227192,3379402017.88,3.6,0.77,1.09,0.59
63,2024-11-04,000858,142.76,142.86,143.47,140.34,205052,3030626417.3,2.2,0.48,0.68,0.53
64,2024-11-05,000858,142.26,147.06,147.25,141.06,320318,4839032609.09,4.33,2.94,4.2,0.83
65,2024-11-06,000858,147.02,145.51,147.26,143.41,302066,4568777903.38,2.62,-1.05,-1.55,0.78
