,成交价格
532,13.07
533,13.06
534,13.06
535,13.07
536,13.07
537,13.07
538,13.07
539,13.07
540,13.07
541,13.06
542,13.06
543,13.06
544,13.05
545,13.05
546,13.05
547,13.05
548,13.05
549,13.05
550,13.05
551,13.04
552,13.05
553,13.05
554,13.04
555,13.04
556,13.03
557,13.03
558,13.02
559,13.02
560,13.01
561,13.0
562,13.0
563,12.99
564,13.0
565,12.99
566,13.0
567,12.98
568,12.99
569,12.99
570,12.99
571,13.0
572,13.0
573,13.0
574,13.0
575,13.0
576,13.0
577,13.0
578,13.0
579,12.99
580,12.98
581,12.98
582,12.98
583,12.98
584,12.99
585,13.0
586,13.0
587,13.0
588,13.0
589,13.0
590,13.01
591,13.0
592,13.0
593,12.99
594,12.99
595,13.0
596,13.0
597,13.0
598,13.0
599,13.01
600,13.0
601,13.0
602,13.01
603,13.0
604,13.01
605,13.0
606,13.0
607,12.98
608,12.98
609,12.98
610,12.97
611,12.96
612,12.97
613,12.97
614,12.95
615,12.95
616,12.95
617,12.95
618,12.96
619,12.96
620,12.96
621,12.95
622,12.95
623,12.95
624,12.95
625,12.95
626,12.96
627,12.95
628,12.94
629,12.94
630,12.94
631,12.93
632,12.93
633,12.93
634,12.93
635,12.93
636,12.93
637,12.93
638,12.93
639,12.94
640,12.93
641,12.96
642,12.96
643,12.95
644,12.95
645,12.95
646,12.98
647,12.95
648,12.95
649,13.0
650,12.98
651,12.97
652,12.99
653,12.99
654,12.98
655,12.99
656,12.99
657,12.99
658,12.99
659,13.0
660,12.99
661,12.99
662,12.99
663,12.98
664,12.98
665,12.98
666,12.97
667,13.01
668,12.98
669,13.01
670,12.99
671,12.99
672,13.0
673,13.0
674,13.0
675,13.0
676,13.0
677,13.01
678,13.0
679,13.0
680,13.0
681,13.0
682,13.0
683,13.0
684,13.0
685,13.0
686,13.0
687,13.0
688,13.0
689,13.0
690,13.0
691,13.0
692,13.0
693,13.0
694,12.99
695,13.0
696,13.0
697,13.0
698,13.0
699,13.0
700,13.0
701,13.0
702,13.0
703,13.0
704,13.0
705,13.0
706,13.0
707,13.0
708,12.99
709,12.99
710,12.99
711,12.98
712,12.99
713,12.98
714,12.99
715,12.98
716,12.99
717,12.99
718,12.99
719,12.97
720,12.98
721,12.97
722,12.98
723,12.98
724,12.98
725,12.98
726,12.98
727,12.97
728,12.97
729,12.98
730,12.97
731,12.98
732,12.98
733,12.98
734,13.0
735,13.0
736,13.01
737,13.01
738,13.01
739,12.99
740,13.0
741,13.01
742,13.02
743,13.03
744,13.02
745,13.03
746,13.04
747,13.03
748,13.04
749,13.04
750,13.05
751,13.05
752,13.04
753,13.04
754,13.04
755,13.03
756,13.04
757,13.04
758,13.05
759,13.03
760,13.04
761,13.04
762,13.04
763,13.04
764,13.03
765,13.03
766,13.04
767,13.05
768,13.04
769,13.05
770,13.05
771,13.05
772,13.06
773,13.07
774,13.08
775,13.08
776,13.08
777,13.08
778,13.09
779,13.1
780,13.09
781,13.09
782,13.09
783,13.09
784,13.04
785,13.05
786,13.05
787,13.05
788,13.05
789,13.06
790,13.06
791,13.03
792,13.04
793,13.01
794,13.01
795,13.02
796,13.01
797,13.01
798,13.02
799,13.01
800,13.01
801,13.01
802,13.0
803,13.0
804,12.99
805,13.0
806,12.99
807,12.99
808,13.0
809,12.99
810,12.99
811,13.0
812,13.0
813,13.01
814,13.01
815,13.0
816,13.01
817,13.0
818,13.01
819,13.02
820,13.01
821,13.0
822,13.0
823,13.0
824,13.01
825,13.0
826,13.01
827,13.01
828,13.0
829,13.01
830,13.03
831,13.03
832,13.03
833,13.04
834,13.05
835,13.05
836,13.05
837,13.05
838,13.05
839,13.05
840,13.06
841,13.05
842,13.06
843,13.07
844,13.07
845,13.07
846,13.06
847,13.07
