,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,15.53,857256,552,买盘
1,09:30:03,15.57,317216,204,买盘
2,09:30:06,15.55,711699,457,卖盘
3,09:30:09,15.62,1908940,1224,买盘
4,09:30:12,15.63,184417,118,买盘
5,09:30:15,15.62,253167,162,卖盘
6,09:30:18,15.62,632762,405,卖盘
7,09:30:21,15.63,888533,569,买盘
8,09:30:24,15.6,288998,185,卖盘
9,09:30:27,15.58,166971,107,卖盘
10,09:30:30,15.61,96723,62,买盘
11,09:30:33,15.58,415015,266,卖盘
12,09:30:36,15.59,112296,72,中性盘
13,09:30:39,15.59,180985,116,卖盘
14,09:30:42,15.61,81144,52,买盘
15,09:30:45,15.61,152851,98,买盘
16,09:30:48,15.59,149685,96,卖盘
17,09:30:51,15.6,159125,102,买盘
18,09:30:54,15.6,109210,70,买盘
19,09:30:57,15.6,78000,50,买盘
20,09:31:00,15.6,322877,207,买盘
21,09:31:03,15.6,1307869,838,卖盘
22,09:31:06,15.6,633524,406,卖盘
23,09:31:09,15.61,43678,28,中性盘
24,09:31:12,15.61,240341,154,买盘
25,09:31:15,15.61,48412,31,卖盘
26,09:31:18,15.62,323158,207,买盘
27,09:31:21,15.62,367050,235,买盘
28,09:31:24,15.62,246859,158,卖盘
29,09:31:27,15.63,1104163,707,买盘
30,09:31:30,15.63,467445,299,卖盘
31,09:31:33,15.66,1599293,1022,买盘
32,09:31:36,15.67,2522173,1610,买盘
33,09:31:39,15.69,1646934,1050,买盘
34,09:31:42,15.69,1084269,691,卖盘
35,09:31:45,15.69,1445204,921,卖盘
36,09:31:48,15.69,32941,21,买盘
37,09:31:51,15.7,632315,403,买盘
38,09:31:54,15.68,246364,157,卖盘
39,09:31:57,15.68,523784,334,卖盘
40,09:32:00,15.69,368692,235,买盘
41,09:32:03,15.69,846194,539,中性盘
42,09:32:06,15.69,288697,184,卖盘
43,09:32:09,15.69,376669,240,卖盘
44,09:32:12,15.69,208678,133,买盘
45,09:32:15,15.69,189937,121,卖盘
46,09:32:18,15.69,207219,132,卖盘
47,09:32:21,15.71,1896794,1208,买盘
48,09:32:24,15.71,770221,490,卖盘
49,09:32:27,15.71,735381,468,卖盘
50,09:32:30,15.71,11001,7,卖盘
51,09:32:33,15.72,391348,249,买盘
52,09:32:36,15.71,155549,99,卖盘
53,09:32:39,15.71,81725,52,卖盘
54,09:32:42,15.71,391276,249,卖盘
55,09:32:45,15.71,78588,50,卖盘
56,09:32:48,15.71,237298,151,卖盘
57,09:32:51,15.7,2329455,1483,卖盘
58,09:32:54,15.71,538556,343,买盘
59,09:32:57,15.71,205767,131,买盘
60,09:33:00,15.72,443176,282,买盘
61,09:33:03,15.73,2025841,1288,买盘
62,09:33:06,15.73,542945,345,卖盘
63,09:33:09,15.74,151104,96,中性盘
64,09:33:12,15.74,856257,544,卖盘
65,09:33:15,15.74,309810,197,买盘
66,09:33:18,15.72,209321,133,卖盘
67,09:33:21,15.72,268812,171,卖盘
68,09:33:24,15.72,572204,364,卖盘
69,09:33:27,15.72,1029276,655,卖盘
70,09:33:30,15.72,614615,391,买盘
71,09:33:33,15.72,416505,265,卖盘
72,09:33:36,15.72,86413,55,买盘
73,09:33:39,15.71,86453,55,卖盘
74,09:33:42,15.71,67552,43,买盘
75,09:33:45,15.72,67561,43,买盘
76,09:33:48,15.72,33010,21,买盘
77,09:33:51,15.71,909930,579,卖盘
78,09:33:54,15.7,899751,573,卖盘
79,09:33:57,15.69,15696,10,卖盘
80,09:34:00,15.69,167969,107,卖盘
81,09:34:03,15.71,356406,227,买盘
82,09:34:06,15.69,320321,204,卖盘
83,09:34:09,15.68,1087188,693,卖盘
84,09:34:12,15.68,269648,172,买盘
85,09:34:15,15.7,277754,177,买盘
86,09:34:18,15.69,171020,109,中性盘
87,09:34:21,15.69,64331,41,卖盘
88,09:34:24,15.69,54929,35,卖盘
89,09:34:27,15.69,14122,9,卖盘
90,09:34:30,15.7,54919,35,买盘
91,09:34:33,15.69,20397,13,卖盘
92,09:34:36,15.69,166372,106,卖盘
93,09:34:39,15.69,117676,75,卖盘
94,09:34:42,15.7,54945,35,买盘
95,09:34:45,15.69,70614,45,卖盘
96,09:34:48,15.69,575877,367,卖盘
97,09:34:51,15.69,398601,254,卖盘
98,09:34:54,15.69,76920,49,卖盘
99,09:34:57,15.69,204050,130,卖盘
100,09:35:00,15.7,61195,39,买盘
101,09:35:03,15.72,2477309,1577,买盘
102,09:35:06,15.71,193283,123,卖盘
103,09:35:09,15.71,259364,165,卖盘
104,09:35:12,15.72,152465,97,买盘
105,09:35:15,15.71,89581,57,卖盘
106,09:35:18,15.71,237266,151,卖盘
107,09:35:21,15.71,97447,62,卖盘
108,09:35:24,15.72,64421,41,买盘
109,09:35:27,15.71,1206579,768,卖盘
110,09:35:30,15.71,138246,88,买盘
111,09:35:33,15.71,601694,383,卖盘
112,09:35:36,15.71,298491,190,买盘
113,09:35:39,15.71,281156,179,买盘
114,09:35:42,15.71,166526,106,买盘
115,09:35:45,15.72,99032,63,买盘
116,09:35:48,15.7,691238,440,卖盘
117,09:35:51,15.7,75376,48,卖盘
118,09:35:54,15.7,1160255,739,卖盘
119,09:35:57,15.71,628399,400,买盘
120,09:36:00,15.71,161810,103,买盘
121,09:36:03,15.71,370845,236,卖盘
122,09:36:06,15.71,15716,10,卖盘
123,09:36:09,15.71,204275,130,卖盘
124,09:36:12,15.71,99033,63,卖盘
125,09:36:15,15.71,92717,59,卖盘
126,09:36:18,15.71,367674,234,卖盘
127,09:36:21,15.7,1506427,959,卖盘
128,09:36:24,15.71,139731,89,中性盘
129,09:36:27,15.71,353409,225,买盘
130,09:36:30,15.71,353450,225,买盘
131,09:36:33,15.7,309458,197,卖盘
132,09:36:36,15.7,188506,120,卖盘
133,09:36:39,15.7,125652,80,卖盘
134,09:36:42,15.7,94242,60,卖盘
135,09:36:45,15.7,78519,50,卖盘
136,09:36:48,15.7,617012,393,卖盘
137,09:36:51,15.7,210379,134,买盘
138,09:36:54,15.7,40820,26,卖盘
139,09:36:57,15.71,422333,269,买盘
140,09:37:00,15.71,248185,158,买盘
141,09:37:03,15.7,702097,447,中性盘
142,09:37:06,15.7,241779,154,买盘
143,09:37:09,15.69,146006,93,卖盘
144,09:37:12,15.7,211910,135,买盘
145,09:37:15,15.7,546170,348,买盘
146,09:37:18,15.7,64361,41,买盘
147,09:37:21,15.7,737858,470,买盘
148,09:37:24,15.7,125600,80,买盘
149,09:37:27,15.7,172729,110,买盘
150,09:37:30,15.7,263764,168,卖盘
151,09:37:33,15.7,329803,210,卖盘
152,09:37:36,15.7,356582,227,卖盘
153,09:37:39,15.71,81645,52,买盘
154,09:37:42,15.71,768210,489,买盘
155,09:37:45,15.72,293797,187,买盘
156,09:37:48,15.71,166473,106,买盘
157,09:37:51,15.72,113166,72,买盘
158,09:37:54,15.71,64442,41,卖盘
159,09:37:57,15.72,188602,120,买盘
160,09:38:00,15.72,193334,123,买盘
161,09:38:03,15.72,916471,583,买盘
162,09:38:06,15.73,1097316,698,买盘
163,09:38:09,15.73,18876,12,买盘
164,09:38:12,15.73,734582,467,买盘
165,09:38:15,15.72,53476,34,卖盘
166,09:38:18,15.73,20439,13,买盘
167,09:38:21,15.73,755040,480,买盘
168,09:38:24,15.73,177715,113,买盘
169,09:38:27,15.72,331804,211,卖盘
170,09:38:30,15.73,75466,48,买盘
171,09:38:33,15.73,64489,41,买盘
172,09:38:36,15.73,95948,61,买盘
173,09:38:39,15.73,92807,59,买盘
174,09:38:42,15.73,267400,170,买盘
175,09:38:45,15.73,141584,90,卖盘
176,09:38:48,15.74,83413,53,买盘
177,09:38:51,15.74,568178,361,买盘
178,09:38:54,15.74,155787,99,买盘
179,09:38:57,15.73,56646,36,卖盘
180,09:39:00,15.74,310042,197,买盘
181,09:39:03,15.75,1101817,700,买盘
182,09:39:06,15.74,522750,332,卖盘
183,09:39:09,15.74,58238,37,卖盘
184,09:39:12,15.74,114966,73,卖盘
185,09:39:15,15.74,475478,302,卖盘
186,09:39:18,15.74,223642,142,卖盘
187,09:39:21,15.74,25192,16,卖盘
188,09:39:24,15.74,47241,30,卖盘
189,09:39:27,15.74,17314,11,卖盘
190,09:39:30,15.75,113370,72,买盘
191,09:39:33,15.75,133832,85,买盘
192,09:39:36,15.75,59833,38,买盘
193,09:39:39,15.74,89741,57,卖盘
194,09:39:42,15.74,177921,113,卖盘
195,09:39:45,15.75,89771,57,买盘
196,09:39:48,15.74,209393,133,卖盘
197,09:39:51,15.74,86570,55,卖盘
198,09:39:54,15.74,154284,98,卖盘
199,09:39:57,15.74,69292,44,卖盘
200,09:40:00,15.74,184197,117,卖盘
201,09:40:03,15.75,198449,126,买盘
202,09:40:06,15.74,155872,99,卖盘
203,09:40:09,15.74,305473,194,卖盘
204,09:40:12,15.75,78745,50,买盘
205,09:40:15,15.74,47241,30,卖盘
206,09:40:18,15.75,47250,30,买盘
207,09:40:21,15.75,902413,573,买盘
208,09:40:24,15.74,188962,120,卖盘
209,09:40:27,15.74,399917,254,卖盘
210,09:40:30,15.74,111807,71,卖盘
211,09:40:33,15.74,138558,88,卖盘
