,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-24,600809,178.93,174.94,180.49,173.95,73152,1334453523.0,3.65,-2.39,-4.29,0.6
1,2024-07-25,600809,174.95,175.41,178.39,173.6,58104,1053333178.0,2.74,0.27,0.47,0.48
2,2024-07-26,600809,175.73,176.29,177.64,173.21,44074,800434707.0,2.53,0.5,0.88,0.36
3,2024-07-29,600809,174.17,172.59,176.93,171.95,54955,987331352.0,2.82,-2.1,-3.7,0.45
4,2024-07-30,600809,170.93,174.7,174.73,167.14,77579,1372333723.0,4.4,1.22,2.11,0.64
5,2024-07-31,600809,174.08,178.27,181.94,174.04,88852,1643340571.0,4.52,2.04,3.57,0.73
6,2024-08-01,600809,178.19,172.17,178.24,170.94,66236,1188664352.0,4.09,-3.42,-6.1,0.54
7,2024-08-02,600809,170.94,170.94,173.93,169.97,35439,629652559.0,2.3,-0.71,-1.23,0.29
8,2024-08-05,600809,171.14,177.36,179.96,170.33,90165,1653251931.0,5.63,3.76,6.42,0.74
9,2024-08-06,600809,177.53,178.94,180.34,175.95,62940,1157218497.0,2.48,0.89,1.58,0.52
10,2024-08-07,600809,178.88,184.94,185.91,177.32,78184,1474820219.0,4.8,3.35,6.0,0.64
11,2024-08-08,600809,183.84,188.84,194.49,183.24,81030,1585671738.0,6.08,2.11,3.9,0.66
12,2024-08-09,600809,189.74,187.44,192.12,186.44,48145,938133175.0,3.01,-0.74,-1.4,0.39
13,2024-08-12,600809,185.61,185.23,187.41,183.56,34544,660577440.0,2.05,-1.18,-2.21,0.28
14,2024-08-13,600809,185.57,182.82,185.6,181.39,33455,630608921.0,2.27,-1.3,-2.41,0.27
15,2024-08-14,600809,182.74,179.49,182.92,177.34,47676,882444102.0,3.05,-1.82,-3.33,0.39
16,2024-08-15,600809,178.49,179.25,182.52,177.94,43441,807088591.0,2.55,-0.13,-0.24,0.36
17,2024-08-16,600809,179.14,177.74,179.14,175.69,34084,624849759.0,1.92,-0.84,-1.51,0.28
18,2024-08-19,600809,177.94,177.97,183.01,177.5,38744,718104493.0,3.1,0.13,0.23,0.32
19,2024-08-20,600809,177.94,176.11,177.94,174.65,36856,671133816.0,1.85,-1.05,-1.86,0.3
20,2024-08-21,600809,175.14,174.75,177.26,174.64,28929,525675064.0,1.49,-0.77,-1.36,0.24
21,2024-08-22,600809,174.66,172.61,175.64,171.24,42291,755119231.0,2.52,-1.22,-2.14,0.35
22,2024-08-23,600809,172.64,171.72,174.65,170.81,31556,562661542.0,2.22,-0.52,-0.89,0.26
23,2024-08-26,600809,171.94,169.65,173.44,168.24,36835,648294621.0,3.03,-1.21,-2.07,0.3
24,2024-08-27,600809,168.97,169.68,171.84,166.13,42511,743970386.0,3.37,0.02,0.03,0.35
25,2024-08-28,600809,160.49,159.54,161.94,152.12,173571,2795210223.0,5.79,-5.98,-10.14,1.42
26,2024-08-29,600809,155.94,160.54,162.33,155.19,93533,1550683764.0,4.48,0.63,1.0,0.77
27,2024-08-30,600809,159.94,170.77,173.93,158.4,106244,1845164524.0,9.67,6.37,10.23,0.87
28,2024-09-02,600809,168.94,161.38,168.94,161.38,69134,1176306101.0,4.43,-5.5,-9.39,0.57
29,2024-09-03,600809,161.37,163.59,164.82,161.0,37347,631884792.0,2.37,1.37,2.21,0.31
30,2024-09-04,600809,163.24,161.53,165.86,161.41,29610,499012649.0,2.72,-1.26,-2.06,0.24
