,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-15,002639,5.2,5.07,5.28,5.07,119043,61326150.91,4.17,0.6,0.03,1.83
1,2024-07-16,002639,5.2,5.12,5.2,5.07,77192,39439610.99,2.56,0.99,0.05,1.19
2,2024-07-17,002639,5.06,5.02,5.12,5.01,51857,26139144.0,2.15,-1.95,-0.1,0.8
3,2024-07-18,002639,4.98,5.0,5.02,4.88,64608,31914632.44,2.79,-0.4,-0.02,0.99
4,2024-07-19,002639,5.0,5.05,5.07,4.96,43689,22005595.0,2.2,1.0,0.05,0.67
5,2024-07-22,002639,5.05,5.05,5.09,5.03,38672,19549400.0,1.19,0.0,0.0,0.59
6,2024-07-23,002639,5.04,4.96,5.09,4.95,48550,24466749.0,2.77,-1.78,-0.09,0.75
7,2024-07-24,002639,4.96,4.88,5.04,4.88,62822,31055328.0,3.23,-1.61,-0.08,0.97
8,2024-07-25,002639,4.87,4.95,4.99,4.83,60999,29970326.3,3.28,1.43,0.07,0.94
9,2024-07-26,002639,4.96,5.08,5.08,4.95,72843,36774623.81,2.63,2.63,0.13,1.12
10,2024-07-29,002639,5.07,5.07,5.12,5.06,51300,26094930.6,1.18,-0.2,-0.01,0.79
11,2024-07-30,002639,5.08,5.1,5.1,5.03,44283,22479176.61,1.38,0.59,0.03,0.68
12,2024-07-31,002639,5.1,5.22,5.24,5.09,106544,55317591.93,2.94,2.35,0.12,1.64
13,2024-08-01,002639,5.23,5.27,5.31,5.2,98741,52007721.03,2.11,0.96,0.05,1.52
14,2024-08-02,002639,5.24,5.21,5.3,5.2,71714,37686309.18,1.9,-1.14,-0.06,1.1
15,2024-08-05,002639,5.2,5.12,5.26,5.11,72693,37742985.0,2.88,-1.73,-0.09,1.12
16,2024-08-06,002639,5.13,5.19,5.22,5.12,58445,30186163.82,1.95,1.37,0.07,0.9
17,2024-08-07,002639,5.21,5.19,5.26,5.17,46661,24267598.0,1.73,0.0,0.0,0.72
18,2024-08-08,002639,5.17,5.16,5.19,5.11,40643,20939212.0,1.54,-0.58,-0.03,0.62
19,2024-08-09,002639,5.18,5.1,5.19,5.1,52539,26962243.0,1.74,-1.16,-0.06,0.81
20,2024-08-12,002639,5.16,5.37,5.61,5.1,250028,134740395.0,10.0,5.29,0.27,3.84
21,2024-08-13,002639,5.31,5.28,5.35,5.16,186478,97700954.4,3.54,-1.68,-0.09,2.87
22,2024-08-14,002639,5.23,5.21,5.29,5.2,87965,46045496.34,1.7,-1.33,-0.07,1.35
23,2024-08-15,002639,5.21,5.24,5.26,5.14,101082,52659074.12,2.3,0.58,0.03,1.55
24,2024-08-16,002639,5.23,5.17,5.33,5.16,103083,53904756.12,3.24,-1.34,-0.07,1.58
25,2024-08-19,002639,5.15,5.22,5.28,5.15,108931,56990583.28,2.51,0.97,0.05,1.67
26,2024-08-20,002639,5.26,5.39,5.47,5.22,266925,142800804.26,4.79,3.26,0.17,4.1
27,2024-08-21,002639,5.31,5.51,5.56,5.3,272092,149020840.84,4.82,2.23,0.12,4.18
28,2024-08-22,002639,5.49,5.38,5.49,5.32,174391,93832556.33,3.09,-2.36,-0.13,2.68
29,2024-08-23,002639,5.37,5.43,5.47,5.26,133104,71929075.94,3.9,0.93,0.05,2.05
30,2024-08-26,002639,5.47,5.58,5.85,5.44,276161,154834516.31,7.55,2.76,0.15,4.24
31,2024-08-27,002639,5.53,5.78,5.88,5.5,321794,184866779.61,6.81,3.58,0.2,4.95
32,2024-08-28,002639,5.65,5.56,5.87,5.56,255506,144733256.66,5.36,-3.81,-0.22,3.93
33,2024-08-29,002639,5.56,5.5,5.58,5.37,206769,112823022.4,3.78,-1.08,-0.06,3.18
34,2024-08-30,002639,5.47,5.56,5.64,5.43,191720,106459178.5,3.82,1.09,0.06,2.95
35,2024-09-02,002639,5.62,5.63,5.73,5.56,210860,118907464.94,3.06,1.26,0.07,3.24
36,2024-09-03,002639,5.59,5.53,5.64,5.48,159342,88360384.23,2.84,-1.78,-0.1,2.45
37,2024-09-04,002639,5.48,5.49,5.6,5.42,128662,70670792.8,3.25,-0.72,-0.04,1.98
38,2024-09-05,002639,5.43,5.47,5.5,5.42,89574,48865471.0,1.46,-0.36,-0.02,1.38
39,2024-09-06,002639,5.47,5.19,5.48,5.19,174626,92423726.32,5.3,-5.12,-0.28,2.68
40,2024-09-09,002639,5.1,5.04,5.15,5.0,116709,59004869.62,2.89,-2.89,-0.15,1.79
41,2024-09-10,002639,5.04,5.09,5.12,5.0,78044,39432763.0,2.38,0.99,0.05,1.2
42,2024-09-11,002639,5.06,5.08,5.12,5.05,60857,30935238.0,1.38,-0.2,-0.01,0.94
43,2024-09-12,002639,5.08,5.11,5.18,5.08,58149,29865315.37,1.97,0.59,0.03,0.89
44,2024-09-13,002639,5.13,5.06,5.14,5.04,49570,25158537.0,1.96,-0.98,-0.05,0.76
45,2024-09-18,002639,5.05,5.02,5.07,4.93,62266,31059349.0,2.77,-0.79,-0.04,0.96
46,2024-09-19,002639,5.07,5.14,5.15,5.03,65301,33351394.36,2.39,2.39,0.12,1.0
47,2024-09-20,002639,5.14,5.11,5.16,5.09,46262,23672232.72,1.36,-0.58,-0.03,0.71
48,2024-09-23,002639,5.1,5.12,5.15,5.07,43889,22485376.0,1.57,0.2,0.01,0.67
49,2024-09-24,002639,5.13,5.25,5.25,5.11,94901,49293798.81,2.73,2.54,0.13,1.46
50,2024-09-25,002639,5.3,5.31,5.42,5.28,135170,72407585.54,2.67,1.14,0.06,2.08
51,2024-09-26,002639,5.31,5.42,5.42,5.28,106390,57160283.74,2.64,2.07,0.11,1.64
52,2024-09-27,002639,5.52,5.6,5.75,5.48,259436,145406956.52,4.98,3.32,0.18,3.99
53,2024-09-30,002639,5.82,6.12,6.15,5.68,432410,258080784.71,8.39,9.29,0.52,6.65
54,2024-10-08,002639,6.73,6.56,6.73,6.15,474654,307677999.67,9.48,7.19,0.44,7.3
55,2024-10-09,002639,6.36,5.96,6.36,5.96,346245,212992542.38,6.1,-9.15,-0.6,5.32
56,2024-10-10,002639,5.97,6.0,6.12,5.91,186029,112157116.0,3.52,0.67,0.04,2.86
57,2024-10-11,002639,6.0,5.72,6.05,5.66,188484,109366776.21,6.5,-4.67,-0.28,2.9
58,2024-10-14,002639,5.73,5.84,5.84,5.66,140672,81290350.51,3.15,2.1,0.12,2.16
59,2024-10-15,002639,5.8,5.73,5.87,5.71,130468,75579114.12,2.74,-1.88,-0.11,2.01
60,2024-10-16,002639,5.66,5.73,5.78,5.62,110061,62944377.23,2.79,0.0,0.0,1.69
61,2024-10-17,002639,5.75,5.71,5.84,5.7,115706,66659591.0,2.44,-0.35,-0.02,1.78
62,2024-10-18,002639,5.71,5.82,5.92,5.65,204418,118208171.67,4.73,1.93,0.11,3.14
63,2024-10-21,002639,5.83,5.89,5.97,5.82,187497,110531051.0,2.58,1.2,0.07,2.88
64,2024-10-22,002639,5.89,5.97,5.98,5.86,156963,93250965.06,2.04,1.36,0.08,2.41
65,2024-10-23,002639,5.99,6.0,6.15,5.95,249092,150626923.34,3.35,0.5,0.03,3.83
66,2024-10-24,002639,6.0,6.07,6.2,6.0,261009,159297189.55,3.33,1.17,0.07,4.01
67,2024-10-25,002639,6.18,6.27,6.4,6.12,315530,197696302.0,4.61,3.29,0.2,4.85
68,2024-10-28,002639,6.57,6.44,6.58,6.38,398963,257829229.0,3.19,2.71,0.17,6.13
69,2024-10-29,002639,6.41,6.3,6.59,6.29,372361,239196353.38,4.66,-2.17,-0.14,5.72
70,2024-10-30,002639,6.25,6.27,6.49,6.17,313746,196946548.62,5.08,-0.48,-0.03,4.82
71,2024-10-31,002639,6.3,6.37,6.4,6.27,230221,146192706.15,2.07,1.59,0.1,3.54
72,2024-11-01,002639,6.37,6.13,6.39,6.11,222619,138295212.0,4.4,-3.77,-0.24,3.42
73,2024-11-04,002639,6.11,6.44,6.48,6.11,280737,178100018.31,6.04,5.06,0.31,4.32
74,2024-11-05,002639,6.5,6.68,6.68,6.42,425923,279560439.75,4.04,3.73,0.24,6.55
75,2024-11-06,002639,6.71,6.91,7.3,6.54,769939,528349134.12,11.38,3.44,0.23,11.83
76,2024-11-07,002639,7.19,7.53,7.6,7.01,1174487,865856545.52,8.54,8.97,0.62,18.05
77,2024-11-08,002639,7.19,7.23,7.7,7.01,973686,706251491.83,9.16,-3.98,-0.3,14.97
78,2024-11-11,002639,7.16,7.18,7.27,7.1,447864,321138769.36,2.35,-0.69,-0.05,6.88
79,2024-11-12,002639,7.13,6.98,7.19,6.91,432127,305215222.91,3.9,-2.79,-0.2,6.64
80,2024-11-13,002639,6.91,6.91,6.98,6.78,245447,168669740.33,2.87,-1.0,-0.07,3.77
81,2024-11-14,002639,6.87,6.7,6.93,6.68,191073,129803928.52,3.62,-3.04,-0.21,2.94
82,2024-11-15,002639,6.69,6.62,6.82,6.61,164143,110180055.0,3.13,-1.19,-0.08,2.52
83,2024-11-18,002639,6.66,6.45,6.7,6.42,188473,123156218.0,4.23,-2.57,-0.17,2.9
84,2024-11-19,002639,6.46,6.75,6.75,6.39,283914,186709377.65,5.58,4.65,0.3,4.36
85,2024-11-20,002639,6.66,6.9,6.95,6.65,272400,186137703.94,4.44,2.22,0.15,4.19
86,2024-11-21,002639,6.89,7.27,7.38,6.85,597513,429401730.47,7.68,5.36,0.37,9.18
87,2024-11-22,002639,7.21,6.88,7.32,6.86,502006,356501203.72,6.33,-5.36,-0.39,7.72
88,2024-11-25,002639,6.95,6.9,6.98,6.75,296130,203112966.64,3.34,0.29,0.02,4.55
89,2024-11-26,002639,6.89,7.08,7.19,6.71,417572,290774910.0,6.96,2.61,0.18,6.42
90,2024-11-27,002639,7.05,7.47,7.65,7.0,766735,561048174.27,9.18,5.51,0.39,11.79
91,2024-11-28,002639,7.28,7.17,7.33,7.15,488825,352993295.45,2.41,-4.02,-0.3,7.51
92,2024-11-29,002639,7.1,7.18,7.21,7.02,332580,236564381.07,2.65,0.14,0.01,5.11
93,2024-12-02,002639,7.17,7.21,7.24,7.1,324627,233277895.6,1.95,0.42,0.03,4.99
94,2024-12-03,002639,7.18,7.11,7.21,7.04,251154,179112367.99,2.36,-1.39,-0.1,3.86
95,2024-12-04,002639,7.1,7.11,7.26,7.05,282072,202095587.45,2.95,0.0,0.0,4.34
96,2024-12-05,002639,7.16,7.24,7.44,7.14,391272,284592316.47,4.22,1.83,0.13,6.01
97,2024-12-06,002639,7.44,7.34,7.59,7.33,600516,446523224.98,3.59,1.38,0.1,9.23
98,2024-12-09,002639,7.25,7.2,7.4,7.18,346074,251711136.0,3.0,-1.91,-0.14,5.32
99,2024-12-10,002639,7.36,7.14,7.41,7.13,294478,213075000.0,3.89,-0.83,-0.06,4.53
100,2024-12-11,002639,7.13,7.18,7.2,7.1,169123,121055278.66,1.4,0.56,0.04,2.6
101,2024-12-12,002639,7.2,7.9,7.9,7.13,1019031,785425631.03,10.72,10.03,0.72,15.66
102,2024-12-13,002639,8.25,8.69,8.69,8.21,1676220,1443899684.16,6.08,10.0,0.79,25.76
103,2024-12-16,002639,9.21,9.56,9.56,9.13,560153,527932343.44,4.95,10.01,0.87,8.61
104,2024-12-17,002639,10.0,8.6,10.18,8.6,2057352,1879619334.13,16.53,-10.04,-0.96,31.62
105,2024-12-18,002639,7.84,8.5,9.2,7.84,1779985,1519345659.48,15.81,-1.16,-0.1,27.36
106,2024-12-19,002639,8.1,8.64,9.1,7.86,1776394,1511614182.16,14.59,1.65,0.14,27.3
107,2024-12-20,002639,8.38,8.22,8.7,8.22,1159673,973876715.89,5.56,-4.86,-0.42,17.83
108,2024-12-23,002639,8.23,7.51,8.29,7.44,944742,733744658.7,10.34,-8.64,-0.71,14.52
109,2024-12-24,002639,7.53,7.38,7.61,7.27,574093,424263063.24,4.53,-1.73,-0.13,8.82
110,2024-12-25,002639,7.33,7.02,7.37,6.91,548414,386939468.58,6.23,-4.88,-0.36,8.43
111,2024-12-26,002639,7.05,7.18,7.35,7.05,418265,301041869.16,4.27,2.28,0.16,6.43
112,2024-12-27,002639,7.21,7.23,7.38,7.11,431329,313681982.0,3.76,0.7,0.05,6.63
113,2024-12-30,002639,7.2,6.83,7.2,6.78,560655,386316463.62,5.81,-5.53,-0.4,8.62
114,2024-12-31,002639,6.95,6.85,7.18,6.83,663129,464147680.46,5.12,0.29,0.02,10.19
115,2025-01-02,002639,6.6,6.59,6.91,6.52,585002,391261071.36,5.69,-3.8,-0.26,8.99
116,2025-01-03,002639,6.68,6.17,6.69,6.14,495123,312790808.68,8.35,-6.37,-0.42,7.61
117,2025-01-06,002639,6.16,6.15,6.29,5.94,301541,185425440.7,5.67,-0.32,-0.02,4.63
118,2025-01-07,002639,6.21,6.59,6.7,6.15,659485,428857713.12,8.94,7.15,0.44,10.14
119,2025-01-08,002639,6.6,6.58,6.69,6.38,459940,300583225.95,4.7,-0.15,-0.01,7.07
120,2025-01-09,002639,6.53,6.6,6.72,6.53,334335,221029253.0,2.89,0.3,0.02,5.14
121,2025-01-10,002639,6.53,6.29,6.59,6.28,326965,210561693.0,4.7,-4.7,-0.31,5.03
122,2025-01-13,002639,6.2,6.25,6.26,6.04,262619,162035446.0,3.5,-0.64,-0.04,4.04
123,2025-01-14,002639,6.35,6.65,6.8,6.3,473304,310237435.0,8.0,6.4,0.4,7.28
124,2025-01-15,002639,6.71,6.61,6.75,6.51,349470,231396488.0,3.61,-0.6,-0.04,5.37
125,2025-01-16,002639,6.67,6.64,6.76,6.53,287326,191113345.0,3.48,0.45,0.03,4.42
126,2025-01-17,002639,6.59,6.57,6.63,6.5,181575,119199164.45,1.96,-1.05,-0.07,2.79
127,2025-01-20,002639,6.75,6.84,6.92,6.64,437889,297855114.0,4.26,4.11,0.27,6.73
128,2025-01-21,002639,6.9,6.84,6.98,6.75,338898,231973960.24,3.36,0.0,0.0,5.21
129,2025-01-22,002639,6.88,6.72,6.98,6.7,294661,200732802.35,4.09,-1.75,-0.12,4.53
130,2025-01-23,002639,6.82,6.68,6.91,6.68,292225,198553710.35,3.42,-0.6,-0.04,4.49
131,2025-01-24,002639,6.67,6.75,6.76,6.58,218780,146197659.0,2.69,1.05,0.07,3.36
132,2025-01-27,002639,6.79,6.71,6.83,6.68,238913,161064134.0,2.22,-0.59,-0.04,3.67
133,2025-02-05,002639,6.74,6.79,6.81,6.64,216203,145687163.0,2.53,1.19,0.08,3.32
134,2025-02-06,002639,6.8,7.02,7.03,6.71,390515,270114872.0,4.71,3.39,0.23,6.0
135,2025-02-07,002639,7.02,7.01,7.11,6.9,464985,326228805.92,2.99,-0.14,-0.01,7.15
136,2025-02-10,002639,7.0,7.02,7.05,6.95,329078,230117577.0,1.43,0.14,0.01,5.06
137,2025-02-11,002639,7.01,7.01,7.08,6.88,286924,200276429.0,2.85,-0.14,-0.01,4.41
