,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,30.91,6426189,2079,卖盘
1,09:30:00,30.88,3801493,1231,卖盘
2,09:30:03,30.91,5260575,1703,买盘
3,09:30:06,30.91,2898603,938,买盘
4,09:30:09,30.94,2940404,951,买盘
5,09:30:12,30.95,2436696,787,买盘
6,09:30:15,30.95,948125,306,卖盘
7,09:30:18,31.0,1165133,376,买盘
8,09:30:21,30.95,2474469,799,卖盘
9,09:30:24,30.99,904778,292,买盘
10,09:30:27,30.98,1478117,477,中性盘
11,09:30:30,30.96,665860,215,卖盘
12,09:30:33,30.99,564068,182,买盘
13,09:30:36,31.04,1308439,422,买盘
14,09:30:39,31.03,1374751,443,卖盘
15,09:30:42,31.02,2394035,772,中性盘
16,09:30:45,31.06,3912420,1260,买盘
17,09:30:48,31.06,354116,114,卖盘
18,09:30:51,31.06,804273,259,买盘
19,09:30:54,31.07,1618862,521,买盘
20,09:30:57,31.11,1197622,385,买盘
21,09:31:00,31.14,494785,159,买盘
22,09:31:03,31.16,2386175,766,买盘
23,09:31:06,31.16,902920,290,中性盘
24,09:31:09,31.17,701314,225,买盘
25,09:31:12,31.17,1271650,408,卖盘
26,09:31:15,31.17,947585,304,买盘
27,09:31:18,31.15,1566012,503,中性盘
28,09:31:21,31.13,1597740,513,中性盘
29,09:31:24,31.17,264824,85,买盘
30,09:31:27,31.15,461066,148,卖盘
31,09:31:30,31.15,280350,90,买盘
32,09:31:33,31.16,401914,129,买盘
33,09:31:36,31.16,1803920,579,买盘
34,09:31:39,31.17,1230855,395,买盘
35,09:31:42,31.16,4051809,1300,卖盘
36,09:31:45,31.16,2616049,840,买盘
37,09:31:48,31.15,1463092,470,中性盘
38,09:31:51,31.11,631553,203,中性盘
39,09:31:54,31.11,264333,85,买盘
40,09:31:57,31.07,422768,136,卖盘
41,09:32:00,31.07,466286,150,买盘
42,09:32:03,31.07,1420002,457,卖盘
43,09:32:06,31.07,1056420,340,卖盘
44,09:32:09,31.06,633789,204,卖盘
45,09:32:12,31.03,788545,254,卖盘
46,09:32:15,31.02,403415,130,卖盘
47,09:32:18,31.08,2722272,876,买盘
48,09:32:21,31.06,668114,215,卖盘
49,09:32:24,31.06,71462,23,中性盘
50,09:32:27,31.07,578136,186,中性盘
51,09:32:30,31.09,615264,198,买盘
52,09:32:33,31.07,596505,192,卖盘
53,09:32:36,31.06,686727,221,卖盘
54,09:32:39,31.07,497355,160,中性盘
55,09:32:42,31.07,282674,91,中性盘
56,09:32:45,31.09,469213,151,买盘
57,09:32:48,31.1,531535,171,买盘
58,09:32:51,31.1,690150,222,买盘
59,09:32:54,31.13,1452368,467,买盘
60,09:32:57,31.2,10935061,3506,买盘
61,09:33:00,31.21,492931,158,买盘
62,09:33:03,31.21,742890,238,买盘
63,09:33:06,31.22,468218,150,中性盘
