,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-25,002891,17.6,17.85,18.07,17.52,21279,38776213.46,3.13,1.42,0.25,0.72
1,2024-07-26,002891,17.85,17.91,18.08,17.79,17952,32870629.26,1.62,0.34,0.06,0.61
2,2024-07-29,002891,18.09,17.66,18.09,17.56,18709,33914504.0,2.96,-1.4,-0.25,0.64
3,2024-07-30,002891,17.69,17.78,17.87,17.57,13513,24509226.5,1.7,0.68,0.12,0.46
4,2024-07-31,002891,17.76,18.76,18.79,17.71,34081,64060239.94,6.07,5.51,0.98,1.16
5,2024-08-01,002891,18.74,18.4,18.9,18.35,22867,43425947.1,2.93,-1.92,-0.36,0.78
6,2024-08-02,002891,18.35,18.27,18.68,18.25,18735,35337530.43,2.34,-0.71,-0.13,0.64
7,2024-08-05,002891,18.2,18.15,18.77,18.1,25992,48914158.12,3.67,-0.66,-0.12,0.88
8,2024-08-06,002891,18.48,18.64,18.74,18.35,18146,34413475.34,2.15,2.7,0.49,0.62
9,2024-08-07,002891,18.61,18.41,18.63,18.34,14800,27885669.0,1.56,-1.23,-0.23,0.5
10,2024-08-08,002891,18.41,18.62,18.7,18.23,15370,29087265.0,2.55,1.14,0.21,0.52
11,2024-08-09,002891,18.63,18.47,18.74,18.45,13749,26089598.0,1.56,-0.81,-0.15,0.47
12,2024-08-12,002891,18.5,18.55,18.66,18.36,10953,20730404.15,1.62,0.43,0.08,0.37
13,2024-08-13,002891,18.52,18.65,18.69,18.4,9012,17055180.08,1.56,0.54,0.1,0.31
14,2024-08-14,002891,19.03,18.33,19.03,18.28,13623,25680305.55,4.02,-1.72,-0.32,0.46
15,2024-08-15,002891,18.24,18.38,18.65,18.21,14053,26467855.25,2.4,0.27,0.05,0.48
16,2024-08-16,002891,18.44,18.27,18.44,18.23,9016,16858828.48,1.14,-0.6,-0.11,0.31
17,2024-08-19,002891,18.26,18.3,18.48,18.17,12479,23343831.88,1.7,0.16,0.03,0.42
18,2024-08-20,002891,18.98,19.09,19.45,18.71,72094,140615278.88,4.04,4.32,0.79,2.45
19,2024-08-21,002891,19.09,19.94,20.4,19.09,80216,163301490.29,6.86,4.45,0.85,2.73
20,2024-08-22,002891,19.95,19.64,20.64,19.59,50694,103399308.56,5.27,-1.5,-0.3,1.72
21,2024-08-23,002891,19.53,19.98,20.08,19.41,33839,68579164.19,3.41,1.73,0.34,1.15
22,2024-08-26,002891,19.8,19.97,20.13,19.61,26329,53513651.88,2.6,-0.05,-0.01,0.9
23,2024-08-27,002891,19.68,19.77,19.95,19.52,26297,52943913.18,2.15,-1.0,-0.2,0.89
24,2024-08-28,002891,19.66,20.28,20.36,19.56,38261,78510365.9,4.05,2.58,0.51,1.3
25,2024-08-29,002891,20.29,21.06,21.28,20.15,71426,152333568.68,5.57,3.85,0.78,2.43
26,2024-08-30,002891,20.99,20.98,21.31,20.8,45647,97822997.93,2.42,-0.38,-0.08,1.55
27,2024-09-02,002891,20.88,20.84,21.3,20.8,34419,73770164.56,2.38,-0.67,-0.14,1.17
28,2024-09-03,002891,20.83,21.16,21.25,20.71,35421,76179130.1,2.59,1.54,0.32,1.2
29,2024-09-04,002891,21.0,21.11,21.54,20.91,30450,65921657.5,2.98,-0.24,-0.05,1.04
30,2024-09-05,002891,21.1,21.3,21.38,21.0,28750,62134582.0,1.8,0.9,0.19,0.98
31,2024-09-06,002891,21.2,20.65,21.29,20.54,40895,86824067.7,3.52,-3.05,-0.65,1.39
32,2024-09-09,002891,20.69,20.41,20.73,20.23,32657,68122701.84,2.42,-1.16,-0.24,1.11
33,2024-09-10,002891,20.43,20.45,20.68,20.21,23007,47851155.0,2.3,0.2,0.04,0.78
34,2024-09-11,002891,20.43,20.41,20.55,20.26,17973,37381499.0,1.42,-0.2,-0.04,0.61
35,2024-09-12,002891,20.49,20.16,20.54,20.14,19746,40846131.75,1.96,-1.22,-0.25,0.67
36,2024-09-13,002891,20.18,20.0,20.33,19.96,18135,37223406.5,1.84,-0.79,-0.16,0.62
37,2024-09-18,002891,19.9,19.93,20.09,19.67,17763,36006698.5,2.1,-0.35,-0.07,0.6
38,2024-09-19,002891,20.01,20.51,20.78,19.96,36574,76327793.0,4.11,2.91,0.58,1.24
39,2024-09-20,002891,20.47,19.99,20.65,19.62,23952,48792242.45,5.02,-2.54,-0.52,0.81
40,2024-09-23,002891,19.93,19.73,20.25,19.6,20376,41300004.0,3.25,-1.3,-0.26,0.69
41,2024-09-24,002891,19.9,20.47,20.53,19.56,40079,82125538.0,4.92,3.75,0.74,1.36
42,2024-09-25,002891,20.83,20.48,21.17,20.45,43619,92366180.2,3.52,0.05,0.01,1.48
43,2024-09-26,002891,20.33,21.76,21.77,20.26,54692,117318538.72,7.37,6.25,1.28,1.86
44,2024-09-27,002891,22.16,22.26,22.77,21.6,75374,169477308.05,5.38,2.3,0.5,2.56
45,2024-09-30,002891,22.8,24.08,24.28,22.62,110797,264815844.36,7.46,8.18,1.82,3.77
46,2024-10-08,002891,26.4,24.47,26.52,23.36,160242,403573227.82,13.12,1.62,0.39,5.45
47,2024-10-09,002891,23.73,24.17,25.18,22.83,109805,269657278.44,9.6,-1.23,-0.3,3.73
48,2024-10-10,002891,24.4,24.17,24.96,23.66,73945,182684236.36,5.38,0.0,0.0,2.51
49,2024-10-11,002891,24.18,24.55,25.18,23.83,84149,210680596.25,5.59,1.57,0.38,2.86
50,2024-10-14,002891,24.69,26.59,26.9,24.36,133773,353879897.09,10.35,8.31,2.04,4.55
51,2024-10-15,002891,26.3,26.52,27.51,25.81,102078,276960442.13,6.39,-0.26,-0.07,3.47
52,2024-10-16,002891,26.12,25.99,26.6,25.71,52883,140176526.0,3.36,-2.0,-0.53,1.8
53,2024-10-17,002891,26.0,25.88,26.7,25.85,47057,125122947.5,3.27,-0.42,-0.11,1.6
54,2024-10-18,002891,25.68,25.88,26.09,25.53,84521,221126493.76,2.16,0.0,0.0,2.87
55,2024-10-21,002891,25.79,26.65,26.73,25.48,76391,202935950.74,4.83,2.98,0.77,2.6
56,2024-10-22,002891,27.9,29.36,29.36,27.23,153871,447589650.9,7.99,10.17,2.71,5.23
57,2024-10-23,002891,29.36,29.44,30.23,28.7,149229,444153274.48,5.21,0.27,0.08,5.07
58,2024-10-24,002891,29.44,28.99,29.76,28.7,68956,203343255.04,3.6,-1.53,-0.45,2.34
59,2024-10-25,002891,28.88,28.97,29.21,28.53,65166,191140880.88,2.35,-0.07,-0.02,2.22
60,2024-10-28,002891,29.21,30.01,30.39,28.86,118068,355395936.72,5.28,3.59,1.04,4.01
61,2024-10-29,002891,29.75,29.66,30.77,29.3,91832,278173811.3,4.9,-1.17,-0.35,3.12
62,2024-10-30,002891,29.49,29.41,29.93,29.02,58095,173386686.13,3.07,-0.84,-0.25,1.98
63,2024-10-31,002891,29.3,29.6,30.22,28.83,65417,195846725.01,4.73,0.65,0.19,2.22
64,2024-11-01,002891,29.57,29.36,30.0,29.13,50645,151520454.48,2.94,-0.81,-0.24,1.72
65,2024-11-04,002891,29.47,30.58,30.6,29.06,74939,228206329.08,5.25,4.16,1.22,2.55
66,2024-11-05,002891,30.6,31.91,32.42,30.34,101892,324046902.99,6.8,4.35,1.33,3.46
67,2024-11-06,002891,31.6,31.87,32.63,31.17,73789,238396915.83,4.58,-0.13,-0.04,2.51
68,2024-11-07,002891,31.79,33.7,33.98,31.5,92199,307671095.43,7.78,5.74,1.83,3.13
69,2024-11-08,002891,34.08,33.81,34.31,32.84,75310,255227807.03,4.36,0.33,0.11,2.56
70,2024-11-11,002891,33.3,34.06,34.13,32.7,58184,197767557.58,4.23,0.74,0.25,1.98
