,成交金额
599,36401
600,201547
601,214571
602,377127
603,767069
604,425185
605,348455
606,196295
607,1606866
608,566153
609,758161
610,1265459
611,312550
612,410994
613,526242
614,3318056
615,445422
616,600693
617,1140711
618,666815
619,1362071
620,1051715
621,1478995
622,355101
623,1165611
624,545359
625,233112
626,365200
627,385709
628,714101
629,443853
630,1083817
631,641670
632,257392
633,447405
634,686088
635,1845003
636,1186328
637,395480
638,170646
639,3039738
640,818678
641,723480
642,252559
643,496127
644,244870
645,309608
646,942270
647,1091720
648,115429
649,401313
650,402989
651,275992
652,412233
653,233688
654,358291
655,580225
656,1209982
657,501569
658,305279
659,289749
660,414381
661,110405
662,548014
663,443991
664,81769
665,81762
666,2107064
667,290838
668,199985
669,35084
670,119607
671,58507
672,176780
673,178028
674,508097
675,427851
676,52000
677,333023
678,791733
679,148239
680,232816
681,152144
682,463819
683,280743
684,113100
685,84504
686,179295
687,756566
688,219701
689,84503
690,250988
691,236608
692,97486
693,85783
694,309355
695,228725
696,167718
697,167720
698,395031
699,127400
700,87066
701,205312
702,244369
703,81873
704,310560
705,240352
706,432848
707,744427
708,494864
709,76651
710,48056
711,284386
712,163603
713,79211
714,90930
715,512734
716,455690
717,106510
718,206509
719,215463
720,110330
721,426777
722,166139
723,159709
724,46750
725,862878
726,272614
727,163485
728,173866
729,335963
730,282942
731,162226
732,138894
733,405014
734,3781121
735,181997
736,278218
737,812792
738,180585
739,183269
740,191053
741,878669
742,2166499
743,95112
744,410534
745,48205
746,284134
747,135547
748,273827
749,722395
750,88691
751,369238
752,379665
753,225749
754,299979
755,400227
756,109568
757,166905
758,198236
759,1424540
760,189096
761,723681
762,82152
763,706717
764,118659
765,230715
766,250337
767,254460
768,48280
769,121360
770,120061
771,165772
772,1986101
773,54889
774,583086
775,474662
776,630445
777,51010
778,51051
779,96915
780,280114
781,952815
782,898523
783,941168
784,1431359
785,459093
786,314534
787,317246
788,82260
789,217951
790,99246
791,1582320
792,970648
793,169372
794,93745
795,186091
796,104114
797,85894
798,111963
799,39054
800,542585
801,196431
802,105339
803,175577
804,2543455
805,202717
806,192353
807,180651
808,205325
809,535500
810,403605
811,40301
812,39000
813,58505
814,195051
815,302950
816,67653
817,238009
818,89774
819,136605
820,101478
821,46805
822,309577
823,10400
824,197709
825,52015
826,236737
827,127479
828,214540
829,232786
830,2207766
831,56031
832,84704
833,842407
834,79595
835,230963
836,258450
837,757666
838,100484
839,87435
840,343474
841,129278
842,1215851
843,330625
844,82289
845,70552
846,151604
847,173808
848,564739
849,141136
850,266628
851,1253136
852,250931
853,284711
854,598148
855,127933
856,261138
857,121386
858,146186
859,339416
860,107079
861,79641
862,258525
863,190547
864,143607
865,176246
866,84809
867,71790
868,97911
869,277965
870,219306
871,834806
872,199679
873,75689
874,113496
875,271436
876,270117
877,67861
878,117431
879,339089
880,2798519
881,735319
882,142943
883,135827
884,137175
885,462644
886,644304
887,41835
888,60140
889,680455
890,259162
891,48442
892,750959
893,177888
894,338772
895,355988
896,56251
897,286490
898,41889
899,179379
900,501401
901,104732
902,456881
903,288177
904,91676
905,23574
906,517106
907,281276
908,94198
909,108607
910,260469
911,265701
912,162218
913,32724
914,54954
915,183125
916,955536
917,380874
918,218453
919,433614
920,142629
921,130146
922,132047
923,112468
924,22220
925,158219
926,262733
927,241803
928,62759
929,19606
930,99305
931,16991
932,44408
933,461310
934,131910
935,350056
936,107085
937,79663
938,122694
939,207558
940,137060
941,133115
942,6525
943,230977
944,164353
945,285772
946,3706043
947,126309
948,169446
949,248678
950,24738
951,44266
952,207018
953,98962
954,19545
