,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,54.5,446900,82,卖盘
1,09:30:00,54.76,234939,43,买盘
2,09:30:03,54.77,268250,49,买盘
3,09:30:06,54.91,345927,63,买盘
4,09:30:09,55.01,263997,48,买盘
5,09:30:12,55.13,159707,29,买盘
6,09:30:15,55.03,204017,37,卖盘
7,09:30:18,55.03,38521,7,卖盘
8,09:30:21,55.02,143043,26,卖盘
9,09:30:24,55.04,225546,41,买盘
10,09:30:27,55.04,407458,74,卖盘
11,09:30:30,55.05,143159,26,卖盘
12,09:30:33,54.98,192555,35,卖盘
13,09:30:36,54.91,192277,35,卖盘
14,09:30:39,54.78,279933,51,卖盘
15,09:30:42,54.79,87705,16,买盘
16,09:30:45,54.9,587517,107,买盘
17,09:30:48,54.81,104188,19,卖盘
18,09:30:51,54.75,241028,44,卖盘
19,09:30:54,54.7,114958,21,卖盘
20,09:30:57,54.75,114868,21,中性盘
21,09:31:00,54.75,10948,2,买盘
22,09:31:03,54.71,87584,16,中性盘
23,09:31:06,54.71,27352,5,买盘
24,09:31:09,54.7,16411,3,中性盘
25,09:31:12,54.66,16407,3,卖盘
26,09:31:15,54.66,114791,21,买盘
27,09:31:18,54.65,32791,6,卖盘
28,09:31:21,54.6,294968,54,卖盘
29,09:31:24,54.52,54544,10,卖盘
30,09:31:27,54.52,5452,1,卖盘
31,09:31:30,54.52,54514,10,卖盘
32,09:31:33,54.61,283573,52,买盘
33,09:31:36,54.52,5452,1,卖盘
34,09:31:39,54.59,10913,2,中性盘
35,09:31:42,54.56,16368,3,卖盘
36,09:31:45,54.59,5459,1,买盘
37,09:31:48,54.54,5454,1,卖盘
38,09:31:51,54.55,43667,8,卖盘
39,09:31:57,54.55,38195,7,卖盘
40,09:32:00,54.59,21840,4,中性盘
41,09:32:03,54.51,1640623,301,卖盘
42,09:32:06,54.55,16355,3,买盘
43,09:32:09,54.55,256385,47,买盘
44,09:32:12,54.55,49076,9,买盘
45,09:32:15,54.55,21812,4,买盘
46,09:32:18,54.55,21816,4,买盘
47,09:32:21,54.55,32730,6,买盘
48,09:32:24,54.51,38180,7,卖盘
49,09:32:27,54.52,103624,19,中性盘
50,09:32:30,54.68,976493,179,买盘
51,09:32:33,54.62,125539,23,中性盘
52,09:32:36,54.61,5461,1,中性盘
53,09:32:39,54.57,218311,40,卖盘
54,09:32:45,54.57,98241,18,卖盘
55,09:32:48,54.58,21830,4,买盘
56,09:32:51,54.68,829679,152,买盘
57,09:32:54,54.64,5464,1,卖盘
58,09:32:57,54.66,16398,3,中性盘
59,09:33:00,54.7,5470,1,买盘
60,09:33:03,54.61,21850,4,卖盘
61,09:33:06,54.65,158454,29,买盘
62,09:33:09,54.7,32795,6,买盘
63,09:33:12,54.7,60170,11,买盘
64,09:33:15,54.69,114845,21,中性盘
65,09:33:18,54.69,92991,17,卖盘
66,09:33:21,54.69,43748,8,买盘
67,09:33:27,54.69,16407,3,买盘
68,09:33:30,54.69,27345,5,买盘
69,09:33:33,54.71,5471,1,买盘
70,09:33:36,54.71,27353,5,买盘
71,09:33:39,54.69,109387,20,卖盘
72,09:33:42,54.65,251554,46,卖盘
73,09:33:48,54.65,10927,2,买盘
74,09:33:51,54.75,103903,19,买盘
75,09:33:54,54.67,31073,6,卖盘
76,09:33:57,54.67,10934,2,卖盘
77,09:34:00,54.68,10936,2,卖盘
78,09:34:03,54.74,38312,7,买盘
79,09:34:06,54.75,103940,19,买盘
80,09:34:09,54.75,147680,27,买盘
81,09:34:12,54.75,16425,3,买盘
82,09:34:15,54.75,16425,3,买盘
83,09:34:18,54.67,109362,20,卖盘
84,09:34:21,54.75,27351,5,买盘
85,09:34:24,54.67,49196,9,中性盘
86,09:34:30,54.75,196790,36,买盘
87,09:34:33,54.76,5476,1,买盘
88,09:34:36,54.75,16425,3,中性盘
89,09:34:39,54.75,5475,1,买盘
90,09:34:42,54.75,43784,8,买盘
91,09:34:45,54.76,43794,8,买盘
92,09:34:48,54.68,32808,6,卖盘
93,09:34:51,54.68,21885,4,卖盘
94,09:34:54,54.69,16405,3,中性盘
95,09:34:57,54.68,16405,3,卖盘
96,09:35:00,54.75,16419,3,买盘
97,09:35:03,54.75,16425,3,买盘
98,09:35:06,54.75,60215,11,买盘
99,09:35:09,54.75,65704,12,卖盘
100,09:35:12,54.7,5470,1,卖盘
101,09:35:15,54.75,27375,5,买盘
102,09:35:18,54.75,16425,3,中性盘
103,09:35:24,54.76,87616,16,买盘
104,09:35:27,54.8,252054,46,买盘
105,09:35:30,54.81,104064,19,买盘
106,09:35:33,54.91,109761,20,买盘
107,09:35:36,54.75,98589,18,中性盘
108,09:35:39,54.68,98453,18,卖盘
109,09:35:42,54.7,174988,32,买盘
110,09:35:45,54.7,43753,8,中性盘
111,09:35:48,54.65,49217,9,卖盘
112,09:35:51,54.7,21867,4,买盘
113,09:35:54,54.7,131280,24,卖盘
114,09:35:57,54.65,87500,16,卖盘
115,09:36:00,54.7,185945,34,买盘
116,09:36:03,54.7,109388,20,买盘
117,09:36:06,54.75,213267,39,买盘
118,09:36:12,54.71,49240,9,卖盘
119,09:36:15,54.75,5475,1,中性盘
120,09:36:18,54.82,104093,19,买盘
121,09:36:21,54.76,5476,1,中性盘
122,09:36:24,54.73,109494,20,卖盘
