,成交时间
399,09:49:54
400,09:49:57
401,09:50:00
402,09:50:03
403,09:50:06
404,09:50:09
405,09:50:12
406,09:50:15
407,09:50:18
408,09:50:21
409,09:50:24
410,09:50:27
411,09:50:30
412,09:50:33
413,09:50:36
414,09:50:39
415,09:50:42
416,09:50:45
417,09:50:48
418,09:50:51
419,09:50:54
420,09:50:57
421,09:51:00
422,09:51:03
423,09:51:06
424,09:51:09
425,09:51:12
426,09:51:15
427,09:51:18
428,09:51:21
429,09:51:24
430,09:51:27
431,09:51:30
432,09:51:33
433,09:51:36
434,09:51:39
435,09:51:42
436,09:51:45
437,09:51:48
438,09:51:51
439,09:51:54
440,09:51:57
441,09:52:00
442,09:52:03
443,09:52:06
444,09:52:09
445,09:52:12
446,09:52:15
447,09:52:18
448,09:52:21
449,09:52:24
450,09:52:27
451,09:52:30
452,09:52:33
453,09:52:36
454,09:52:39
455,09:52:42
456,09:52:45
457,09:52:48
458,09:52:51
459,09:52:54
460,09:52:57
461,09:53:00
462,09:53:03
463,09:53:06
464,09:53:09
465,09:53:12
466,09:53:15
467,09:53:18
468,09:53:21
469,09:53:24
470,09:53:27
471,09:53:30
472,09:53:33
473,09:53:36
474,09:53:39
475,09:53:42
476,09:53:45
477,09:53:48
478,09:53:51
479,09:53:54
480,09:53:57
481,09:54:00
482,09:54:03
483,09:54:06
484,09:54:09
485,09:54:12
486,09:54:15
487,09:54:18
488,09:54:21
489,09:54:24
490,09:54:27
491,09:54:30
492,09:54:33
493,09:54:36
494,09:54:39
495,09:54:42
496,09:54:45
497,09:54:48
498,09:54:51
499,09:54:54
500,09:54:57
501,09:55:00
502,09:55:03
503,09:55:06
504,09:55:09
505,09:55:12
506,09:55:15
507,09:55:18
508,09:55:21
509,09:55:24
510,09:55:27
511,09:55:30
512,09:55:33
513,09:55:36
514,09:55:39
515,09:55:42
516,09:55:45
517,09:55:48
518,09:55:51
519,09:55:54
520,09:55:57
521,09:56:00
522,09:56:03
523,09:56:06
524,09:56:09
525,09:56:12
526,09:56:15
527,09:56:18
528,09:56:21
529,09:56:24
530,09:56:27
531,09:56:30
532,09:56:33
533,09:56:36
534,09:56:39
535,09:56:42
536,09:56:45
537,09:56:48
538,09:56:51
539,09:56:54
540,09:56:57
541,09:57:00
542,09:57:03
543,09:57:06
544,09:57:09
545,09:57:12
546,09:57:15
547,09:57:18
548,09:57:21
549,09:57:24
550,09:57:27
551,09:57:30
552,09:57:33
553,09:57:36
554,09:57:39
555,09:57:42
556,09:57:45
557,09:57:48
558,09:57:51
559,09:57:54
560,09:57:57
561,09:58:00
562,09:58:03
563,09:58:06
564,09:58:09
565,09:58:12
566,09:58:15
567,09:58:18
568,09:58:21
569,09:58:24
570,09:58:27
571,09:58:30
572,09:58:33
573,09:58:36
574,09:58:39
575,09:58:42
576,09:58:45
577,09:58:48
578,09:58:51
579,09:58:54
580,09:58:57
581,09:59:00
582,09:59:03
583,09:59:06
584,09:59:09
585,09:59:12
586,09:59:15
587,09:59:18
588,09:59:21
589,09:59:24
590,09:59:27
591,09:59:30
592,09:59:33
593,09:59:36
594,09:59:39
595,09:59:42
596,09:59:45
597,09:59:48
598,09:59:51
599,09:59:54
600,09:59:57
601,10:00:00
602,10:00:03
603,10:00:06
604,10:00:09
605,10:00:12
606,10:00:15
607,10:00:18
608,10:00:21
609,10:00:24
610,10:00:27
611,10:00:30
612,10:00:33
613,10:00:36
614,10:00:39
615,10:00:42
616,10:00:45
617,10:00:48
618,10:00:51
619,10:00:54
620,10:00:57
621,10:01:00
622,10:01:03
623,10:01:06
624,10:01:09
625,10:01:12
626,10:01:15
627,10:01:18
