,成交时间,成交价格,成交金额,成交量,性质
0,09:25:02,190.44,3942108,207,卖盘
1,09:30:02,190.42,456704,24,卖盘
2,09:30:05,190.46,647461,34,买盘
3,09:30:08,190.15,932821,49,卖盘
4,09:30:11,190.5,1923062,101,买盘
5,09:30:14,190.42,1636993,86,中性盘
6,09:30:17,190.13,228185,12,中性盘
7,09:30:20,190.42,1884124,99,买盘
8,09:30:23,190.16,988972,52,卖盘
9,09:30:26,190.15,2434648,128,卖盘
10,09:30:29,190.15,190133,10,买盘
11,09:30:32,190.03,380118,20,卖盘
12,09:30:35,190.02,437161,23,卖盘
13,09:30:38,190.0,1083098,57,卖盘
14,09:30:41,189.85,1177947,62,卖盘
15,09:30:44,189.91,1044291,55,买盘
16,09:30:47,189.97,1918856,101,买盘
17,09:30:50,189.97,361031,19,卖盘
18,09:30:53,189.93,950254,50,卖盘
19,09:30:56,189.97,322827,17,买盘
20,09:30:59,189.97,1652266,87,买盘
21,09:31:02,190.01,588872,31,买盘
22,09:31:05,190.26,494085,26,买盘
23,09:31:08,190.25,133156,7,卖盘
24,09:31:11,190.26,209206,11,买盘
25,09:31:14,190.25,780001,41,卖盘
26,09:31:17,190.25,209203,11,买盘
27,09:31:20,190.25,190225,10,买盘
28,09:31:23,190.15,323258,17,卖盘
29,09:31:26,190.14,912681,48,卖盘
30,09:31:29,190.1,361253,19,卖盘
31,09:31:32,190.09,152074,8,卖盘
32,09:31:35,189.99,645942,34,卖盘
33,09:31:38,189.8,645519,34,卖盘
34,09:31:41,189.52,607210,32,卖盘
35,09:31:44,189.5,473848,25,卖盘
36,09:31:47,189.49,890652,47,卖盘
37,09:31:50,189.5,776846,41,买盘
38,09:31:53,189.46,757908,40,卖盘
39,09:31:56,189.21,890120,47,卖盘
40,09:31:59,189.3,624645,33,买盘
41,09:32:02,189.35,1230938,65,买盘
42,09:32:05,189.46,966238,51,买盘
43,09:32:08,189.46,1913483,101,卖盘
44,09:32:11,189.46,985345,52,卖盘
45,09:32:14,189.5,1364230,72,买盘
46,09:32:17,189.46,1913822,101,卖盘
47,09:32:20,189.5,1383135,73,买盘
48,09:32:23,189.5,398151,21,卖盘
49,09:32:26,189.76,758974,40,中性盘
50,09:32:29,189.65,854109,45,中性盘
51,09:32:32,189.87,474631,25,买盘
52,09:32:35,190.0,189907,10,买盘
53,09:32:38,190.09,114054,6,买盘
54,09:32:41,190.09,171062,9,卖盘
55,09:32:44,190.12,285114,15,买盘
56,09:32:47,190.0,608239,32,卖盘
57,09:32:50,190.06,190063,10,买盘
58,09:32:53,190.09,76036,4,中性盘
59,09:32:56,190.21,190170,10,买盘
60,09:32:59,190.18,323174,17,卖盘
61,09:33:02,190.21,970094,51,卖盘
62,09:33:05,190.21,247285,13,卖盘
63,09:33:08,190.15,171181,9,卖盘
64,09:33:11,190.15,228283,12,卖盘
65,09:33:14,190.15,456354,24,卖盘
66,09:33:17,190.15,1121676,59,卖盘
67,09:33:20,190.0,532133,28,卖盘
68,09:33:23,189.83,493764,26,卖盘
69,09:33:26,189.93,208891,11,买盘
70,09:33:29,189.81,75924,4,买盘
71,09:33:32,189.77,132843,7,卖盘
72,09:33:35,189.8,455533,24,买盘
73,09:33:38,189.81,341711,18,卖盘
74,09:33:41,189.72,18972,1,中性盘
75,09:33:44,189.71,75882,4,中性盘
76,09:33:47,189.75,227650,12,买盘
77,09:33:50,189.67,56903,3,卖盘
78,09:33:53,189.67,18967,1,卖盘
79,09:33:56,189.71,284524,15,买盘
80,09:33:59,189.65,75865,4,中性盘
81,09:34:02,189.67,720565,38,买盘
82,09:34:05,189.67,398288,21,买盘
83,09:34:08,189.65,265497,14,卖盘
84,09:34:11,189.65,379284,20,卖盘
85,09:34:14,189.56,170644,9,卖盘
86,09:34:17,189.58,132681,7,买盘
87,09:34:20,189.51,360057,19,卖盘
88,09:34:23,189.67,2578769,136,买盘
89,09:34:26,189.67,170714,9,卖盘
90,09:34:29,189.71,512271,27,中性盘
91,09:34:32,189.81,151815,8,买盘
92,09:34:35,189.71,322531,17,卖盘
93,09:34:38,189.75,56925,3,中性盘
94,09:34:41,189.78,18978,1,中性盘
95,09:34:44,189.83,37977,2,中性盘
96,09:34:47,189.98,910861,48,买盘
97,09:34:50,189.92,911567,48,中性盘
98,09:34:53,189.78,265616,14,买盘
99,09:34:56,189.71,94892,5,卖盘
100,09:34:59,189.78,113880,6,卖盘
101,09:35:02,189.93,56955,3,买盘
102,09:35:05,189.93,113932,6,买盘
103,09:35:08,189.75,664337,35,卖盘
104,09:35:11,189.72,702008,37,卖盘
105,09:35:14,189.77,303568,16,买盘
106,09:35:17,189.69,170745,9,卖盘
107,09:35:20,189.69,227647,12,卖盘
108,09:35:23,189.68,531076,28,卖盘
109,09:35:26,189.56,151736,8,中性盘
110,09:35:32,189.51,303257,16,卖盘
111,09:35:35,189.56,1250958,66,买盘
112,09:35:38,189.51,227475,12,卖盘
113,09:35:41,189.56,37907,2,中性盘
114,09:35:44,189.53,75812,4,卖盘
115,09:35:47,189.46,2368390,125,卖盘
116,09:35:50,189.38,246242,13,卖盘
117,09:35:53,189.38,435529,23,买盘
118,09:35:56,189.34,170404,9,卖盘
119,09:35:59,189.38,227243,12,买盘
120,09:36:02,189.44,1249876,66,买盘
121,09:36:05,189.68,701362,37,买盘
122,09:36:08,189.68,265429,14,买盘
123,09:36:11,189.78,1005490,53,买盘
124,09:36:14,189.81,151844,8,买盘
125,09:36:17,189.93,189898,10,买盘
126,09:36:20,189.88,132888,7,中性盘
127,09:36:23,189.71,94868,5,卖盘
128,09:36:26,189.78,189790,10,卖盘
129,09:36:29,189.77,56913,3,中性盘
130,09:36:32,189.77,170781,9,中性盘
131,09:36:35,189.68,341477,18,卖盘
132,09:36:38,189.68,37945,2,卖盘
133,09:36:41,189.76,113832,6,买盘
134,09:36:44,189.77,56936,3,中性盘
135,09:36:47,189.77,56931,3,卖盘
136,09:36:50,189.78,151824,8,买盘
137,09:36:53,189.78,303641,16,买盘
138,09:36:56,189.82,208802,11,买盘
139,09:36:59,189.85,740298,39,买盘
140,09:37:02,189.87,113907,6,买盘
141,09:37:05,189.86,94935,5,中性盘
142,09:37:08,189.83,94920,5,卖盘
143,09:37:11,189.82,265758,14,卖盘
144,09:37:14,189.67,1138502,60,卖盘
145,09:37:17,189.67,644870,34,买盘
146,09:37:20,189.58,512082,27,卖盘
147,09:37:23,189.58,208524,11,买盘
148,09:37:26,189.52,18952,1,卖盘
149,09:37:29,189.55,75827,4,中性盘
150,09:37:32,189.54,56862,3,中性盘
151,09:37:35,189.58,170595,9,买盘
152,09:37:38,189.54,492899,26,中性盘
153,09:37:41,189.54,530710,28,卖盘
154,09:37:44,189.58,94786,5,卖盘
155,09:37:47,189.56,75824,4,卖盘
156,09:37:50,189.58,473990,25,买盘
157,09:37:53,189.57,56869,3,中性盘
158,09:37:56,189.54,246403,13,卖盘
159,09:37:59,189.5,1269754,67,卖盘
160,09:38:02,189.5,644247,34,买盘
161,09:38:05,189.41,75767,4,卖盘
162,09:38:08,189.4,435719,23,卖盘
163,09:38:11,189.4,947006,50,卖盘
164,09:38:14,189.54,1269292,67,买盘
165,09:38:17,189.55,1517193,80,买盘
166,09:38:20,189.55,37911,2,卖盘
167,09:38:23,189.54,189588,10,卖盘
168,09:38:26,189.55,1042508,55,中性盘
169,09:38:29,189.53,322235,17,卖盘
170,09:38:32,189.55,379188,20,卖盘
171,09:38:35,189.55,644518,34,中性盘
