,成交量
762,63
763,542
764,91
765,177
766,192
767,195
768,37
769,93
770,92
771,127
772,1521
773,42
774,446
775,363
776,482
777,39
778,39
779,74
780,214
781,728
782,687
783,719
784,1095
785,352
786,241
787,243
788,63
789,167
790,76
791,1213
792,745
793,130
794,72
795,143
796,80
797,66
798,86
799,30
800,417
801,151
802,81
803,135
804,1957
805,156
806,148
807,139
808,158
809,412
810,311
811,31
812,30
813,45
814,150
815,233
816,52
817,183
818,69
819,105
820,78
821,36
822,238
823,8
824,152
825,40
826,182
827,98
828,165
829,179
830,1696
831,43
832,65
833,646
834,61
835,177
836,198
837,581
838,77
839,67
840,263
841,99
842,931
843,253
844,63
845,54
846,116
847,133
848,432
849,108
850,204
851,959
852,192
853,218
854,458
855,98
856,200
857,93
858,112
859,260
860,82
861,61
862,198
863,146
864,110
865,135
866,65
867,55
868,75
869,213
870,168
871,640
872,153
873,58
874,87
875,208
876,207
877,52
878,90
879,260
880,2143
881,563
882,109
883,104
884,105
885,354
886,493
887,32
888,46
889,520
890,198
891,37
892,574
893,136
894,259
895,272
896,43
897,219
898,32
899,137
900,383
901,80
902,349
903,220
904,70
905,18
906,395
907,215
908,72
909,83
910,199
911,203
912,124
913,25
914,42
915,140
916,730
917,291
918,167
919,332
920,109
921,100
922,101
923,86
924,17
925,121
926,201
927,185
928,48
929,15
930,76
931,13
932,34
933,353
934,101
935,268
936,82
937,61
938,94
939,159
940,105
941,102
942,5
943,177
944,126
945,219
946,2844
947,97
948,130
949,191
950,19
951,34
952,159
953,76
954,15
955,71
956,47
957,121
958,119
959,100
960,103
961,43
962,133
963,43
964,264
965,109
966,129
967,161
968,58
969,208
970,185
971,27
972,77
973,30
974,30
975,43
976,449
977,150
978,40
979,29
980,113
981,115
982,88
983,1692
984,145
985,115
986,159
987,19
988,58
989,216
990,26
991,10
992,259
993,46
994,62
995,51
996,109
997,16
998,134
999,174
1000,146
1001,69
1002,25
1003,9
1004,43
1005,144
1006,136
1007,187
1008,196
1009,143
1010,6
1011,45
1012,455
1013,537
1014,1369
1015,651
1016,187
1017,169
1018,132
1019,277
1020,29
1021,38
1022,152
1023,129
1024,331
1025,225
1026,105
1027,341
1028,395
1029,92
1030,85
1031,256
1032,484
1033,256
1034,40
1035,15
1036,232
1037,75
1038,96
1039,99
1040,196
1041,105
1042,111
1043,121
1044,47
1045,93
1046,377
1047,27
1048,130
1049,501
1050,50
1051,34
1052,90
1053,64
1054,60
1055,33
1056,68
1057,29
1058,100
1059,109
1060,106
1061,155
1062,168
1063,219
1064,21
1065,79
1066,84
1067,973
1068,345
1069,29
1070,9
1071,246
1072,84
1073,44
1074,242
1075,20
1076,70
1077,181
1078,74
1079,341
1080,224
