,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-15,0.569,0.563,0.57,0.56,500785,28221194.9,1.76,-0.88,-0.005,0.62
1,2024-07-16,0.562,0.563,0.565,0.56,392743,22098079.2,0.89,0.0,0.0,0.48
2,2024-07-17,0.564,0.573,0.575,0.562,572886,32552372.186,2.31,1.78,0.01,0.7
3,2024-07-18,0.572,0.578,0.579,0.569,542292,31181541.2,1.75,0.87,0.005,0.67
4,2024-07-19,0.576,0.581,0.583,0.575,514654,29823757.1,1.38,0.52,0.003,0.63
5,2024-07-22,0.581,0.584,0.588,0.577,569459,33246509.7,1.89,0.52,0.003,0.7
6,2024-07-23,0.584,0.564,0.584,0.564,671599,38419716.9,3.42,-3.42,-0.02,0.83
7,2024-07-24,0.562,0.558,0.568,0.556,489726,27479136.4,2.13,-1.06,-0.006,0.6
8,2024-07-25,0.557,0.558,0.561,0.552,536794,29920537.5,1.61,0.0,0.0,0.66
9,2024-07-26,0.558,0.558,0.56,0.552,597603,33249328.6,1.43,0.0,0.0,0.74
10,2024-07-29,0.558,0.548,0.559,0.548,690615,38139045.4,1.97,-1.79,-0.01,0.85
11,2024-07-30,0.548,0.546,0.551,0.543,577230,31488268.76,1.46,-0.36,-0.002,0.71
12,2024-07-31,0.545,0.572,0.572,0.544,872454,49040971.955,5.13,4.76,0.026,1.07
13,2024-08-01,0.573,0.566,0.576,0.564,712841,40558561.4,2.1,-1.05,-0.006,0.88
14,2024-08-02,0.566,0.572,0.581,0.564,519351,29810678.7,3.0,1.06,0.006,0.64
15,2024-08-05,0.572,0.569,0.584,0.569,818463,47101027.9,2.62,-0.52,-0.003,1.01
16,2024-08-06,0.574,0.577,0.58,0.571,722708,41562666.8,1.58,1.41,0.008,0.89
17,2024-08-07,0.578,0.572,0.578,0.57,487851,27991976.3,1.39,-0.87,-0.005,0.6
18,2024-08-08,0.572,0.576,0.582,0.572,598004,34487770.0,1.75,0.7,0.004,0.74
19,2024-08-09,0.574,0.567,0.58,0.567,563057,32148892.7,2.26,-1.56,-0.009,0.69
20,2024-08-12,0.569,0.575,0.579,0.565,693854,39822541.3,2.47,1.41,0.008,0.85
21,2024-08-13,0.574,0.57,0.575,0.564,690232,39164135.0,1.91,-0.87,-0.005,0.85
22,2024-08-14,0.569,0.561,0.569,0.559,467656,26310017.1,1.75,-1.58,-0.009,0.58
23,2024-08-15,0.559,0.565,0.57,0.559,492139,27781357.3,1.96,0.71,0.004,0.61
24,2024-08-16,0.565,0.565,0.566,0.558,399068,22447913.0,1.42,0.0,0.0,0.49
