,成交时间,成交价格,成交金额,成交量,性质
0,09:25:03,6.19,16331696,26384,卖盘
1,09:30:00,6.19,3095,5,买盘
2,09:30:03,6.2,5919341,9549,买盘
3,09:30:06,6.21,6195835,10008,买盘
4,09:30:09,6.2,323281,522,中性盘
5,09:30:12,6.2,2895460,4674,买盘
6,09:30:15,6.19,3747679,6048,卖盘
7,09:30:18,6.19,940611,1519,卖盘
8,09:30:21,6.18,1561886,2522,卖盘
9,09:30:24,6.19,5238082,8466,买盘
10,09:30:27,6.19,1246607,2015,买盘
11,09:30:30,6.19,1267419,2048,买盘
12,09:30:33,6.19,862714,1395,买盘
13,09:30:36,6.19,1407585,2274,买盘
14,09:30:39,6.18,903827,1460,卖盘
15,09:30:42,6.18,1540652,2489,卖盘
16,09:30:45,6.18,541696,876,卖盘
17,09:30:48,6.18,1482134,2396,卖盘
18,09:30:51,6.18,1473942,2385,卖盘
19,09:30:54,6.18,3786253,6125,卖盘
20,09:30:57,6.18,1202447,1948,买盘
21,09:31:00,6.17,8658825,14032,卖盘
22,09:31:03,6.17,6723990,10884,卖盘
23,09:31:06,6.18,833813,1351,买盘
24,09:31:09,6.17,2134739,3457,卖盘
25,09:31:12,6.17,678107,1099,卖盘
26,09:31:15,6.17,3624631,5877,买盘
27,09:31:18,6.17,1667756,2703,卖盘
28,09:31:21,6.17,4482098,7272,买盘
29,09:31:24,6.17,4555122,7383,买盘
30,09:31:27,6.17,1477836,2394,卖盘
31,09:31:30,6.17,1617860,2619,卖盘
32,09:31:33,6.18,1087238,1761,买盘
33,09:31:36,6.18,3767036,6096,买盘
34,09:31:39,6.17,5006809,8090,卖盘
35,09:31:42,6.18,2667001,4315,买盘
36,09:31:45,6.19,2402128,3882,买盘
37,09:31:48,6.19,1835293,2965,卖盘
38,09:31:51,6.18,2973877,4804,卖盘
39,09:31:54,6.19,1007795,1628,买盘
40,09:31:57,6.19,2328980,3758,卖盘
41,09:32:00,6.19,2534032,4092,卖盘
42,09:32:03,6.19,2062302,3330,买盘
43,09:32:06,6.2,1199656,1935,买盘
44,09:32:09,6.2,2700517,4357,买盘
45,09:32:12,6.2,587550,948,买盘
46,09:32:15,6.2,1674449,2701,买盘
47,09:32:18,6.2,5307892,8562,买盘
48,09:32:21,6.2,6759687,10896,卖盘
49,09:32:24,6.21,3401860,5487,买盘
50,09:32:27,6.21,3333937,5369,买盘
51,09:32:30,6.21,774871,1248,买盘
52,09:32:33,6.21,661942,1066,买盘
53,09:32:36,6.22,763129,1227,买盘
54,09:32:39,6.21,6617244,10639,卖盘
55,09:32:42,6.22,2704927,4349,买盘
56,09:32:45,6.22,804455,1294,买盘
57,09:32:48,6.22,3096161,4985,买盘
58,09:32:51,6.22,865302,1393,买盘
59,09:32:54,6.22,274197,441,买盘
60,09:32:57,6.22,2044115,3287,买盘
61,09:33:00,6.22,2035183,3272,买盘
62,09:33:03,6.22,1292192,2078,买盘
63,09:33:06,6.22,668505,1075,买盘
64,09:33:09,6.22,816799,1314,买盘
65,09:33:12,6.22,486699,783,买盘
66,09:33:15,6.21,750584,1207,卖盘
67,09:33:18,6.22,366658,590,买盘
68,09:33:21,6.21,498670,802,卖盘
69,09:33:24,6.22,468901,755,买盘
70,09:33:27,6.22,1034901,1664,买盘
71,09:33:30,6.22,169059,272,买盘
72,09:33:33,6.22,1132188,1821,买盘
73,09:33:36,6.22,563536,907,买盘
74,09:33:39,6.22,416808,671,买盘
75,09:33:42,6.22,1028366,1654,买盘
76,09:33:45,6.22,662969,1066,买盘
77,09:33:48,6.22,639802,1029,买盘
78,09:33:51,6.22,402109,647,买盘
79,09:33:54,6.22,375599,604,买盘
80,09:33:57,6.21,170330,274,卖盘
81,09:34:00,6.21,5728072,9223,卖盘
82,09:34:03,6.21,4208753,6777,买盘
83,09:34:06,6.2,6683732,10763,卖盘
84,09:34:09,6.21,1941139,3126,买盘
85,09:34:12,6.21,424262,683,卖盘
86,09:34:15,6.21,812972,1309,卖盘
87,09:34:18,6.22,844970,1360,买盘
88,09:34:21,6.21,811919,1307,卖盘
89,09:34:24,6.21,3234572,5209,卖盘
90,09:34:27,6.22,1740013,2802,买盘
91,09:34:30,6.22,512301,824,买盘
92,09:34:33,6.21,430766,693,卖盘
93,09:34:36,6.22,207444,334,买盘
94,09:34:39,6.21,1749107,2816,卖盘
95,09:34:42,6.22,153447,247,买盘
96,09:34:45,6.22,72119,116,买盘
97,09:34:48,6.22,751277,1208,买盘
98,09:34:51,6.21,128662,207,卖盘
99,09:34:54,6.22,271737,437,买盘
100,09:34:57,6.21,1026515,1653,卖盘
101,09:35:00,6.21,1176138,1894,买盘
102,09:35:03,6.21,621618,1001,买盘
103,09:35:06,6.21,101825,164,买盘
104,09:35:09,6.2,1437712,2316,卖盘
105,09:35:12,6.21,225142,363,买盘
106,09:35:15,6.21,986791,1590,买盘
107,09:35:18,6.21,1246317,2010,买盘
108,09:35:21,6.2,1433856,2311,卖盘
109,09:35:24,6.2,677140,1092,卖盘
110,09:35:27,6.21,300255,484,买盘
111,09:35:30,6.21,769950,1240,买盘
112,09:35:33,6.21,102317,165,买盘
113,09:35:36,6.21,1274221,2052,买盘
114,09:35:39,6.21,289844,467,买盘
115,09:35:42,6.21,630936,1016,买盘
116,09:35:45,6.2,202992,327,卖盘
117,09:35:48,6.21,379738,612,买盘
118,09:35:51,6.21,1666146,2683,买盘
119,09:35:54,6.21,1189821,1916,买盘
120,09:35:57,6.21,41610,67,卖盘
121,09:36:00,6.22,499959,804,买盘
122,09:36:03,6.22,100060,161,买盘
123,09:36:06,6.22,806753,1299,买盘
124,09:36:09,6.22,356883,574,买盘
125,09:36:12,6.22,2791096,4494,买盘
126,09:36:15,6.22,1061737,1707,买盘
127,09:36:18,6.21,4111802,6621,卖盘
128,09:36:21,6.2,1689457,2721,卖盘
129,09:36:24,6.21,201632,325,买盘
130,09:36:27,6.2,568461,916,卖盘
131,09:36:30,6.21,3132239,5044,买盘
132,09:36:33,6.22,6623774,10650,买盘
133,09:36:36,6.22,756112,1215,卖盘
134,09:36:39,6.23,2698733,4333,买盘
135,09:36:42,6.22,318729,512,卖盘
136,09:36:45,6.22,1357481,2179,卖盘
137,09:36:48,6.22,278269,447,卖盘
138,09:36:51,6.23,819571,1316,买盘
139,09:36:54,6.23,131966,212,买盘
140,09:36:57,6.23,367399,590,买盘
141,09:37:00,6.23,255325,410,买盘
