,成交时间,成交价格,成交金额,成交量,性质
0,09:25:02,130.99,12640535,965,卖盘
1,09:30:02,130.95,78567,6,卖盘
2,09:30:05,130.95,5328995,407,买盘
3,09:30:08,130.92,9112702,696,买盘
4,09:30:11,130.87,5981840,457,卖盘
5,09:30:14,130.82,3114699,238,中性盘
6,09:30:17,130.8,1935922,148,卖盘
7,09:30:20,130.73,1294506,99,中性盘
8,09:30:23,130.67,1228771,94,卖盘
9,09:30:26,130.6,1907454,146,卖盘
10,09:30:29,130.55,2989971,229,卖盘
11,09:30:32,130.51,809265,62,卖盘
12,09:30:35,130.51,1670398,128,买盘
13,09:30:38,130.48,1109260,85,卖盘
14,09:30:41,130.45,391358,30,卖盘
15,09:30:44,130.3,5828397,447,卖盘
16,09:30:47,130.2,2656176,204,卖盘
17,09:30:50,130.2,794024,61,买盘
18,09:30:53,130.13,754862,58,卖盘
19,09:30:56,130.13,1744344,134,卖盘
20,09:30:59,130.13,5074926,390,买盘
21,09:31:02,130.11,2095004,161,卖盘
22,09:31:05,130.11,2498233,192,买盘
23,09:31:08,130.18,2070122,159,买盘
24,09:31:11,130.26,1289001,99,买盘
25,09:31:14,130.26,534075,41,买盘
26,09:31:17,130.26,716553,55,卖盘
27,09:31:20,130.4,378089,29,买盘
28,09:31:23,130.33,521589,40,卖盘
29,09:31:26,130.44,521609,40,买盘
30,09:31:29,130.53,1579101,121,买盘
31,09:31:32,130.6,1226930,94,买盘
32,09:31:35,130.6,574386,44,买盘
33,09:31:38,130.6,1423456,109,买盘
34,09:31:41,130.6,1162272,89,买盘
35,09:31:44,130.5,2258289,173,卖盘
36,09:31:47,130.33,2021721,155,卖盘
37,09:31:50,130.33,352059,27,卖盘
38,09:31:53,130.31,977504,75,卖盘
39,09:31:56,130.33,1029603,79,买盘
40,09:31:59,130.33,91234,7,中性盘
41,09:32:02,130.47,834551,64,买盘
42,09:32:05,130.33,3753262,288,卖盘
43,09:32:08,130.38,469403,36,中性盘
44,09:32:11,130.33,573771,44,卖盘
45,09:32:14,130.33,612655,47,卖盘
46,09:32:17,130.33,560649,43,卖盘
47,09:32:20,130.39,286826,22,卖盘
48,09:32:23,130.32,2893244,222,卖盘
49,09:32:26,130.33,1537612,118,买盘
50,09:32:29,130.33,1068653,82,买盘
51,09:32:32,130.33,625599,48,卖盘
52,09:32:35,130.38,195515,15,买盘
