,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,32.02,3288454,1027,卖盘
1,09:30:00,32.05,362289,113,买盘
2,09:30:03,32.11,1220953,380,中性盘
3,09:30:06,32.05,1162610,362,卖盘
4,09:30:09,32.05,272859,85,卖盘
5,09:30:12,32.17,687037,214,买盘
6,09:30:15,32.17,109365,34,买盘
7,09:30:18,32.19,38610,12,买盘
8,09:30:21,32.19,270453,84,卖盘
9,09:30:24,32.21,80495,25,买盘
10,09:30:27,32.21,267388,83,买盘
11,09:30:30,32.21,528637,164,卖盘
12,09:30:33,32.26,264482,82,买盘
13,09:30:36,32.29,1645403,510,买盘
14,09:30:39,32.33,904699,280,买盘
15,09:30:42,32.34,294275,91,买盘
16,09:30:45,32.32,462533,143,卖盘
17,09:30:48,32.31,420015,130,卖盘
18,09:30:51,32.31,184153,57,买盘
19,09:30:54,32.29,80748,25,卖盘
20,09:30:57,32.29,326111,101,中性盘
21,09:31:00,32.26,480935,149,卖盘
22,09:31:03,32.31,345467,107,买盘
23,09:31:06,32.31,581522,180,买盘
24,09:31:09,32.28,1401396,434,卖盘
25,09:31:12,32.32,1670086,517,买盘
26,09:31:15,32.3,355200,110,买盘
27,09:31:18,32.28,1230507,381,卖盘
28,09:31:21,32.29,125948,39,中性盘
29,09:31:24,32.29,461991,143,中性盘
30,09:31:27,32.35,992669,307,买盘
31,09:31:30,32.39,547215,169,买盘
32,09:31:33,32.4,132840,41,买盘
33,09:31:36,32.39,732223,226,中性盘
34,09:31:39,32.31,769841,238,卖盘
35,09:31:42,32.37,129475,40,买盘
36,09:31:45,32.3,51727,16,卖盘
37,09:31:48,32.31,19381,6,中性盘
38,09:31:51,32.33,58191,18,买盘
39,09:31:54,32.32,51712,16,卖盘
40,09:31:57,32.32,229488,71,卖盘
41,09:32:00,32.31,184246,57,卖盘
42,09:32:03,32.32,193926,60,买盘
43,09:32:06,32.33,245707,76,买盘
44,09:32:09,32.35,64691,20,买盘
45,09:32:12,32.36,323542,100,买盘
46,09:32:15,32.36,158598,49,卖盘
47,09:32:18,32.34,491859,152,卖盘
48,09:32:21,32.41,1408574,435,买盘
49,09:32:24,32.41,356382,110,买盘
50,09:32:27,32.41,269075,83,中性盘
51,09:32:30,32.41,197494,61,中性盘
52,09:32:33,32.37,93973,29,卖盘
53,09:32:36,32.38,300962,93,买盘
54,09:32:39,32.37,330130,102,中性盘
55,09:32:42,32.37,155366,48,卖盘
56,09:32:45,32.37,161853,50,卖盘
57,09:32:48,32.37,431072,133,买盘
58,09:32:51,32.36,427280,132,卖盘
59,09:32:54,32.37,255710,79,买盘
60,09:32:57,32.35,662578,205,卖盘
61,09:33:00,32.35,491704,152,买盘
62,09:33:03,32.35,271701,84,买盘
63,09:33:06,32.34,236100,73,卖盘
64,09:33:09,32.34,151977,47,买盘
65,09:33:12,32.33,103472,32,卖盘
66,09:33:15,32.33,129320,40,卖盘
67,09:33:18,32.33,132559,41,卖盘
68,09:33:21,32.32,323271,100,卖盘
69,09:33:24,32.31,90488,28,卖盘
70,09:33:27,32.3,119540,37,卖盘
71,09:33:30,32.3,281010,87,卖盘
72,09:33:33,32.28,374536,116,卖盘
73,09:33:36,32.26,277407,86,卖盘
74,09:33:39,32.26,151612,47,买盘
75,09:33:42,32.26,470852,146,买盘
76,09:33:45,32.25,467651,145,卖盘
77,09:33:48,32.26,209631,65,买盘
78,09:33:51,32.26,51605,16,买盘
79,09:33:54,32.25,129012,40,卖盘
80,09:33:57,32.25,303200,94,卖盘
81,09:34:00,32.26,190297,59,买盘
82,09:34:03,32.25,93536,29,卖盘
83,09:34:06,32.26,264498,82,买盘
84,09:34:09,32.26,225873,70,买盘
85,09:34:12,32.28,132348,41,买盘
86,09:34:15,32.25,2247881,697,卖盘
87,09:34:18,32.28,70997,22,买盘
88,09:34:21,32.26,209816,65,中性盘
89,09:34:24,32.26,1236163,383,卖盘
90,09:34:27,32.26,222609,69,卖盘
91,09:34:30,32.3,190570,59,买盘
92,09:34:33,32.3,3443669,1067,卖盘
93,09:34:36,32.32,849916,263,买盘
94,09:34:39,32.3,119524,37,卖盘
95,09:34:42,32.32,180992,56,买盘
96,09:34:45,32.32,22624,7,买盘
97,09:34:48,32.32,630220,195,买盘
98,09:34:51,32.31,138961,43,中性盘
99,09:34:54,32.32,161590,50,买盘
100,09:34:57,32.3,100156,31,卖盘
101,09:35:00,32.4,4162555,1286,买盘
102,09:35:03,32.4,832807,257,买盘
103,09:35:06,32.42,349963,108,买盘
104,09:35:09,32.42,90750,28,买盘
105,09:35:12,32.43,590032,182,买盘
106,09:35:15,32.42,97257,30,中性盘
107,09:35:18,32.42,213949,66,买盘
108,09:35:21,32.42,265811,82,买盘
109,09:35:24,32.41,440862,136,中性盘
110,09:35:27,32.36,330529,102,卖盘
111,09:35:30,32.36,45354,14,卖盘
112,09:35:33,32.4,142560,44,买盘
113,09:35:36,32.38,32355,10,中性盘
114,09:35:39,32.35,74459,23,卖盘
115,09:35:42,32.4,174945,54,买盘
116,09:35:45,32.4,161998,50,买盘
117,09:35:48,32.4,741961,229,买盘
118,09:35:51,32.4,301326,93,卖盘
119,09:35:54,32.41,829620,256,买盘
120,09:35:57,32.4,881317,272,卖盘
121,09:36:00,32.4,311035,96,买盘
122,09:36:03,32.43,3296776,1017,买盘
123,09:36:06,32.42,680893,210,卖盘
124,09:36:09,32.43,188046,58,买盘
125,09:36:12,32.42,402082,124,卖盘
126,09:36:15,32.48,1447039,446,买盘
127,09:36:18,32.46,389714,120,卖盘
128,09:36:21,32.47,172114,53,中性盘
129,09:36:24,32.48,493735,152,买盘
130,09:36:27,32.48,1435654,442,卖盘
131,09:36:30,32.49,838415,258,买盘
132,09:36:33,32.5,493945,152,买盘
133,09:36:36,32.5,1355098,417,买盘
134,09:36:39,32.49,1799916,554,卖盘
135,09:36:42,32.49,399691,123,卖盘
136,09:36:45,32.45,867141,267,卖盘
137,09:36:48,32.47,107086,33,买盘
138,09:36:51,32.44,1292072,398,卖盘
139,09:36:54,32.45,84408,26,中性盘
140,09:36:57,32.46,61670,19,中性盘
141,09:37:00,32.47,191585,59,买盘
142,09:37:03,32.48,272786,84,买盘
143,09:37:06,32.53,2437649,750,买盘
144,09:37:09,32.53,178904,55,买盘
145,09:37:12,32.54,367550,113,买盘
146,09:37:15,32.52,217870,67,卖盘
147,09:37:18,32.52,100815,31,买盘
148,09:37:21,32.54,302542,93,买盘
149,09:37:24,32.64,4123803,1266,买盘
150,09:37:27,32.74,3035353,929,买盘
151,09:37:30,32.74,385992,118,买盘
152,09:37:33,32.74,193108,59,买盘
153,09:37:36,32.77,910640,278,买盘
154,09:37:39,32.74,1636676,500,卖盘
155,09:37:42,32.83,2931745,894,买盘
156,09:37:45,32.84,722527,220,买盘
157,09:37:48,32.84,1127024,343,卖盘
158,09:37:51,32.85,1538557,468,卖盘
159,09:37:54,32.87,1015609,309,中性盘
160,09:37:57,32.96,1978085,601,买盘
161,09:38:00,32.93,731294,222,卖盘
162,09:38:03,32.98,2252803,684,买盘
163,09:38:06,32.93,3084437,936,中性盘
164,09:38:09,32.92,757778,230,卖盘
165,09:38:12,32.9,572636,174,卖盘
166,09:38:15,32.92,730779,222,买盘
167,09:38:18,32.9,1098947,334,卖盘
168,09:38:21,32.9,1065958,324,买盘
169,09:38:24,32.88,1049254,319,卖盘
170,09:38:27,32.87,644205,196,卖盘
171,09:38:30,32.86,378067,115,中性盘
172,09:38:33,32.85,575016,175,卖盘
173,09:38:36,32.84,683422,208,卖盘
174,09:38:39,32.85,920022,280,买盘
175,09:38:42,32.84,764976,233,卖盘
176,09:38:45,32.82,124717,38,卖盘
177,09:38:48,32.82,242877,74,卖盘
178,09:38:51,32.81,574224,175,卖盘
179,09:38:54,32.8,242733,74,卖盘
180,09:38:57,33.0,18367274,5581,买盘
181,09:39:00,33.06,5426219,1644,买盘
182,09:39:03,33.27,10397401,3132,买盘
183,09:39:06,33.19,4394298,1322,卖盘
184,09:39:09,33.13,1933543,583,卖盘
185,09:39:12,33.26,889502,268,买盘
186,09:39:15,33.16,606858,183,中性盘
187,09:39:18,33.08,3522869,1063,卖盘
188,09:39:21,33.06,1528959,462,卖盘
189,09:39:24,33.11,221875,67,中性盘
190,09:39:27,33.11,910678,275,买盘
191,09:39:30,33.09,413555,125,中性盘
192,09:39:33,33.09,843893,255,买盘
193,09:39:36,33.09,1370468,414,卖盘
194,09:39:39,33.12,708897,214,买盘
195,09:39:42,33.16,649230,196,买盘
196,09:39:45,33.13,354502,107,卖盘
197,09:39:48,33.17,245347,74,买盘
198,09:39:51,33.1,4108869,1241,卖盘
199,09:39:54,33.1,99350,30,卖盘
200,09:39:57,33.1,811297,245,卖盘
201,09:40:00,33.13,350926,106,买盘
202,09:40:03,33.16,2497585,754,买盘
203,09:40:06,33.09,698769,211,卖盘
204,09:40:09,33.15,639477,193,买盘
205,09:40:12,33.1,1794008,542,中性盘
206,09:40:15,33.09,698710,211,中性盘
207,09:40:18,33.09,592532,179,买盘
208,09:40:21,33.11,463397,140,买盘
209,09:40:24,33.1,622367,188,卖盘
210,09:40:27,33.1,579206,175,卖盘
211,09:40:30,33.12,2270632,686,买盘
212,09:40:33,33.1,877514,265,卖盘
213,09:40:36,33.1,625814,189,卖盘
214,09:40:39,33.08,1694437,512,卖盘
215,09:40:42,33.08,258003,78,买盘
216,09:40:45,33.07,310858,94,卖盘
217,09:40:48,33.05,367113,111,卖盘
218,09:40:51,33.05,1120230,339,卖盘
219,09:40:54,33.05,198312,60,卖盘
220,09:40:57,33.04,254475,77,卖盘
221,09:41:00,33.04,330383,100,卖盘
222,09:41:03,33.04,1397843,423,卖盘
223,09:41:06,33.05,356809,108,买盘
224,09:41:09,32.99,1644235,498,卖盘
225,09:41:12,33.03,326792,99,买盘
226,09:41:15,33.0,204629,62,中性盘
227,09:41:18,32.99,214473,65,卖盘
228,09:41:21,33.01,518224,157,买盘
229,09:41:24,33.0,379576,115,卖盘
230,09:41:27,32.99,313402,95,卖盘
231,09:41:30,32.99,69277,21,买盘
232,09:41:33,32.97,494609,150,卖盘
233,09:41:36,32.97,234182,71,卖盘
234,09:41:39,33.03,7397409,2241,买盘
235,09:41:42,33.04,898193,272,买盘
236,09:41:45,33.04,1364608,413,买盘
237,09:41:48,33.03,664170,201,卖盘
238,09:41:51,33.04,727039,220,买盘
239,09:41:54,33.03,647355,196,卖盘
240,09:41:57,33.01,62729,19,卖盘
241,09:42:00,33.0,122110,37,卖盘
242,09:42:03,33.0,1372735,416,卖盘
243,09:42:06,32.97,897447,272,卖盘
244,09:42:09,33.0,1000014,303,买盘
245,09:42:12,33.0,2273335,689,卖盘
246,09:42:15,32.99,46171,14,中性盘
247,09:42:18,32.98,32980,10,卖盘
248,09:42:21,32.99,118744,36,买盘
249,09:42:24,32.98,135214,41,中性盘
250,09:42:27,32.97,224173,68,卖盘
251,09:42:30,32.94,13176,4,卖盘
252,09:42:33,32.97,1964982,596,买盘
253,09:42:36,32.94,2155573,655,卖盘
254,09:42:39,32.93,144896,44,卖盘
255,09:42:42,32.93,184414,56,卖盘
256,09:42:45,32.92,279918,85,卖盘
257,09:42:48,32.92,319344,97,卖盘
258,09:42:51,32.91,539708,164,卖盘
259,09:42:54,32.89,157954,48,卖盘
260,09:42:57,32.9,36183,11,中性盘
261,09:43:00,32.88,272923,83,卖盘
262,09:43:03,32.88,391293,119,卖盘
263,09:43:06,32.88,282768,86,买盘
264,09:43:09,32.87,256393,78,卖盘
265,09:43:12,32.86,144602,44,卖盘
266,09:43:15,32.86,95294,29,买盘
267,09:43:18,32.85,164250,50,卖盘
268,09:43:21,32.8,1742380,531,卖盘
269,09:43:24,32.83,32830,10,买盘
270,09:43:27,32.83,390652,119,卖盘
271,09:43:30,32.83,534945,163,买盘
272,09:43:33,32.81,265811,81,卖盘
273,09:43:36,32.81,98447,30,卖盘
274,09:43:39,32.8,705269,215,卖盘
275,09:43:42,32.8,144320,44,买盘
276,09:43:45,32.82,958038,292,买盘
277,09:43:48,32.83,407035,124,买盘
278,09:43:51,32.84,505787,154,中性盘
279,09:43:54,32.84,141240,43,卖盘
280,09:43:57,32.84,242982,74,卖盘
281,09:44:00,32.83,568070,173,卖盘
282,09:44:03,32.84,55831,17,中性盘
283,09:44:06,32.84,32839,10,卖盘
284,09:44:09,32.76,8094666,2467,卖盘
285,09:44:12,32.75,239023,73,中性盘
286,09:44:15,32.76,140868,43,中性盘
287,09:44:18,32.76,45864,14,买盘
288,09:44:21,32.77,111388,34,中性盘
289,09:44:24,32.77,393149,120,买盘
290,09:44:27,32.79,183563,56,买盘
291,09:44:30,32.77,16389,5,中性盘
292,09:44:33,32.79,52463,16,买盘
293,09:44:36,32.79,216330,66,买盘
294,09:44:39,32.8,85276,26,买盘
295,09:44:42,32.8,373923,114,买盘
296,09:44:45,32.8,1390322,424,卖盘
297,09:44:48,32.8,78727,24,卖盘
298,09:44:51,32.8,259196,79,卖盘
299,09:44:54,32.82,85287,26,买盘
300,09:44:57,32.81,68909,21,卖盘
