,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,34.18,14564098,4261,卖盘
1,09:30:00,34.16,17086,5,卖盘
2,09:30:03,34.15,1239919,363,卖盘
3,09:30:06,34.14,3773983,1105,买盘
4,09:30:09,34.18,3662749,1073,买盘
5,09:30:12,34.1,2123642,622,卖盘
6,09:30:15,34.15,1109590,325,买盘
7,09:30:18,34.15,3903350,1143,买盘
8,09:30:21,34.1,1491365,437,卖盘
9,09:30:24,34.14,1539803,451,买盘
10,09:30:27,34.14,693197,203,卖盘
11,09:30:30,34.2,2638867,772,买盘
12,09:30:33,34.2,2182872,638,卖盘
13,09:30:36,34.2,348804,102,卖盘
14,09:30:39,34.26,297610,87,买盘
15,09:30:42,34.27,2485388,725,买盘
16,09:30:45,34.33,1159985,338,买盘
17,09:30:48,34.34,600894,175,买盘
18,09:30:51,34.33,693774,202,卖盘
19,09:30:54,34.35,333220,97,买盘
20,09:30:57,34.33,4330541,1261,卖盘
21,09:31:00,34.36,1226549,357,买盘
22,09:31:03,34.34,1123496,327,卖盘
23,09:31:06,34.36,456870,133,买盘
24,09:31:09,34.36,879207,256,买盘
25,09:31:12,34.37,3089254,899,买盘
26,09:31:15,34.39,1190018,346,买盘
27,09:31:18,34.37,742867,216,卖盘
28,09:31:21,34.47,3779982,1097,买盘
29,09:31:24,34.43,1188253,345,卖盘
30,09:31:27,34.49,6128428,1777,买盘
31,09:31:30,34.53,458813,133,买盘
32,09:31:33,34.48,735153,213,卖盘
33,09:31:36,34.48,800603,232,买盘
34,09:31:39,34.48,3353388,973,买盘
35,09:31:42,34.4,3367427,977,卖盘
36,09:31:45,34.36,1420298,413,卖盘
37,09:31:48,34.4,659954,192,买盘
38,09:31:51,34.39,560025,163,买盘
39,09:31:54,34.39,1127373,328,买盘
40,09:31:57,34.34,1961693,570,卖盘
41,09:32:00,34.38,982552,286,中性盘
42,09:32:03,34.35,1193471,348,卖盘
43,09:32:06,34.39,1854687,539,买盘
44,09:32:09,34.37,847204,247,卖盘
45,09:32:12,34.35,990152,288,卖盘
46,09:32:15,34.33,1646066,479,卖盘
47,09:32:18,34.34,1565464,456,买盘
48,09:32:21,34.32,2171254,633,中性盘
49,09:32:24,34.34,1547277,451,买盘
50,09:32:27,34.3,2501639,729,卖盘
51,09:32:30,34.33,1421059,414,买盘
52,09:32:33,34.35,895902,261,买盘
53,09:32:36,34.35,439625,128,卖盘
54,09:32:39,34.35,601304,175,卖盘
55,09:32:42,34.39,605009,176,买盘
56,09:32:45,34.4,705020,205,买盘
57,09:32:48,34.4,335280,97,买盘
58,09:32:51,34.4,1150994,335,卖盘
59,09:32:54,34.4,2424492,705,买盘
60,09:32:57,34.39,749679,218,买盘
61,09:33:00,34.34,4182320,1217,卖盘
62,09:33:03,34.34,1199314,349,卖盘
63,09:33:06,34.37,243894,71,买盘
64,09:33:09,34.37,415769,121,中性盘
65,09:33:12,34.4,804531,234,买盘
66,09:33:15,34.38,574305,167,卖盘
67,09:33:18,34.38,862854,251,买盘
68,09:33:21,34.4,476226,138,买盘
69,09:33:24,34.4,1286667,374,卖盘
70,09:33:27,34.39,1921991,559,卖盘
71,09:33:30,34.38,693212,202,卖盘
72,09:33:33,34.4,1152228,335,买盘
73,09:33:36,34.38,1155165,336,卖盘
74,09:33:39,34.39,1337733,389,买盘
75,09:33:42,34.41,2778724,808,买盘
76,09:33:45,34.41,1608778,467,买盘
77,09:33:48,34.43,447405,130,买盘
78,09:33:51,34.43,685044,199,买盘
79,09:33:54,34.44,1232443,358,买盘
80,09:33:57,34.45,957365,278,买盘
81,09:34:00,34.42,826521,240,卖盘
82,09:34:03,34.36,3689334,1073,卖盘
83,09:34:06,34.4,2100204,611,买盘
84,09:34:09,34.38,226925,66,中性盘
85,09:34:12,34.38,491539,143,买盘
86,09:34:15,34.38,1137850,331,中性盘
87,09:34:18,34.39,553487,161,买盘
88,09:34:21,34.36,3364716,979,卖盘
89,09:34:24,34.39,615479,179,买盘
90,09:34:27,34.4,478096,139,买盘
91,09:34:30,34.4,161646,47,买盘
92,09:34:33,34.39,481650,140,卖盘
93,09:34:36,34.39,993931,289,卖盘
94,09:34:39,34.36,924940,269,卖盘
95,09:34:42,34.36,570843,166,卖盘
96,09:34:45,34.4,526128,153,买盘
97,09:34:48,34.38,419356,122,中性盘
98,09:34:51,34.4,863084,251,买盘
99,09:34:54,34.42,626244,182,买盘
100,09:34:57,34.41,2284061,664,卖盘
101,09:35:00,34.41,764434,222,卖盘
102,09:35:03,34.42,503263,146,买盘
103,09:35:06,34.42,1126107,327,卖盘
104,09:35:09,34.47,1094933,318,买盘
105,09:35:12,34.44,303189,88,中性盘
106,09:35:15,34.49,2897660,840,买盘
107,09:35:18,34.51,2069726,600,买盘
108,09:35:21,34.51,210453,61,买盘
109,09:35:24,34.49,724597,210,卖盘
110,09:35:27,34.51,1145400,332,买盘
111,09:35:30,34.49,1145183,332,卖盘
112,09:35:33,34.49,2073242,601,买盘
113,09:35:36,34.49,1214011,352,买盘
114,09:35:39,34.47,796357,231,卖盘
115,09:35:42,34.49,1441086,418,买盘
116,09:35:45,34.47,6197971,1800,买盘
117,09:35:48,34.43,947783,275,卖盘
118,09:35:51,34.47,3145938,913,买盘
119,09:35:54,34.44,1588495,461,中性盘
120,09:35:57,34.45,3549661,1030,中性盘
121,09:36:00,34.37,1768515,514,卖盘
122,09:36:03,34.41,457514,133,买盘
123,09:36:06,34.37,4265999,1242,买盘
124,09:36:09,34.36,563541,164,中性盘
125,09:36:12,34.36,257696,75,买盘
126,09:36:15,34.35,567067,165,卖盘
127,09:36:18,34.35,765850,223,卖盘
128,09:36:21,34.33,1438539,419,卖盘
129,09:36:24,34.26,6502635,1896,卖盘
130,09:36:27,34.23,821937,240,卖盘
131,09:36:30,34.23,1156880,338,卖盘
132,09:36:33,34.22,893419,261,卖盘
133,09:36:36,34.21,951493,278,卖盘
134,09:36:39,34.23,1786361,522,买盘
135,09:36:42,34.22,1225727,358,中性盘
136,09:36:45,34.23,1070957,313,中性盘
137,09:36:48,34.23,1748556,511,卖盘
138,09:36:51,34.21,756406,221,卖盘
139,09:36:54,34.22,2518425,736,买盘
140,09:36:57,34.21,297672,87,卖盘
141,09:37:00,34.2,1812571,530,卖盘
142,09:37:03,34.2,721724,211,买盘
143,09:37:06,34.2,236014,69,卖盘
144,09:37:09,34.2,974889,285,卖盘
145,09:37:12,34.21,301009,88,买盘
146,09:37:15,34.23,212126,62,买盘
147,09:37:18,34.23,386629,113,买盘
148,09:37:21,34.21,420930,123,卖盘
149,09:37:24,34.21,2295822,671,卖盘
150,09:37:27,34.23,564627,165,买盘
151,09:37:30,34.21,588611,172,卖盘
152,09:37:33,34.23,592098,173,买盘
153,09:37:36,34.21,633151,185,卖盘
154,09:37:39,34.21,4234294,1238,卖盘
155,09:37:42,34.22,722008,211,买盘
156,09:37:45,34.23,715343,209,买盘
157,09:37:48,34.22,910223,266,卖盘
158,09:37:51,34.22,2223950,650,买盘
159,09:37:54,34.23,1269465,371,买盘
160,09:37:57,34.22,701572,205,卖盘
161,09:38:00,34.23,332043,97,买盘
162,09:38:03,34.23,308108,90,卖盘
163,09:38:06,34.24,222527,65,买盘
164,09:38:09,34.24,486261,142,卖盘
165,09:38:12,34.25,428208,125,中性盘
166,09:38:15,34.28,246703,72,买盘
167,09:38:18,34.26,373523,109,卖盘
168,09:38:21,34.29,1330670,388,买盘
169,09:38:24,34.3,589935,172,买盘
170,09:38:27,34.29,2438526,711,卖盘
171,09:38:30,34.3,281211,82,买盘
172,09:38:33,34.3,445788,130,买盘
173,09:38:36,34.29,473262,138,卖盘
174,09:38:39,34.29,949938,277,买盘
175,09:38:42,34.29,4873954,1421,卖盘
176,09:38:45,34.28,607007,177,卖盘
177,09:38:48,34.28,517721,151,卖盘
178,09:38:51,34.28,555411,162,卖盘
179,09:38:54,34.3,473263,138,买盘
180,09:38:57,34.29,339475,99,卖盘
181,09:39:00,34.29,751086,219,卖盘
182,09:39:03,34.28,1474159,430,卖盘
183,09:39:06,34.28,600078,175,卖盘
184,09:39:09,34.38,4326556,1261,买盘
185,09:39:12,34.33,480716,140,卖盘
186,09:39:15,34.35,65225,19,买盘
187,09:39:18,34.31,109894,32,卖盘
188,09:39:21,34.35,68686,20,买盘
189,09:39:24,34.35,182064,53,卖盘
190,09:39:27,34.36,195817,57,买盘
191,09:39:30,34.33,724761,211,卖盘
192,09:39:33,34.34,54949,16,中性盘
193,09:39:36,34.33,288450,84,卖盘
194,09:39:39,34.33,178598,52,卖盘
195,09:39:42,34.34,164824,48,中性盘
196,09:39:45,34.36,1339243,390,买盘
197,09:39:48,34.36,109957,32,卖盘
198,09:39:51,34.36,323014,94,卖盘
199,09:39:54,34.37,759443,221,买盘
200,09:39:57,34.37,206149,60,买盘
201,09:40:00,34.33,247303,72,卖盘
202,09:40:03,34.32,394815,115,卖盘
203,09:40:06,34.32,109864,32,卖盘
204,09:40:09,34.32,168229,49,卖盘
205,09:40:12,34.32,2110145,615,卖盘
206,09:40:15,34.3,2293923,668,卖盘
207,09:40:18,34.31,346483,101,中性盘
208,09:40:21,34.31,54899,16,卖盘
209,09:40:24,34.32,1221640,356,买盘
210,09:40:27,34.32,277914,81,中性盘
211,09:40:30,34.32,964205,281,中性盘
212,09:40:33,34.29,1416638,413,卖盘
213,09:40:36,34.27,1275471,372,卖盘
214,09:40:39,34.29,144009,42,买盘
215,09:40:42,34.29,565567,165,卖盘
216,09:40:45,34.29,538349,157,卖盘
217,09:40:48,34.3,92588,27,买盘
218,09:40:51,34.29,493796,144,卖盘
219,09:40:54,34.29,308625,90,卖盘
220,09:40:57,34.28,1577223,460,卖盘
221,09:41:00,34.28,143987,42,卖盘
222,09:41:03,34.28,154263,45,卖盘
223,09:41:06,34.28,311902,91,买盘
224,09:41:09,34.27,1110595,324,卖盘
225,09:41:12,34.28,366801,107,买盘
226,09:41:15,34.28,147404,43,卖盘
227,09:41:18,34.28,332535,97,卖盘
228,09:41:21,34.28,654610,191,卖盘
229,09:41:24,34.3,1117821,326,买盘
230,09:41:27,34.27,1354380,395,卖盘
231,09:41:30,34.27,418063,122,卖盘
232,09:41:33,34.27,483078,141,买盘
233,09:41:36,34.25,1147424,335,卖盘
234,09:41:39,34.23,2085309,609,卖盘
235,09:41:42,34.23,195146,57,卖盘
236,09:41:45,34.22,975379,285,卖盘
237,09:41:48,34.22,256655,75,卖盘
238,09:41:51,34.2,3058028,894,卖盘
239,09:41:54,34.21,1057326,309,买盘
240,09:41:57,34.21,304499,89,卖盘
241,09:42:00,34.21,437907,128,卖盘
242,09:42:03,34.21,769739,225,卖盘
243,09:42:06,34.2,1436584,420,卖盘
244,09:42:09,34.21,612244,179,买盘
245,09:42:12,34.21,516425,151,买盘
246,09:42:15,34.21,1511508,442,买盘
247,09:42:18,34.22,1392459,407,买盘
248,09:42:21,34.23,619621,181,买盘
249,09:42:24,34.23,318231,93,卖盘
250,09:42:27,34.24,51358,15,买盘
251,09:42:30,34.23,1214616,355,卖盘
252,09:42:33,34.23,243023,71,买盘
253,09:42:36,34.21,290850,85,卖盘
254,09:42:39,34.23,71856,21,买盘
255,09:42:42,34.21,413946,121,卖盘
256,09:42:45,34.21,1672856,489,卖盘
257,09:42:48,34.21,530340,155,卖盘
258,09:42:51,34.21,249724,73,买盘
259,09:42:54,34.2,229150,67,卖盘
260,09:42:57,34.21,198386,58,买盘
261,09:43:00,34.2,1084106,317,卖盘
262,09:43:03,34.2,824371,241,卖盘
263,09:43:06,34.2,232622,68,卖盘
264,09:43:09,34.2,482213,141,卖盘
265,09:43:12,34.2,294118,86,买盘
266,09:43:15,34.19,1138557,333,卖盘
267,09:43:18,34.18,146997,43,卖盘
268,09:43:21,34.18,437553,128,卖盘
269,09:43:24,34.19,1565958,458,买盘
270,09:43:27,34.18,1138212,333,卖盘
271,09:43:30,34.18,769056,225,卖盘
272,09:43:33,34.18,75193,22,买盘
273,09:43:36,34.17,338296,99,卖盘
274,09:43:39,34.17,1165227,341,卖盘
275,09:43:42,34.18,461231,135,买盘
276,09:43:45,34.17,276730,81,中性盘
277,09:43:48,34.16,1987794,582,卖盘
278,09:43:51,34.16,573897,168,卖盘
279,09:43:54,34.16,280058,82,买盘
280,09:43:57,34.15,1926477,564,卖盘
281,09:44:00,34.15,2725685,798,买盘
282,09:44:03,34.16,409894,120,买盘
283,09:44:06,34.16,317732,93,卖盘
284,09:44:09,34.15,672937,197,卖盘
285,09:44:12,34.14,491708,144,卖盘
286,09:44:15,34.16,464545,136,买盘
287,09:44:18,34.15,382504,112,卖盘
288,09:44:21,34.15,1147360,336,卖盘
289,09:44:24,34.14,368798,108,卖盘
290,09:44:27,34.15,693230,203,买盘
291,09:44:30,34.14,443858,130,卖盘
292,09:44:33,34.15,549737,161,买盘
293,09:44:36,34.14,1642434,481,卖盘
294,09:44:39,34.14,1601209,469,卖盘
295,09:44:42,34.13,1102426,323,卖盘
296,09:44:45,34.14,218461,64,买盘
297,09:44:48,34.12,1488083,436,卖盘
298,09:44:51,34.14,938644,275,买盘
299,09:44:54,34.13,545942,160,中性盘
300,09:44:57,34.14,2193742,643,买盘
301,09:45:00,34.12,791720,232,卖盘
302,09:45:03,34.11,733489,215,卖盘
303,09:45:06,34.11,668672,196,卖盘
304,09:45:09,34.1,934716,274,卖盘
305,09:45:12,34.1,313750,92,卖盘
306,09:45:15,34.1,872988,256,卖盘
307,09:45:18,34.1,3430465,1006,卖盘
308,09:45:21,34.08,760247,223,卖盘
309,09:45:24,34.08,651154,191,卖盘
310,09:45:27,34.08,627097,184,卖盘
311,09:45:30,34.08,541748,159,买盘
312,09:45:33,34.07,1069850,314,卖盘
313,09:45:36,34.08,1846950,542,买盘
314,09:45:39,34.08,1042855,306,买盘
315,09:45:42,34.07,2044495,600,卖盘
316,09:45:45,34.08,593073,174,中性盘
317,09:45:48,34.08,1635982,480,卖盘
318,09:45:51,34.08,1540380,452,卖盘
319,09:45:54,34.08,719080,211,卖盘
320,09:45:57,34.1,695255,204,买盘
321,09:46:00,34.1,3864526,1133,买盘
322,09:46:03,34.1,480866,141,卖盘
323,09:46:06,34.13,405909,119,卖盘
324,09:46:09,34.11,214933,63,卖盘
325,09:46:12,34.11,204655,60,买盘
326,09:46:15,34.11,429680,126,买盘
327,09:46:18,34.11,931738,273,买盘
328,09:46:21,34.1,470738,138,卖盘
329,09:46:24,34.11,474133,139,卖盘
330,09:46:27,34.14,750584,220,买盘
331,09:46:30,34.11,296964,87,卖盘
332,09:46:33,34.12,3590775,1053,买盘
333,09:46:36,34.11,416185,122,中性盘
334,09:46:39,34.11,1190496,349,卖盘
335,09:46:42,34.11,344426,101,买盘
336,09:46:45,34.1,2801763,822,卖盘
337,09:46:48,34.09,814782,239,中性盘
338,09:46:51,34.06,3345031,982,卖盘
339,09:46:54,34.02,4787765,1407,卖盘
340,09:46:57,34.02,948977,279,卖盘
341,09:47:00,34.01,3095050,910,卖盘
342,09:47:03,34.02,2050899,603,买盘
343,09:47:06,34.0,2053785,604,卖盘
344,09:47:09,34.01,836465,246,买盘
345,09:47:12,34.01,1931696,568,卖盘
346,09:47:15,34.01,639335,188,卖盘
347,09:47:18,34.01,1632302,480,卖盘
348,09:47:21,34.0,1774921,522,卖盘
349,09:47:24,34.0,1455288,428,卖盘
350,09:47:27,34.0,1417896,417,卖盘
351,09:47:30,34.01,2285642,672,买盘
352,09:47:33,34.01,425158,125,卖盘
353,09:47:36,34.01,840133,247,卖盘
354,09:47:39,34.01,639509,188,卖盘
355,09:47:42,34.02,506899,149,中性盘
356,09:47:45,34.02,1047911,308,卖盘
357,09:47:48,34.02,452527,133,卖盘
358,09:47:51,34.02,462768,136,卖盘
359,09:47:54,34.05,1153374,339,买盘
360,09:47:57,34.05,136203,40,卖盘
361,09:48:00,34.05,275822,81,卖盘
362,09:48:03,34.08,704539,207,买盘
363,09:48:06,34.06,681354,200,卖盘
364,09:48:09,34.08,146511,43,买盘
365,09:48:12,34.06,98818,29,卖盘
366,09:48:15,34.07,1090060,320,卖盘
367,09:48:18,34.08,1161981,341,买盘
368,09:48:21,34.08,531589,156,卖盘
369,09:48:24,34.05,2244659,659,卖盘
370,09:48:27,34.07,596284,175,中性盘
371,09:48:30,34.05,702219,206,卖盘
372,09:48:33,34.05,792558,233,买盘
373,09:48:36,34.05,678343,199,卖盘
374,09:48:39,34.05,984044,289,买盘
375,09:48:42,34.05,1000931,294,买盘
376,09:48:45,34.05,1422614,418,买盘
377,09:48:48,34.05,452876,133,卖盘
378,09:48:51,34.05,1028914,302,卖盘
379,09:48:54,34.03,2746581,807,卖盘
380,09:48:57,34.03,643148,189,买盘
381,09:49:00,34.02,1299714,382,卖盘
