,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,12.72,9187656,7223,买盘
1,09:30:00,12.77,3027441,2376,买盘
2,09:30:03,12.73,6588818,5170,卖盘
3,09:30:06,12.78,2717418,2128,买盘
4,09:30:09,12.8,2190003,1711,买盘
5,09:30:12,12.83,821130,640,买盘
6,09:30:15,12.84,500927,390,买盘
7,09:30:18,12.87,719859,560,买盘
8,09:30:21,12.87,378467,294,买盘
9,09:30:24,12.88,791997,615,买盘
10,09:30:27,12.87,962101,747,卖盘
11,09:30:30,12.88,2282958,1775,卖盘
12,09:30:33,12.85,844357,656,中性盘
13,09:30:36,12.85,1185462,922,卖盘
14,09:30:39,12.84,1174389,914,卖盘
15,09:30:42,12.9,4052915,3146,买盘
16,09:30:45,12.93,2181288,1688,买盘
17,09:30:48,12.95,2122826,1638,买盘
18,09:30:51,12.95,1045179,806,卖盘
19,09:30:54,12.96,973076,750,买盘
20,09:30:57,12.95,1683640,1300,卖盘
21,09:31:00,12.96,1096200,846,买盘
22,09:31:03,13.02,7647929,5882,买盘
23,09:31:06,13.02,1894100,1455,卖盘
24,09:31:09,13.03,457213,351,买盘
25,09:31:12,13.04,939932,722,中性盘
26,09:31:15,13.03,1479975,1135,卖盘
27,09:31:18,13.03,3433747,2635,卖盘
28,09:31:21,13.03,2250652,1726,买盘
29,09:31:24,13.03,2246090,1722,买盘
30,09:31:27,13.03,1276603,979,卖盘
31,09:31:30,13.03,1991806,1529,卖盘
32,09:31:33,13.0,519249,399,卖盘
33,09:31:36,12.98,918656,707,卖盘
34,09:31:39,12.96,905071,698,卖盘
35,09:31:42,12.94,370467,286,卖盘
36,09:31:45,12.92,903882,699,卖盘
37,09:31:48,12.93,555916,430,买盘
38,09:31:51,12.92,3621468,2799,卖盘
39,09:31:54,12.93,994392,768,中性盘
40,09:31:57,12.94,964201,746,中性盘
41,09:32:00,12.97,2235723,1722,买盘
42,09:32:03,13.03,906229,696,买盘
43,09:32:06,13.04,196761,151,买盘
44,09:32:09,13.05,407041,312,买盘
45,09:32:12,13.06,714414,547,买盘
46,09:32:15,13.09,842204,644,买盘
47,09:32:18,13.13,7303339,5572,买盘
48,09:32:21,13.15,1022238,778,买盘
49,09:32:24,13.17,923013,701,买盘
50,09:32:27,13.18,834008,633,买盘
51,09:32:30,13.17,3660329,2778,卖盘
52,09:32:33,13.15,3643820,2767,卖盘
53,09:32:36,13.14,2129368,1620,卖盘
54,09:32:39,13.13,1154370,881,买盘
55,09:32:42,13.09,696760,532,中性盘
56,09:32:45,13.12,1054595,805,买盘
57,09:32:48,13.1,1881764,1438,中性盘
58,09:32:51,13.1,2576725,1965,买盘
59,09:32:54,13.11,1035733,790,买盘
60,09:32:57,13.11,782585,597,卖盘
61,09:33:00,13.12,2126911,1622,买盘
62,09:33:03,13.12,3584429,2736,买盘
63,09:33:06,13.12,1375157,1048,买盘
64,09:33:09,13.12,1852084,1412,卖盘
65,09:33:12,13.11,1125636,859,中性盘
66,09:33:15,13.07,1475074,1127,卖盘
67,09:33:18,13.11,879712,672,买盘
68,09:33:21,13.08,638241,488,卖盘
69,09:33:24,13.11,823963,629,买盘
70,09:33:27,13.08,953522,728,卖盘
71,09:33:30,13.09,557955,426,中性盘
72,09:33:33,13.09,591751,452,卖盘
73,09:33:36,13.09,1276647,975,买盘
74,09:33:39,13.08,3001315,2294,卖盘
75,09:33:42,13.08,942432,720,买盘
76,09:33:45,13.08,997437,762,卖盘
77,09:33:48,13.1,3176870,2423,买盘
78,09:33:51,13.13,903382,689,买盘
79,09:33:54,13.13,1359970,1037,买盘
80,09:33:57,13.18,3378233,2567,买盘
81,09:34:00,13.16,1911458,1452,卖盘
82,09:34:03,13.18,809194,614,买盘
83,09:34:06,13.16,1870515,1419,卖盘
84,09:34:09,13.18,3376567,2561,中性盘
85,09:34:12,13.19,1377577,1045,买盘
86,09:34:15,13.18,1950594,1480,卖盘
87,09:34:18,13.18,1111708,843,买盘
88,09:34:21,13.17,2368613,1797,卖盘
89,09:34:24,13.15,3708943,2819,卖盘
90,09:34:27,13.15,480988,366,买盘
91,09:34:30,13.11,674261,514,卖盘
92,09:34:33,13.12,536195,409,买盘
93,09:34:36,13.12,470804,359,买盘
94,09:34:39,13.11,1261929,963,卖盘
95,09:34:42,13.11,721289,550,买盘
96,09:34:45,13.11,980854,748,卖盘
97,09:34:48,13.1,1344544,1026,卖盘
98,09:34:51,13.1,639880,488,卖盘
99,09:34:54,13.11,792932,605,买盘
100,09:34:57,13.1,879516,671,卖盘
101,09:35:00,13.11,848386,647,卖盘
102,09:35:03,13.16,1499294,1141,买盘
103,09:35:06,13.14,617967,470,卖盘
104,09:35:09,13.17,523512,398,买盘
105,09:35:12,13.17,862824,655,买盘
106,09:35:15,13.17,665408,505,卖盘
107,09:35:18,13.17,1053244,799,卖盘
108,09:35:21,13.22,6079003,4605,买盘
109,09:35:24,13.24,846731,640,买盘
110,09:35:27,13.27,2562951,1934,买盘
111,09:35:30,13.28,1510604,1138,买盘
112,09:35:33,13.29,3549377,2674,买盘
113,09:35:36,13.29,4008558,3018,买盘
114,09:35:39,13.3,3363182,2529,买盘
115,09:35:42,13.3,3030865,2279,中性盘
116,09:35:45,13.3,3702401,2782,买盘
117,09:35:48,13.35,4082467,3068,买盘
118,09:35:51,13.3,2807245,2111,卖盘
119,09:35:54,13.3,2879364,2163,买盘
120,09:35:57,13.29,3050034,2290,卖盘
121,09:36:00,13.31,3744154,2816,买盘
122,09:36:03,13.33,3074309,2310,买盘
123,09:36:06,13.29,2646972,1988,卖盘
124,09:36:09,13.29,2511643,1889,卖盘
125,09:36:12,13.27,2905491,2186,卖盘
126,09:36:15,13.26,2832728,2134,卖盘
127,09:36:18,13.28,2734417,2062,买盘
128,09:36:21,13.28,1839507,1385,卖盘
129,09:36:24,13.3,2693392,2027,买盘
130,09:36:27,13.31,1602223,1204,买盘
131,09:36:30,13.32,1288517,968,买盘
132,09:36:33,13.33,1336100,1002,买盘
133,09:36:36,13.37,3318995,2486,买盘
134,09:36:39,13.38,1636917,1224,买盘
135,09:36:42,13.38,3156149,2358,卖盘
136,09:36:45,13.39,3310575,2473,买盘
137,09:36:48,13.39,3104935,2321,买盘
138,09:36:51,13.39,5939254,4436,买盘
139,09:36:54,13.4,1943677,1452,买盘
140,09:36:57,13.38,3976930,2971,卖盘
141,09:37:00,13.36,3228863,2415,卖盘
142,09:37:03,13.36,4158126,3116,买盘
143,09:37:06,13.33,2828639,2119,卖盘
144,09:37:09,13.34,1507658,1131,买盘
145,09:37:12,13.33,2560331,1922,买盘
146,09:37:15,13.31,1963964,1475,买盘
147,09:37:18,13.3,837727,629,卖盘
148,09:37:21,13.3,1042575,783,卖盘
149,09:37:24,13.3,1831950,1377,卖盘
150,09:37:27,13.3,1506775,1133,买盘
151,09:37:30,13.33,1073323,806,买盘
152,09:37:33,13.33,1506496,1130,卖盘
153,09:37:36,13.34,1334290,1000,买盘
154,09:37:39,13.35,513356,385,买盘
155,09:37:42,13.34,1624128,1217,卖盘
156,09:37:45,13.34,1401158,1051,卖盘
157,09:37:48,13.32,1037926,779,中性盘
158,09:37:51,13.31,711036,534,卖盘
159,09:37:54,13.31,1338463,1005,卖盘
160,09:37:57,13.31,3252235,2445,买盘
161,09:38:00,13.3,1518713,1142,中性盘
162,09:38:03,13.3,1500191,1128,买盘
163,09:38:06,13.31,864035,650,中性盘
164,09:38:09,13.32,1305326,981,买盘
165,09:38:12,13.31,788305,592,卖盘
166,09:38:15,13.31,696393,523,卖盘
167,09:38:18,13.31,1025082,770,买盘
168,09:38:21,13.28,4351767,3276,卖盘
169,09:38:24,13.25,1221995,922,卖盘
170,09:38:27,13.23,602601,455,卖盘
171,09:38:30,13.25,1384893,1045,买盘
172,09:38:33,13.24,417413,315,卖盘
173,09:38:36,13.24,2191735,1651,卖盘
174,09:38:39,13.28,1690759,1273,买盘
175,09:38:42,13.29,1023324,771,买盘
176,09:38:45,13.29,762443,574,买盘
177,09:38:48,13.27,800704,603,卖盘
178,09:38:51,13.28,1019358,768,买盘
179,09:38:54,13.28,1150438,866,买盘
180,09:38:57,13.28,1046875,789,买盘
181,09:39:00,13.28,888061,669,买盘
182,09:39:03,13.27,2421082,1825,卖盘
183,09:39:06,13.25,785561,592,卖盘
184,09:39:09,13.25,608360,459,卖盘
185,09:39:12,13.25,1892026,1427,卖盘
186,09:39:15,13.25,1600618,1208,中性盘
187,09:39:18,13.24,1914980,1446,卖盘
188,09:39:21,13.24,1049363,793,买盘
189,09:39:24,13.22,484115,366,卖盘
190,09:39:27,13.22,1070606,810,买盘
191,09:39:30,13.21,492754,373,中性盘
192,09:39:33,13.2,835799,633,卖盘
193,09:39:36,13.2,1130557,856,卖盘
194,09:39:39,13.19,1300254,985,卖盘
195,09:39:42,13.2,1267496,960,买盘
196,09:39:45,13.19,1111277,842,卖盘
197,09:39:48,13.19,1556179,1179,买盘
198,09:39:51,13.2,1021073,774,中性盘
199,09:39:54,13.2,356516,270,卖盘
200,09:39:57,13.23,388432,294,买盘
201,09:40:00,13.23,429613,325,买盘
202,09:40:03,13.22,958130,725,卖盘
203,09:40:06,13.22,590825,447,买盘
204,09:40:09,13.23,1144477,866,买盘
205,09:40:12,13.21,883815,669,卖盘
206,09:40:15,13.22,2953440,2235,买盘
207,09:40:18,13.21,405614,307,卖盘
208,09:40:21,13.21,761076,576,买盘
209,09:40:24,13.22,1057325,800,买盘
210,09:40:27,13.22,1282601,970,买盘
211,09:40:30,13.24,234032,177,买盘
212,09:40:33,13.23,1161341,878,买盘
213,09:40:36,13.24,491391,371,买盘
214,09:40:39,13.26,405482,306,买盘
215,09:40:42,13.27,458788,346,买盘
216,09:40:45,13.26,1150149,868,卖盘
217,09:40:48,13.26,1092464,824,买盘
218,09:40:51,13.26,804799,607,卖盘
219,09:40:54,13.24,1801165,1359,卖盘
220,09:40:57,13.26,1150877,868,买盘
221,09:41:00,13.26,1244809,939,买盘
222,09:41:03,13.26,754380,569,买盘
223,09:41:06,13.26,1266375,956,买盘
224,09:41:09,13.25,684966,517,卖盘
225,09:41:12,13.25,644026,486,买盘
226,09:41:15,13.24,425157,321,卖盘
227,09:41:18,13.23,703497,531,卖盘
228,09:41:21,13.23,447326,338,卖盘
229,09:41:24,13.23,780829,590,卖盘
230,09:41:27,13.24,1087722,822,买盘
231,09:41:30,13.23,958440,724,卖盘
232,09:41:33,13.23,951783,719,买盘
233,09:41:36,13.23,827135,625,卖盘
234,09:41:39,13.23,226349,171,卖盘
235,09:41:42,13.24,696537,526,买盘
236,09:41:45,13.25,217241,164,买盘
237,09:41:48,13.24,654366,494,卖盘
238,09:41:51,13.25,282780,214,买盘
239,09:41:54,13.25,262299,198,买盘
240,09:41:57,13.25,1827323,1380,买盘
241,09:42:00,13.26,849143,641,买盘
242,09:42:03,13.26,114036,86,卖盘
243,09:42:06,13.27,346234,261,买盘
244,09:42:09,13.27,685967,517,买盘
245,09:42:12,13.27,192438,145,买盘
246,09:42:15,13.27,584009,440,卖盘
247,09:42:18,13.28,766215,577,买盘
248,09:42:21,13.28,659894,497,买盘
249,09:42:24,13.28,471535,355,卖盘
250,09:42:27,13.29,778687,586,买盘
251,09:42:30,13.3,1618963,1218,买盘
252,09:42:33,13.3,905551,681,买盘
253,09:42:36,13.3,760474,572,买盘
254,09:42:39,13.3,1630360,1226,买盘
255,09:42:42,13.31,203584,153,买盘
256,09:42:45,13.31,588221,442,买盘
257,09:42:48,13.32,347454,261,买盘
258,09:42:51,13.32,837888,629,买盘
259,09:42:54,13.32,1871749,1406,卖盘
260,09:42:57,13.32,1511989,1135,买盘
261,09:43:00,13.32,853588,641,买盘
262,09:43:03,13.32,2331332,1752,买盘
263,09:43:06,13.29,1439896,1082,卖盘
264,09:43:09,13.29,857203,645,卖盘
265,09:43:12,13.29,862341,648,卖盘
266,09:43:15,13.29,638515,480,卖盘
267,09:43:18,13.31,1612164,1212,买盘
268,09:43:21,13.28,848087,638,卖盘
269,09:43:24,13.31,1409270,1060,买盘
270,09:43:27,13.31,977056,734,卖盘
271,09:43:30,13.31,520273,391,卖盘
272,09:43:33,13.31,207595,156,买盘
273,09:43:36,13.3,242170,182,买盘
274,09:43:39,13.31,774121,582,买盘
275,09:43:42,13.31,1036538,779,买盘
276,09:43:45,13.29,520006,391,卖盘
277,09:43:48,13.29,627709,472,卖盘
278,09:43:51,13.28,861277,648,卖盘
279,09:43:54,13.29,436103,328,买盘
280,09:43:57,13.29,2146032,1616,买盘
281,09:44:00,13.28,590864,445,买盘
