,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-16,000538,49.29,49.31,49.59,48.86,53055,274291092.53,1.48,0.04,0.02,0.3
1,2024-07-17,000538,49.17,49.57,49.69,48.35,97588,502436499.49,2.72,0.53,0.26,0.55
2,2024-07-18,000538,49.41,50.01,50.1,49.18,85099,444043109.59,1.86,0.89,0.44,0.48
3,2024-07-19,000538,50.08,50.98,51.07,49.8,97105,514850492.97,2.54,1.94,0.97,0.55
4,2024-07-22,000538,51.02,51.01,51.4,50.65,78442,419121393.59,1.47,0.06,0.03,0.44
5,2024-07-23,000538,50.93,49.4,51.07,49.37,84643,444106690.85,3.33,-3.16,-1.61,0.48
6,2024-07-24,000538,49.39,49.46,50.04,49.13,56937,295914124.14,1.84,0.12,0.06,0.32
7,2024-07-25,000538,49.25,48.98,49.52,48.68,55509,285887318.37,1.7,-0.97,-0.48,0.31
8,2024-07-26,000538,48.96,49.4,49.48,48.7,53905,278055875.27,1.59,0.86,0.42,0.3
9,2024-07-29,000538,49.43,48.34,49.82,48.3,71145,365091999.17,3.08,-2.15,-1.06,0.4
10,2024-07-30,000538,48.18,47.02,48.35,46.6,102389,507786285.88,3.62,-2.73,-1.32,0.58
11,2024-07-31,000538,46.99,48.11,48.33,46.8,96755,485792875.85,3.25,2.32,1.09,0.55
12,2024-08-01,000538,48.12,48.13,48.92,47.77,69628,352973258.4,2.39,0.04,0.02,0.39
13,2024-08-02,000538,47.88,48.13,48.74,47.77,55877,283192905.1,2.02,0.0,0.0,0.32
14,2024-08-05,000538,48.08,48.13,49.08,47.98,70262,357372900.88,2.29,0.0,0.0,0.4
15,2024-08-06,000538,48.27,48.6,48.65,47.87,59832,303513733.4,1.62,0.98,0.47,0.34
16,2024-08-07,000538,48.48,48.74,49.1,48.15,55371,283177609.22,1.95,0.29,0.14,0.31
17,2024-08-08,000538,49.51,50.61,51.01,49.51,171230,903649724.03,3.08,3.84,1.87,0.97
18,2024-08-09,000538,50.6,50.62,50.96,50.11,91522,485093340.73,1.68,0.02,0.01,0.52
19,2024-08-12,000538,50.6,51.45,51.98,50.46,131129,706214732.27,3.0,1.64,0.83,0.74
20,2024-08-13,000538,51.44,51.58,51.65,51.18,70828,381278397.44,0.91,0.25,0.13,0.4
21,2024-08-14,000538,51.48,51.13,51.63,51.1,62562,336289081.96,1.03,-0.87,-0.45,0.35
22,2024-08-15,000538,51.01,51.08,51.5,50.81,65558,351040120.59,1.35,-0.1,-0.05,0.37
23,2024-08-16,000538,51.08,50.98,51.3,50.75,52987,282842492.69,1.08,-0.2,-0.1,0.3
24,2024-08-19,000538,50.96,51.29,51.73,50.85,63538,340753194.89,1.73,0.61,0.31,0.36
25,2024-08-20,000538,51.17,51.09,51.69,50.72,54345,290843857.08,1.89,-0.39,-0.2,0.31
26,2024-08-21,000538,50.93,50.8,51.25,50.6,45199,240914835.32,1.27,-0.57,-0.29,0.26
27,2024-08-22,000538,50.63,50.85,50.95,50.31,47619,252838910.51,1.26,0.1,0.05,0.27
28,2024-08-23,000538,50.85,51.5,51.56,50.67,73609,394909167.23,1.75,1.28,0.65,0.42
29,2024-08-26,000538,51.62,51.48,51.73,50.55,68332,366665782.6,2.29,-0.04,-0.02,0.39
30,2024-08-27,000538,51.18,50.84,51.72,50.46,68969,367428791.64,2.45,-1.24,-0.64,0.39
31,2024-08-28,000538,50.8,51.62,51.71,50.56,85867,462075734.49,2.26,1.53,0.78,0.49
32,2024-08-29,000538,51.45,52.02,52.29,51.43,87930,478387998.76,1.67,0.77,0.4,0.5
33,2024-08-30,000538,51.9,51.66,52.3,51.48,114291,621710723.9,1.58,-0.69,-0.36,0.65
34,2024-09-02,000538,51.65,52.0,52.39,51.3,98227,533879055.4,2.11,0.66,0.34,0.56
35,2024-09-03,000538,51.86,53.23,53.47,51.74,122807,681929724.1,3.33,2.37,1.23,0.69
36,2024-09-04,000538,53.16,51.25,53.28,50.98,152852,831473750.08,4.32,-3.72,-1.98,0.86
37,2024-09-05,000538,50.9,51.47,51.65,50.13,85808,459720727.85,2.97,0.43,0.22,0.48
38,2024-09-06,000538,51.46,50.8,51.57,50.55,76743,408395080.4,1.98,-1.3,-0.67,0.43
39,2024-09-09,000538,50.61,50.6,51.08,50.48,69155,367965330.69,1.18,-0.39,-0.2,0.39
40,2024-09-10,000538,50.7,50.24,50.85,49.69,96412,507589845.65,2.29,-0.71,-0.36,0.54
41,2024-09-11,000538,50.02,49.97,50.51,49.77,69718,365732557.08,1.47,-0.54,-0.27,0.39
42,2024-09-12,000538,50.01,48.31,50.05,48.11,127611,650559033.11,3.88,-3.32,-1.66,0.72
43,2024-09-13,000538,48.28,48.21,48.68,47.95,71168,361047887.05,1.51,-0.21,-0.1,0.4
44,2024-09-18,000538,48.11,48.06,48.6,47.72,61932,312447383.04,1.83,-0.31,-0.15,0.35
45,2024-09-19,000538,48.1,48.21,48.52,47.69,85690,433126240.94,1.73,0.31,0.15,0.48
46,2024-09-20,000538,48.22,47.81,48.3,47.4,105397,527949802.63,1.87,-0.83,-0.4,0.6
47,2024-09-23,000538,47.78,47.82,48.35,47.7,65149,327961215.52,1.36,0.02,0.01,0.37
48,2024-09-24,000538,47.91,49.26,49.29,47.55,143581,731259838.13,3.64,3.01,1.44,0.81
49,2024-09-25,000538,49.4,50.3,51.09,49.4,150404,796484592.18,3.43,2.11,1.04,0.85
50,2024-09-26,000538,50.05,51.91,51.96,49.98,162046,865318837.71,3.94,3.2,1.61,0.92
51,2024-09-27,000538,53.1,54.07,54.79,52.22,274261,1526966789.36,4.95,4.16,2.16,1.55
52,2024-09-30,000538,55.37,58.6,59.28,55.36,374609,2237043712.87,7.25,8.38,4.53,2.12
53,2024-10-08,000538,64.7,60.28,64.7,58.1,489211,3115116525.65,11.26,2.87,1.68,2.76
54,2024-10-09,000538,59.6,55.65,59.6,55.6,305779,1826259099.41,6.64,-7.68,-4.63,1.73
55,2024-10-10,000538,55.71,56.53,58.35,55.71,214424,1273815256.0,4.74,1.58,0.88,1.21
56,2024-10-11,000538,56.54,55.01,57.56,54.61,176716,1028522497.96,5.22,-2.69,-1.52,1.0
57,2024-10-14,000538,55.15,55.38,55.71,54.55,148327,853568926.56,2.11,0.67,0.37,0.84
58,2024-10-15,000538,55.3,54.1,55.56,54.1,133871,766077918.22,2.64,-2.31,-1.28,0.76
59,2024-10-16,000538,53.6,53.98,54.39,53.4,101970,574466050.09,1.83,-0.22,-0.12,0.58
60,2024-10-17,000538,54.06,52.9,54.5,52.85,115275,645772753.61,3.06,-2.0,-1.08,0.65
61,2024-10-18,000538,52.91,54.19,55.09,52.6,183540,1032753365.36,4.71,2.44,1.29,1.04
62,2024-10-21,000538,54.3,54.9,55.57,53.86,165628,944816455.69,3.16,1.31,0.71,0.94
63,2024-10-22,000538,54.89,55.31,55.78,54.61,128455,740572838.38,2.13,0.75,0.41,0.73
64,2024-10-23,000538,55.32,55.64,55.95,54.95,138137,799468164.49,1.81,0.6,0.33,0.78
65,2024-10-24,000538,55.53,54.74,55.9,54.52,121660,699455554.41,2.48,-1.62,-0.9,0.69
66,2024-10-25,000538,54.7,55.0,55.44,54.41,110307,631526804.4,1.88,0.47,0.26,0.62
67,2024-10-28,000538,54.88,55.86,55.9,54.75,127146,735957379.48,2.09,1.56,0.86,0.72
68,2024-10-29,000538,55.99,55.35,56.45,54.86,131086,758494012.68,2.85,-0.91,-0.51,0.74
69,2024-10-30,000538,55.46,55.51,55.99,54.97,126271,731698938.42,1.84,0.29,0.16,0.71
70,2024-10-31,000538,55.51,54.66,55.51,54.33,146579,837821965.06,2.13,-1.53,-0.85,0.83
71,2024-11-01,000538,54.6,55.02,55.66,54.34,127102,731606307.22,2.41,0.66,0.36,0.72
72,2024-11-04,000538,55.57,55.47,55.77,54.77,93141,536681558.23,1.82,0.82,0.45,0.53
73,2024-11-05,000538,55.35,56.28,56.28,55.11,155384,905326780.6,2.11,1.46,0.81,0.88
74,2024-11-06,000538,56.3,56.25,56.76,55.79,140703,825951092.72,1.72,-0.05,-0.03,0.8
75,2024-11-07,000538,56.24,58.6,58.6,55.97,211671,1277541515.97,4.68,4.18,2.35,1.2
76,2024-11-08,000538,59.67,58.21,59.67,57.77,173639,1055857035.01,3.24,-0.67,-0.39,0.98
