日期,开盘,收盘,最高,最低,成交量,成交额
2020-08-31,2316.02,2295.49,2329.12,2294.53,451925309,597534961664.0
2020-09-01,2290.88,2310.85,2310.85,2279.72,399237742,524538667008.0
2020-09-02,2315.84,2321.4,2331.0,2295.25,517293507,623392804864.0
2020-09-03,2317.98,2301.81,2327.14,2293.11,482940140,591494012928.0
2020-09-04,2257.18,2290.49,2294.08,2254.14,437114877,530504765440.0
2020-09-07,2288.69,2239.68,2303.87,2229.72,541636078,663791484928.0
2020-09-08,2242.5,2248.2,2252.74,2215.05,534063542,604152819712.0
2020-09-09,2218.39,2175.77,2220.68,2169.02,637182218,695257198592.0
2020-09-10,2193.31,2129.25,2198.23,2124.01,529890220,563505065984.0
2020-09-11,2119.79,2164.22,2166.24,2119.79,383940431,429697974272.0
2020-09-14,2177.39,2189.1,2199.34,2169.9,418897620,500232826880.0
2020-09-15,2191.36,2205.36,2206.1,2181.67,390166190,473732812800.0
2020-09-16,2201.91,2185.22,2202.9,2173.36,353245371,441995001856.0
2020-09-17,2179.16,2186.99,2203.44,2164.31,353953413,474313752576.0
2020-09-18,2187.24,2219.91,2221.35,2180.66,392372452,498662473728.0
2020-09-21,2224.88,2208.3,2227.27,2204.7,366642924,467385978880.0
2020-09-22,2190.44,2184.15,2214.78,2177.13,350538222,433184428032.0
2020-09-23,2188.35,2202.18,2207.88,2180.0,318235561,420011110400.0
2020-09-24,2186.63,2148.08,2189.96,2148.08,344066225,421049290752.0
2020-09-25,2157.76,2143.05,2162.66,2134.72,272817050,348702806016.0
2020-09-28,2149.71,2126.88,2152.37,2125.73,251466291,330571501568.0
2020-09-29,2139.04,2148.45,2159.29,2130.45,252446036,337689972736.0
2020-09-30,2155.43,2149.54,2168.98,2137.42,251670817,334222913536.0
2020-10-09,2189.15,2215.96,2219.6,2187.25,317690304,447093850112.0
2020-10-12,2233.15,2289.36,2289.36,2233.15,434000412,615691919360.0
2020-10-13,2285.17,2304.19,2307.66,2275.09,381159337,546433470464.0
2020-10-14,2301.24,2290.4,2302.8,2284.83,383224865,546479960064.0
2020-10-15,2290.62,2274.39,2293.66,2273.74,355639109,500158365696.0
2020-10-16,2271.78,2265.43,2281.12,2247.74,324165932,455149174784.0
2020-10-19,2280.57,2249.53,2283.77,2244.3,329474819,455213801472.0
2020-10-20,2247.16,2279.38,2279.38,2239.03,316415076,439564288000.0
2020-10-21,2280.82,2254.23,2280.82,2244.43,317733960,459418255360.0
2020-10-22,2245.05,2243.24,2250.74,2221.75,301609582,427265150976.0
2020-10-23,2244.26,2200.56,2258.01,2196.8,302441216,437815005184.0
2020-10-26,2190.32,2212.07,2219.85,2168.07,275996974,398146023424.0
2020-10-27,2205.82,2223.92,2226.65,2203.59,287862556,413768089600.0
2020-10-28,2223.27,2239.11,2246.29,2206.14,323764777,476942311424.0
2020-10-29,2209.07,2249.57,2259.84,2205.53,333886231,501664579584.0
2020-10-30,2251.76,2198.07,2253.61,2193.83,375533727,541925081088.0
2020-11-02,2202.14,2223.39,2228.56,2197.01,339213437,487108358144.0
2020-11-03,2231.76,2255.08,2255.95,2223.24,340463045,481006436352.0
2020-11-04,2256.31,2262.14,2265.57,2241.95,313047921,459035901952.0
2020-11-05,2282.46,2299.87,2300.25,2273.16,365666337,543460270080.0
2020-11-06,2305.11,2282.09,2305.11,2262.92,366011525,552968421376.0
2020-11-09,2294.59,2333.46,2340.89,2294.59,436939492,653600485376.0
2020-11-10,2331.76,2308.85,2331.76,2296.84,394359788,591195897856.0
2020-11-11,2298.65,2263.96,2306.4,2263.16,350606538,513813237760.0
2020-11-12,2272.84,2273.74,2281.39,2261.91,302522399,421166034944.0
2020-11-13,2268.18,2268.67,2275.95,2249.39,296359045,425634557952.0
2020-11-16,2277.53,2289.82,2289.82,2258.94,336170767,467276091392.0
2020-11-17,2288.61,2269.33,2288.61,2252.83,361143823,499915288576.0
2020-11-18,2265.42,2261.59,2279.22,2252.1,347491904,463012962304.0
2020-11-19,2257.54,2275.85,2280.36,2246.06,346924664,454766948352.0
2020-11-20,2276.38,2289.51,2291.82,2273.64,329381875,438277464064.0
2020-11-23,2292.35,2301.96,2311.98,2280.05,401038362,522455261184.0
2020-11-24,2300.71,2294.15,2303.28,2286.7,355272727,470795325440.0
