序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
328,H11081,HGSZ AA+,225.04,0.0,0.01,15840,158713736.0,0.0,225.05,225.04,225.05,225.03,5.36,H11081,HGSZ AA+,中证系列指数
329,H11083,HGSZ 1-3,203.53,0.0,0.01,1235,12355398.0,0.0,203.53,203.53,203.53,203.52,0.04,H11083,HGSZ 1-3,中证系列指数
330,H11084,HGSZ 3-5,223.45,0.0,0.01,17035,170766090.0,0.0,223.46,223.45,223.46,223.44,0.86,H11084,HGSZ 3-5,中证系列指数
331,H11086,HGSZ7-10,221.07,0.0,0.01,0,,0.0,221.07,221.07,221.07,221.06,,H11086,HGSZ7-10,中证系列指数
332,H50030,沪公用红,4745.42,0.0,-0.16,4861031,5711033957.0,0.94,4778.43,4733.88,4746.19,4745.58,0.9,H50030,沪公用红,中证系列指数
333,H30263,腾讯济安,3449.12,-0.01,-0.48,62642858,143335124039.0,1.02,3474.96,3439.81,3457.09,3449.6,1.24,H30263,腾讯济安,中证系列指数
334,932023,中证红利(净)SGD,5565.43,-0.01,-0.54,93920439,16600123836.1,1.06,5617.6,5558.56,5562.33,5565.97,1.43,932023,中证红利(净)SGD,中证系列指数
335,CESP50,中华港股通优选50,3094.5,-0.02,-0.65,25366444,95531898767.9,0.87,3121.51,3094.5,3103.33,3095.15,0.94,CESP50,中华港股通优选50,中证系列指数
336,930927,CR基石,11488.57,-0.02,-2.32,250377539,317964914539.0,1.3,11628.44,11479.35,11497.42,11490.89,1.21,930927,CR基石,中证系列指数
337,931380,科技50,3020.42,-0.03,-0.81,37791572,204693574131.0,2.36,3032.98,2961.75,2984.61,3021.23,0.96,931380,科技50,中证系列指数
338,H00012,国债指数(净),109.46,-0.03,-0.03,1861814,18775854309.0,0.05,109.5,109.45,109.49,109.49,0.82,H00012,国债指数(净),中证系列指数
339,H30039,AMAC公共,1599.23,-0.03,-0.43,12366567,14619017893.0,0.76,1608.6,1596.39,1599.79,1599.66,0.82,H30039,AMAC公共,中证系列指数
340,H50010,180公用,2184.58,-0.03,-0.55,15708010,13252426663.0,1.24,2211.11,2184.03,2187.1,2185.13,1.62,H50010,180公用,中证系列指数
341,H30066,AMAC电子,7569.36,-0.03,-1.99,211451357,677520665557.0,2.16,7592.2,7429.03,7544.9,7571.35,0.88,H30066,AMAC电子,中证系列指数
342,000859,国企一带一路,1705.53,-0.03,-0.46,118088384,141153491091.0,1.13,1721.21,1701.91,1709.04,1705.99,1.09,000859,国企一带一路,中证系列指数
343,931696,科技50策略,20281.91,-0.04,-8.57,41177278,308784740206.0,2.45,20355.05,19858.51,20092.4,20290.48,0.92,931696,科技50策略,中证系列指数
344,931591,1000成长创新,31839.44,-0.05,-15.93,32089999,82886451775.0,1.45,31937.51,31474.75,31862.83,31855.37,0.87,931591,1000成长创新,中证系列指数
345,932021,中证红利SGD,5353.94,-0.06,-2.97,93920439,16600123836.1,1.06,5404.14,5347.34,5350.97,5356.91,1.43,932021,中证红利SGD,中证系列指数
346,930625,SHS互联网,3330.35,-0.06,-1.84,56861517,169591241920.2,1.54,3358.0,3306.79,3341.0,3332.19,1.01,930625,SHS互联网,中证系列指数
347,H30056,AMAC橡胶,4646.91,-0.07,-3.25,20279937,30362166636.0,1.73,4693.27,4612.99,4659.68,4650.16,0.92,H30056,AMAC橡胶,中证系列指数
348,932075,全指金融,9600.52,-0.07,-7.11,92987313,132752820110.0,1.93,9777.02,9591.99,9624.24,9607.63,1.25,932075,全指金融,中证系列指数
349,930723,沪港深F100,4999.63,-0.07,-3.45,151132257,257013796723.0,1.26,5062.81,4999.58,5006.33,5003.08,1.18,930723,沪港深F100,中证系列指数
350,931798,光伏龙头30,1652.4,-0.08,-1.3,16117653,36308405716.0,1.99,1669.59,1636.7,1655.09,1653.7,0.97,931798,光伏龙头30,中证系列指数
351,931186,中证科技,6732.49,-0.1,-6.83,54828741,223745892988.0,2.63,6784.64,6607.7,6707.6,6739.32,0.92,931186,中证科技,中证系列指数
352,SHHKSI,沪港精明,11535.9,-0.1,-11.17,0,48230800000.0,2.13,11778.31,11532.28,11589.14,11547.07,,SHHKSI,沪港精明,中证系列指数
353,932308,红利200,2319.83,-0.1,-2.33,131344134,142768490540.0,1.16,2345.35,2318.35,2321.81,2322.16,1.31,932308,红利200,中证系列指数
354,H50016,沪东北,3519.27,-0.11,-3.81,45267730,54981975436.0,2.41,3596.38,3511.47,3541.0,3523.08,0.99,H50016,沪东北,中证系列指数
355,H30086,800金融,7221.44,-0.12,-8.92,135401330,167870459864.0,1.87,7349.86,7214.98,7243.84,7230.36,1.09,H30086,800金融,中证系列指数
356,931024,港股通非银,4332.01,-0.12,-5.12,27042644,33254072866.7,2.77,4451.98,4332.01,4367.8,4337.13,1.44,931024,港股通非银,中证系列指数
357,930937,稳健成长,28615.95,-0.12,-35.75,183657436,278745330962.0,0.93,28792.94,28526.47,28677.9,28651.7,1.12,930937,稳健成长,中证系列指数
358,H11110,香港F50,2173.26,-0.13,-2.89,29169563,85391606492.9,1.18,2198.95,2173.26,2184.2,2176.15,0.91,H11110,香港F50,中证系列指数
359,H11046,AMAC金融,4534.44,-0.13,-5.81,151230348,198159324267.0,1.87,4615.05,4530.35,4548.22,4540.25,1.07,H11046,AMAC金融,中证系列指数
360,931087,科技龙头,4969.64,-0.13,-6.6,42191697,250007544143.0,2.67,4990.59,4857.51,4927.35,4976.24,0.87,931087,科技龙头,中证系列指数
361,932083,全指金融行业,9380.87,-0.13,-12.59,134597784,167644867201.0,1.87,9547.83,9372.6,9410.78,9393.46,1.07,932083,全指金融行业,中证系列指数
362,932153,港股通价值策略,993.72,-0.14,-1.37,178967657,160476485501.9,1.06,1004.25,993.72,997.7,995.09,1.17,932153,港股通价值策略,中证系列指数
363,932258,亚洲新兴市场科技USD,4316.42,-0.15,-6.3,42191697,35049432639.8,1.3,4332.13,4276.05,4306.22,4322.72,0.87,932258,亚洲新兴市场科技USD,中证系列指数
364,H11041,AMAC公用,2457.41,-0.15,-3.78,58509824,38554067417.0,1.15,2481.44,2453.13,2462.3,2461.19,0.93,H11041,AMAC公用,中证系列指数
365,931588,1000价值稳健,35218.54,-0.16,-54.71,41539932,43746574924.0,0.99,35479.57,35130.17,35279.52,35273.25,0.84,931588,1000价值稳健,中证系列指数
366,H30044,AMAC纺织,1587.66,-0.18,-2.8,5686589,5903554868.0,1.08,1598.95,1581.84,1591.43,1590.46,0.82,H30044,AMAC纺织,中证系列指数
367,931393,湖北指数,2740.04,-0.18,-4.96,38501910,65554292403.0,1.21,2754.97,2721.66,2750.07,2745.0,0.78,931393,湖北指数,中证系列指数
368,932039,央企股东回报,1577.53,-0.19,-3.01,53365317,54747283639.0,1.47,1594.44,1571.22,1586.4,1580.54,1.15,932039,央企股东回报,中证系列指数
369,930955,红利低波100,11928.23,-0.2,-23.43,99404125,100848097725.0,1.16,12057.32,11918.13,11940.81,11951.66,1.41,930955,红利低波100,中证系列指数
370,H30365,文娱传媒,966.31,-0.2,-1.98,36337173,46302556932.0,1.22,974.57,962.75,968.31,968.29,0.7,H30365,文娱传媒,中证系列指数
371,H50024,沪可选红,10983.99,-0.2,-21.85,4714683,7658169952.0,0.92,11072.91,10971.73,11009.09,11005.84,0.94,H50024,沪可选红,中证系列指数
372,H50018,上证文化,1425.99,-0.21,-3.01,14276411,15514972421.0,1.28,1442.19,1423.96,1429.34,1429.0,0.69,H50018,上证文化,中证系列指数
373,931575,SHS物联网,5123.04,-0.22,-11.37,37319255,172090193836.2,2.0,5166.7,5063.81,5124.4,5134.41,0.83,931575,SHS物联网,中证系列指数
374,950106,上证创新,2263.14,-0.22,-5.07,27411088,55355377111.0,1.63,2277.87,2240.94,2269.68,2268.21,0.93,950106,上证创新,中证系列指数
375,931028,港股通非银CNY,5014.89,-0.23,-11.31,27042644,30425813967.8,2.84,5157.66,5014.78,5057.52,5026.2,1.44,931028,港股通非银CNY,中证系列指数
376,932052,央企科技创新,1553.83,-0.24,-3.77,35012762,71610970868.0,1.0,1560.3,1544.79,1557.17,1557.6,0.86,932052,央企科技创新,中证系列指数
377,H30537,淘金100,12146.45,-0.24,-28.94,60287180,109053830998.0,0.96,12186.34,12069.03,12170.74,12175.39,1.09,H30537,淘金100,中证系列指数
378,931228,亚洲新兴市场科技,4943.34,-0.26,-13.08,42191697,250007544143.0,1.26,4957.19,4894.72,4937.5,4956.42,0.87,931228,亚洲新兴市场科技,中证系列指数
379,H50007,180金融地产,5590.19,-0.27,-14.99,73163578,89162233845.0,2.11,5708.35,5590.19,5615.01,5605.18,1.3,H50007,180金融地产,中证系列指数
380,930608,中证基建,8368.62,-0.27,-22.49,38668585,26935625957.0,1.48,8490.99,8366.44,8415.98,8391.11,1.16,930608,中证基建,中证系列指数
381,932077,全指能源行业,2197.33,-0.28,-6.21,22103447,17846870231.0,1.51,2227.35,2194.04,2202.85,2203.54,0.95,932077,全指能源行业,中证系列指数
382,000861,央企创新,2540.18,-0.28,-7.12,101129295,142635228296.0,1.41,2569.03,2533.16,2551.77,2547.3,1.14,000861,央企创新,中证系列指数
383,H50052,上国改革,1971.79,-0.28,-5.6,67803040,134621367269.0,1.25,1994.24,1969.46,1979.24,1977.39,1.17,H50052,上国改革,中证系列指数
384,H50001,180能源,2065.02,-0.29,-6.1,7531816,9934151842.0,1.9,2102.27,2062.99,2072.97,2071.12,1.32,H50001,180能源,中证系列指数
385,931994,电网设备主题,2086.5,-0.29,-6.0,22903474,34913811407.0,0.97,2099.18,2078.95,2097.55,2092.5,0.83,931994,电网设备主题,中证系列指数
386,932047,中证REITs全收益,1073.33,-0.29,-3.08,783260,386309775.0,0.44,1076.26,1071.55,1076.08,1076.41,0.87,932047,中证REITs全收益,中证系列指数
387,H11153,内地国有,815.21,-0.3,-2.49,24426751,37683131793.2,1.52,827.65,815.21,820.2,817.7,1.03,H11153,内地国有,中证系列指数
388,931446,东证红利低波,3502.86,-0.31,-10.84,107201075,110779098271.0,1.5,3555.71,3502.86,3511.53,3513.7,1.47,931446,东证红利低波,中证系列指数
389,932335,香港红利净收益,9630.4,-0.32,-31.11,21942218,21640647231.6,1.79,9803.29,9630.4,9702.76,9661.51,1.02,932335,香港红利净收益,中证系列指数
390,932365,中证现金流,4881.04,-0.32,-15.47,45476522,85262353031.0,1.11,4921.55,4867.14,4869.91,4896.51,1.13,932365,中证现金流,中证系列指数
391,H11140,香港红利,3513.12,-0.32,-11.35,21942218,21640647231.6,1.79,3576.19,3513.12,3539.51,3524.47,1.02,H11140,香港红利,中证系列指数
392,931157,SHS红利成长LV,7363.42,-0.32,-23.7,76952896,93589024591.0,1.55,7477.85,7363.38,7391.61,7387.12,1.22,931157,SHS红利成长LV,中证系列指数
393,H30356,800价值,6515.87,-0.32,-21.05,273061559,294482003713.0,1.55,6613.08,6511.65,6537.72,6536.92,1.15,H30356,800价值,中证系列指数
394,930640,CSWD重组,1904.98,-0.33,-6.39,38733290,70852729355.0,1.45,1918.02,1890.3,1908.83,1911.37,0.83,930640,CSWD重组,中证系列指数
395,932086,全指公用行业,2567.59,-0.33,-8.48,55501501,37290312526.0,1.3,2597.1,2563.49,2578.22,2576.07,0.95,932086,全指公用行业,中证系列指数
396,931243,诚通央企ESG,1605.42,-0.34,-5.52,52175887,58297128688.0,1.6,1622.87,1597.08,1617.84,1610.94,1.16,931243,诚通央企ESG,中证系列指数
397,932222,中证2000净收益,3341.92,-0.34,-11.55,388697763,579526334850.0,1.25,3366.68,3324.68,3352.39,3353.47,0.82,932222,中证2000净收益,中证系列指数
398,931078,中证转债及可交换债,509.26,-0.35,-1.8,5220538,88037076077.0,1.25,515.33,508.95,511.36,511.06,0.9,931078,中证转债及可交换债,中证系列指数
399,932000,中证2000,3101.54,-0.35,-10.74,388697763,579526334850.0,1.25,3124.53,3085.55,3111.26,3112.28,0.82,932000,中证2000,中证系列指数
400,932056,海洋经济,3535.74,-0.35,-12.33,92838077,108072488958.5,0.89,3557.32,3525.75,3547.52,3548.07,0.98,932056,海洋经济,中证系列指数
