最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
7887.9,1.16,10102512.0,44936006531.0,7943.94,7788.9,7807.29,000075,医药等权,上证系列指数
3022.8,1.16,21845593.0,49700012912.0,3050.41,2996.19,2996.5,000035,上证可选,上证系列指数
5636.96,1.15,12864290.0,18168983181.0,5670.15,5567.14,5568.16,000949,中证农业,上证系列指数
6587.76,1.15,55600817.0,105514109533.0,6646.15,6521.18,6545.68,000856,500工业,上证系列指数
1071.89,1.15,6488429.0,22271335181.0,1076.23,1043.65,1062.37,000689,科创材料,上证系列指数
10467.97,1.1,114267561.0,484099845272.0,10528.88,10231.94,10289.98,000964,中证新兴,上证系列指数
11474.46,1.1,10585456.0,29522786880.0,11565.27,11349.24,11354.01,000857,500医药,上证系列指数
5203.06,1.03,176832569.0,593070246643.0,5223.15,5115.25,5127.68,000969,300非周,上证系列指数
2853.5,1.02,55203575.0,56800778173.6,2877.87,2834.66,2835.71,000867,港中小企,上证系列指数
9081.92,1.01,10537657.0,45683488746.0,9135.53,8980.77,9002.94,000121,医药主题,上证系列指数
3247.63,0.98,250738812.0,606756280337.0,3252.68,3205.75,3210.28,000059,全R成长,上证系列指数
3614.93,0.96,101595315.0,298729858418.0,3621.94,3565.19,3566.66,000064,非周期,上证系列指数
5399.8,0.94,37682827.0,64957648779.0,5421.44,5342.39,5360.52,000106,380工业,上证系列指数
1582.47,0.91,442285167.0,1087099184784.0,1588.87,1566.53,1567.66,000855,央视500,上证系列指数
1058.83,0.86,120506264.0,189908649139.0,1067.46,1052.86,1052.86,000021,180治理,上证系列指数
12157.55,0.85,228451220.0,452924580547.0,12200.08,12074.67,12074.67,000093,180分层,上证系列指数
5372.76,0.84,472222366.0,1092272391364.6,5399.82,5314.52,5324.09,000510,中证A500,上证系列指数
11355.21,0.83,40759514.0,88007683805.0,11515.0,11293.33,11316.18,000849,300非银,上证系列指数
1977.56,0.83,35917716.0,132634328881.0,1984.43,1943.61,1949.87,000049,上证民企,上证系列指数
3445.34,0.83,18247693.0,31157094426.0,3459.3,3405.57,3417.26,000078,电信等权,上证系列指数
10152.41,0.81,81703043.0,204205433573.0,10176.83,10033.3,10033.3,000148,消费领先,上证系列指数
11821.73,0.8,22421829.0,77073357827.0,11903.85,11718.51,11728.79,000978,医药100,上证系列指数
1687.77,0.79,56990056.0,139799158200.0,1692.5,1666.58,1677.16,000161,沪中国造,上证系列指数
7819.92,0.79,125508610.0,447346999212.0,7877.56,7760.28,7760.92,000959,银河99,上证系列指数
2956.91,0.76,77950849.0,412518333488.0,2978.86,2918.43,2929.74,000828,300高贝,上证系列指数
12818.5,0.75,3980117.0,7473930140.0,12928.65,12733.28,12733.28,000108,380消费,上证系列指数
4496.76,0.74,351938947.0,831194066157.9,4516.84,4452.36,4455.8,000300,沪深300,上证系列指数
1208.37,0.73,161839661.0,253469512261.0,1217.01,1202.68,1202.68,000019,治理指数,上证系列指数
3357.97,0.73,87709915.0,254493321354.0,3371.55,3326.05,3326.79,000980,中证超大,上证系列指数
4264.38,0.72,160602341.0,447728826794.4,4285.57,4210.97,4215.12,000903,中证A100,上证系列指数
3441.89,0.68,21845593.0,49700012912.0,3466.42,3404.32,3420.19,000073,可选等权,上证系列指数
5417.86,0.67,185245398.0,382077859468.0,5437.13,5368.03,5385.34,000904,中证200,上证系列指数
4923.87,0.67,632854761.0,1354235500142.8,4946.39,4880.97,4888.51,000906,中证800,上证系列指数
9857.33,0.67,228451220.0,452924580547.0,9883.32,9774.91,9774.91,000010,上证180,上证系列指数
1389.52,0.67,140474286.0,279605844435.0,1397.11,1381.69,1382.76,000846,ESG 100,上证系列指数
3596.24,0.63,135098241.0,249053134264.0,3606.52,3577.32,3579.54,000065,上证龙头,上证系列指数
3450.75,0.62,440982751.0,915074808767.2,3455.46,3416.54,3426.04,000004,工业指数,上证系列指数
1781.14,0.6,57699872.0,83212083644.0,1797.43,1775.21,1775.3,000970,ESG 40,上证系列指数
10562.14,0.6,41630968.0,214061378499.0,10576.56,10353.75,10431.4,000097,高端装备,上证系列指数
11808.62,0.6,123918285.0,154978893330.0,11905.75,11767.58,11767.58,000125,180稳定,上证系列指数
11258.7,0.59,6589370.0,19057119557.0,11331.07,11183.69,11239.26,000109,380医药,上证系列指数
6155.73,0.57,466161212.0,905119293351.0,6181.84,6107.31,6131.51,000907,中证700,上证系列指数
1802.9,0.56,629458358.0,1608584021401.0,1813.09,1774.39,1789.96,000891,新兴综指,上证系列指数
265.88,0.55,637756.0,260136251.0,267.21,264.71,264.81,000003,Ｂ股指数,上证系列指数
3239.56,0.55,158337870.0,378547950522.0,3251.03,3216.93,3216.93,000155,市值百强,上证系列指数
9145.57,0.54,91389054.0,249160027737.0,9176.88,9061.05,9063.5,000806,消费服务,上证系列指数
8253.18,0.54,230293957.0,443004123860.0,8300.23,8220.4,8228.59,000966,基本400,上证系列指数
2976.47,0.53,84761466.0,226530507719.0,2989.0,2954.93,2954.93,000016,上证50,上证系列指数
3215.96,0.52,149276087.0,507740484899.0,3232.17,3180.79,3189.4,000971,等权90,上证系列指数
4547.77,0.51,351938947.0,831194066111.0,4566.93,4518.77,4523.3,000984,300等权,上证系列指数
1192.1,0.49,22209348.0,31924997668.0,1196.23,1184.23,1186.35,000114,持续产业,上证系列指数
4521.37,0.48,143689754.0,226394072828.0,4542.92,4503.07,4503.75,000044,上证中盘,上证系列指数
5741.31,0.48,23999515.0,96073369086.0,5767.43,5639.12,5731.01,000137,380高贝,上证系列指数
7043.94,0.47,280915814.0,523041433984.9,7078.92,6990.75,7030.27,000905,中证500,上证系列指数
9137.39,0.45,228451220.0,452924580547.0,9174.78,9098.41,9098.59,000051,180等权,上证系列指数
3864.11,0.45,405965989.0,748354231997.0,3874.88,3845.42,3845.42,000047,上证全指,上证系列指数
1531.81,0.45,94898107.0,147399078869.0,1549.82,1526.25,1526.35,000054,上证海外,上证系列指数
9308.43,0.44,124655719.0,186214477094.0,9341.79,9275.07,9296.11,000120,380R价值,上证系列指数
6260.4,0.42,46478237.0,225035204656.0,6296.5,6221.62,6231.41,000135,180高贝,上证系列指数
5886.8,0.41,19453946.0,62769134173.0,5897.85,5827.55,5868.85,000132,上证100,上证系列指数
6961.93,0.41,103018253.0,294349635078.0,6984.62,6890.75,6898.02,000123,180动态,上证系列指数
4040.83,0.4,9570598.0,83100328225.0,4068.0,3924.8,4007.1,000131,上证高新,上证系列指数
1200.06,0.4,100922561.0,161755964049.0,1212.25,1198.22,1198.22,000056,上证国企,上证系列指数
8496.22,0.4,47964730.0,211859628133.0,8514.99,8375.64,8409.57,000067,上证新兴,上证系列指数
8825.61,0.39,132342778.0,250125364470.0,8860.82,8793.2,8799.75,000099,上证F300,上证系列指数
5022.44,0.38,321204523.0,521823724278.0,5038.67,4998.14,5007.82,000046,上证中小,上证系列指数
5575.98,0.37,50928673.0,126889837828.1,5631.41,5516.02,5529.86,000989,全指可选,上证系列指数
4043.81,0.37,738493468.0,1219090539756.0,4054.14,4024.37,4028.24,000002,Ａ股指数,上证系列指数
3857.93,0.37,739462366.0,1221691851556.0,3867.61,3839.21,3842.82,000001,上证指数,上证系列指数
4390.49,0.37,739462366.0,1221691851556.0,4401.5,4369.18,4373.3,000888,上证综合全收益,上证系列指数
