序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
134,000052,50基本,2955.14,0.36,10.46,84761466,226530507719.0,1.57,2995.86,2949.56,2951.66,2944.68,1.23,000052,50基本,上证系列指数
135,000142,380稳定,9432.13,0.36,33.85,72891419,90092530277.0,0.63,9458.87,9399.77,9415.12,9398.28,0.99,000142,380稳定,上证系列指数
136,000985,中证全指,5723.95,0.36,20.4,1586925830,2766916551260.0,1.21,5753.83,5684.97,5702.45,5703.55,0.9,000985,中证全指,上证系列指数
137,000055,上证地企,1559.86,0.35,5.38,77983214,129717320581.0,1.13,1576.9,1559.39,1559.58,1554.48,1.03,000055,上证地企,上证系列指数
138,000115,380等权,8424.36,0.34,28.26,142327989,259495505023.0,1.02,8456.27,8370.99,8415.45,8396.1,0.98,000115,380等权,上证系列指数
139,000159,沪股通,3583.43,0.34,12.01,634737193,1070159658073.0,0.75,3594.4,3567.65,3571.53,3571.42,0.95,000159,沪股通,上证系列指数
140,000687,科创高装,1265.9,0.31,3.87,6653152,29738148396.0,2.19,1268.7,1241.04,1259.33,1262.03,0.94,000687,科创高装,上证系列指数
141,000090,上证流通,1411.53,0.31,4.38,726316439,1203479461752.0,0.76,1415.92,1405.25,1407.14,1407.15,0.93,000090,上证流通,上证系列指数
142,000009,上证380,6385.03,0.3,19.01,142327989,259495505023.0,1.01,6404.88,6340.74,6378.89,6366.02,0.98,000009,上证380,上证系列指数
143,000136,180低贝,12306.63,0.3,36.64,97538628,95184554825.0,1.36,12457.74,12290.42,12291.02,12269.99,1.42,000136,180低贝,上证系列指数
144,000802,500沪市,7271.45,0.3,21.42,142069422,214742322968.0,0.95,7293.36,7224.19,7260.36,7250.03,0.9,000802,500沪市,上证系列指数
145,000982,500等权,8587.43,0.28,24.11,280915814,523041433984.9,1.06,8632.58,8542.03,8583.05,8563.32,0.93,000982,500等权,上证系列指数
146,000045,上证小盘,5570.15,0.27,15.1,177514769,295429651450.0,1.03,5583.42,5526.42,5560.24,5555.05,0.91,000045,上证小盘,上证系列指数
147,000141,380动态,3864.76,0.26,10.06,68865568,166540327222.0,1.49,3879.04,3821.52,3863.47,3854.7,0.97,000141,380动态,上证系列指数
148,000691,科创ESG,1393.12,0.25,3.5,8284440,60186639729.0,3.09,1397.69,1354.79,1378.71,1389.62,0.9,000691,科创ESG,上证系列指数
149,000697,科大湾区,1318.49,0.22,2.86,6563329,30718205414.0,2.15,1325.32,1297.05,1321.76,1315.63,0.88,000697,科大湾区,上证系列指数
150,000911,300可选,6586.65,0.22,14.5,14234562,65706004985.0,2.59,6677.09,6507.04,6525.63,6572.15,1.39,000911,300可选,上证系列指数
151,000050,50等权,2355.93,0.22,5.18,84761466,226530507719.0,0.96,2363.5,2340.95,2342.81,2350.75,1.23,000050,50等权,上证系列指数
152,000952,300地产,2855.18,0.22,6.26,6511167,4717503406.0,1.5,2893.44,2850.7,2880.05,2848.92,0.79,000952,300地产,上证系列指数
153,000072,工业等权,2904.7,0.21,6.17,60083426,64654341754.0,0.89,2917.14,2891.47,2900.77,2898.53,1.25,000072,工业等权,上证系列指数
154,000170,50AH优选,6043.76,0.21,12.55,56468062,175938685064.4,1.09,6094.58,6028.7,6030.64,6031.21,1.17,000170,50AH优选,上证系列指数
155,000967,基本600,6340.76,0.21,13.44,532165824,885602368736.0,1.05,6397.25,6330.55,6332.9,6327.32,1.05,000967,基本600,上证系列指数
156,000053,180基本,12455.32,0.18,21.83,228451220,452924580547.0,1.42,12620.48,12443.7,12457.94,12433.49,1.18,000053,180基本,上证系列指数
157,000119,380R成长,4278.24,0.17,7.44,89117958,221961152485.0,1.38,4290.42,4231.47,4275.52,4270.8,0.95,000119,380R成长,上证系列指数
158,000901,小康指数,6240.08,0.15,9.4,157685120,179731223224.0,1.47,6331.98,6240.08,6252.51,6230.68,1.29,000901,小康指数,上证系列指数
159,000130,380波动,13184.89,0.15,19.88,46006402,38254594445.0,0.85,13262.0,13150.06,13179.62,13165.01,1.07,000130,380波动,上证系列指数
160,000063,上证周期,3855.27,0.13,4.86,93472731,140808754539.0,1.7,3920.73,3855.18,3859.11,3850.41,1.34,000063,上证周期,上证系列指数
161,000693,科创机械,1349.17,0.12,1.55,5042890,19467440016.0,2.36,1359.5,1327.75,1350.36,1347.62,0.91,000693,科创机械,上证系列指数
162,000128,380基本,8779.04,0.12,10.11,142327989,259495505023.0,0.74,8816.1,8751.34,8785.09,8768.93,0.98,000128,380基本,上证系列指数
163,000100,上证F500,6127.31,0.11,6.88,393283594,586477512339.0,1.24,6195.8,6119.79,6132.43,6120.43,1.06,000100,上证F500,上证系列指数
164,000926,中证央企,2329.36,0.11,2.49,276211307,377351213208.0,1.09,2346.07,2320.71,2327.98,2326.87,1.04,000926,中证央企,上证系列指数
165,000965,基本200,5537.19,0.1,5.66,301871867,442598244876.0,1.23,5599.34,5531.57,5533.62,5531.53,1.17,000965,基本200,上证系列指数
166,000005,商业指数,2976.22,0.1,3.07,62260258,69410586279.4,1.31,3003.25,2964.45,2977.66,2973.15,0.93,000005,商业指数,上证系列指数
167,000011,基金指数,7102.09,0.09,6.08,1572060617,403505048357.0,0.2,7103.81,7089.61,7092.91,7096.01,0.98,000011,基金指数,上证系列指数
168,000118,380价值,9699.02,0.07,6.43,59999372,49066512516.0,0.94,9770.46,9678.99,9714.82,9692.59,1.0,000118,380价值,上证系列指数
169,000936,800通信,8851.77,0.07,6.03,48915761,130092625858.0,2.71,8948.65,8709.31,8797.47,8845.74,0.97,000936,800通信,上证系列指数
170,000008,综合指数,3574.48,0.06,1.98,144430618,177290709202.8,1.69,3629.9,3569.57,3574.68,3572.5,1.01,000008,综合指数,上证系列指数
171,000098,上证F200,5447.43,0.06,3.28,260940816,336352147869.0,1.41,5519.57,5442.9,5455.93,5444.15,1.13,000098,上证F200,上证系列指数
172,000034,上证工业,2196.48,0.06,1.3,60083426,64654341754.0,1.06,2212.19,2189.0,2197.19,2195.18,1.25,000034,上证工业,上证系列指数
173,000150,380红利,11818.19,0.06,7.55,11342808,7676006912.0,0.71,11878.85,11795.34,11822.29,11810.64,1.0,000150,380红利,上证系列指数
174,000160,沪新丝路,1959.79,0.05,0.94,94284424,81666150785.0,1.18,1980.64,1957.43,1965.84,1958.85,1.05,000160,沪新丝路,上证系列指数
175,000091,沪财中小,14299.56,0.05,7.16,40358696,69809142277.0,1.26,14364.72,14184.59,14281.94,14292.4,0.89,000091,沪财中小,上证系列指数
176,000699,科创200,1283.24,0.04,0.55,20450881,80368736334.0,1.98,1285.24,1259.87,1284.1,1282.69,0.95,000699,科创200,上证系列指数
177,000931,800可选,6135.95,0.02,1.31,34456315,98890651467.0,2.0,6202.23,6079.47,6099.29,6134.64,0.99,000931,800可选,上证系列指数
178,000916,300通信,5033.07,0.02,0.78,16775238,86508702873.0,3.67,5108.44,4923.57,4985.88,5032.29,0.77,000916,300通信,上证系列指数
179,000948,内地地产,2782.12,0.02,0.64,13324351,14485679828.0,2.1,2838.08,2779.76,2821.36,2781.48,0.83,000948,内地地产,上证系列指数
180,000133,上证150,6419.94,0.02,1.55,23650692,56201048468.0,1.72,6440.7,6330.51,6419.76,6418.39,0.82,000133,上证150,上证系列指数
181,000061,沪企债30,178.06,0.02,0.03,3811,3807962.0,0.01,178.06,178.04,178.04,178.03,0.12,000061,沪企债30,上证系列指数
182,000013,企债指数,300.59,0.01,0.02,2948690,2984329739.0,0.0,300.59,300.59,300.59,300.57,0.51,000013,企债指数,上证系列指数
183,000113,380公用,2757.63,0.01,0.41,14158416,7197951649.0,1.5,2780.22,2738.78,2766.98,2757.22,0.89,000113,380公用,上证系列指数
184,000116,信用100,198.46,0.01,0.02,36400,36400865.0,0.01,198.46,198.45,198.45,198.44,0.22,000116,信用100,上证系列指数
185,000923,公司债指,252.6,0.01,0.02,2929790,2965285283.0,0.0,252.6,252.6,252.6,252.58,0.52,000923,公司债指,上证系列指数
186,000006,地产指数,4637.72,0.01,0.4,17471028,10563998153.8,2.56,4749.28,4630.58,4690.92,4637.32,1.37,000006,地产指数,上证系列指数
187,000101,5年信用,249.73,0.0,0.01,166206,166846031.0,0.0,249.74,249.73,249.73,249.72,1.11,000101,5年信用,上证系列指数
188,000917,300公用,2528.69,0.0,-0.08,19163170,14621900856.0,1.31,2560.96,2527.73,2530.65,2528.77,1.63,000917,300公用,上证系列指数
189,000022,沪公司债,252.02,0.0,0.01,182690,183121488.0,0.0,252.03,252.02,252.03,252.01,0.25,000022,沪公司债,上证系列指数
190,000847,腾讯济安,3449.12,-0.01,-0.48,62642858,143335124039.0,1.02,3474.96,3439.81,3457.09,3449.6,1.24,000847,腾讯济安,上证系列指数
191,000925,基本面50,4739.58,-0.01,-0.36,113076801,182458929212.0,1.4,4802.75,4736.24,4736.9,4739.94,1.28,000925,基本面50,上证系列指数
192,000117,380成长,4232.05,-0.02,-0.9,24461611,84813187907.0,1.42,4242.52,4182.32,4229.35,4232.95,0.9,000117,380成长,上证系列指数
193,000012,国债指数,225.06,-0.02,-0.05,18618135,18775854309.0,0.05,225.13,225.02,225.12,225.11,0.82,000012,国债指数,上证系列指数
194,000060,全R价值,4410.31,-0.03,-1.43,358783037,561932693893.0,1.33,4461.96,4403.35,4415.86,4411.74,1.06,000060,全R价值,上证系列指数
195,000107,380可选,5664.87,-0.05,-2.58,8563689,19539111625.0,1.64,5698.33,5605.49,5659.89,5667.45,0.85,000107,380可选,上证系列指数
196,000914,300金融,6863.95,-0.07,-4.77,100023248,137968599507.8,1.9,6988.4,6858.02,6882.15,6868.72,1.2,000914,300金融,上证系列指数
197,000076,金融等权,5816.97,-0.08,-4.49,58550287,74973354272.0,2.44,5959.23,5816.97,5842.43,5821.46,1.42,000076,金融等权,上证系列指数
198,000122,农业主题,1610.09,-0.08,-1.35,6093958,6196891200.0,0.99,1624.39,1608.44,1610.84,1611.44,0.83,000122,农业主题,上证系列指数
199,000922,中证红利,5538.04,-0.11,-6.15,93920439,92197299868.0,1.1,5593.06,5532.01,5538.04,5544.19,1.43,000922,中证红利,上证系列指数
200,000852,中证1000,7438.68,-0.11,-8.43,327640881,565058625663.1,1.29,7477.2,7380.83,7449.86,7447.11,0.86,000852,中证1000,上证系列指数
201,000025,180基建,1853.28,-0.11,-1.95,51483410,39379147675.0,1.42,1878.53,1852.26,1857.56,1855.23,1.27,000025,180基建,上证系列指数
202,000934,中证金融,6448.71,-0.12,-7.56,148725680,182356139702.5,1.83,6561.08,6443.19,6471.55,6456.27,1.06,000934,中证金融,上证系列指数
203,000974,800金融,7221.44,-0.12,-8.92,135401330,167870459864.0,1.87,7349.86,7214.98,7243.84,7230.36,1.09,000974,800金融,上证系列指数
